,symbol,supply,mktcap,mktcapPenalty,circulatingSupply,circulatingSupplyMktcap,conversionType,conversionSymbol
0,42,41.99995186,33179961.969400004,0.0,41.99995186,33179961.969400004,direct,
1,300,300.0,607393.9595472,0.0,0.0,0.0,multiply,BTC
2,365,0.0,0.0,0.0,0.0,0.0,multiply,BTC
3,404,0.0,0.0,0.0,0.0,0.0,direct,
4,611,0.0,0.0,0.0,0.0,0.0,multiply,BTC
5,808,0.0,0.0,0.0,0.0,0.0,multiply,USDT
6,888,0.0,0.0,0.0,0.0,0.0,direct,
7,1337,0.0,0.0,0.0,0.0,0.0,multiply,ETH
8,2015,0.0,0.0,0.0,0.0,0.0,direct,
9,CRAIG,0.0,0.0,0.0,0.0,0.0,multiply,BTC
10,XBS,0.0,0.0,0.0,0.0,0.0,direct,
11,XPY,0.0,0.0,0.0,0.0,0.0,direct,
12,PRC,0.0,0.0,0.0,0.0,0.0,direct,
13,YBC,0.0,0.0,0.0,0.0,0.0,direct,
14,DANK,0.0,0.0,0.0,0.0,0.0,multiply,BTC
15,GIVE,0.0,0.0,0.0,0.0,0.0,multiply,BTC
16,KOBO,0.0,0.0,0.0,0.0,0.0,multiply,ETH
17,DT,0.0,,0.0,0.0,,not_possible,
18,CETI,0.0,0.0,0.0,0.0,0.0,multiply,BTC
19,SUP,0.0,0.0,0.0,0.0,0.0,multiply,BTC
20,XPD,0.0,0.0,0.0,0.0,0.0,direct,
21,GEO,0.0,0.0,0.0,0.0,0.0,multiply,BTC
22,CHASH,0.0,0.0,0.0,0.0,0.0,multiply,BTC
23,NXTI,0.0,0.0,0.0,0.0,0.0,multiply,BTC
24,WOLF,0.0,0.0,0.0,0.0,0.0,multiply,BTC
25,XDP,0.0,0.0,0.0,0.0,0.0,multiply,BTC
26,AC,0.0,0.0,0.0,0.0,0.0,multiply,ETH
27,ACOIN,0.0,0.0,0.0,0.0,0.0,multiply,ETH
28,AERO,0.0,,0.0,0.0,,not_possible,
29,ALF,0.0,,0.0,0.0,,not_possible,
30,ALIEN,0.0,,0.0,0.0,,not_possible,
31,APEX,0.0,0.0,0.0,0.0,0.0,multiply,BTC
32,ARCH,0.0,0.0,0.0,0.0,0.0,multiply,ETH
33,ARG,0.0,0.0,0.0,0.0,0.0,multiply,BTC
34,ARI,0.0,0.0,0.0,0.0,0.0,multiply,BTC
35,AXR,0.0,,0.0,0.0,,not_possible,
36,BEAN,0.0,0.0,0.0,0.0,0.0,direct,
37,BLU,0.0,0.0,0.0,0.0,0.0,direct,
38,BOST,0.0,0.0,0.0,0.0,0.0,multiply,BTC
39,BQC,0.0,0.0,0.0,0.0,0.0,multiply,BTC
40,XMY,0.0,0.0,0.0,0.0,0.0,multiply,USDT
41,ZET,0.0,0.0,0.0,0.0,0.0,multiply,BTC
42,SXC,0.0,0.0,0.0,0.0,0.0,direct,
43,QTL,0.0,0.0,0.0,0.0,0.0,multiply,ETH
44,ENRG,0.0,0.0,0.0,0.0,0.0,multiply,BTC
45,RIC,0.0,0.0,0.0,0.0,0.0,multiply,BTC
46,LIMX,0.0,0.0,0.0,0.0,0.0,multiply,BTC
47,BTB,0.0,0.0,0.0,0.0,0.0,multiply,BTC
48,CAIX,0.0,0.0,0.0,0.0,0.0,multiply,BTC
49,BTMK,0.0,0.0,0.0,0.0,0.0,multiply,USDT
50,BUK,0.0,0.0,0.0,0.0,0.0,multiply,BTC
51,CACH,0.0,0.0,0.0,0.0,0.0,multiply,BTC
52,CANN,0.0,0.0,0.0,0.0,0.0,direct,
