,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.3854,0.2893,0.3069,3782.33,1195.17,0.316,multiply,BTC
1,1483228800,0.3484,0.281,0.316,4837.74,1575.21,0.3256,multiply,BTC
2,1483315200,0.3327,0.125,0.3256,6364.02,1578.65,0.2481,multiply,BTC
3,1483401600,0.403,0.1571,0.2481,23267.73,3738.62,0.1607,multiply,BTC
4,1483488000,0.2381,0.1766,0.1607,18594.77,3979.74,0.214,multiply,BTC
5,1483574400,0.1865,0.1811,0.214,108.99,19.74,0.1811,multiply,BTC
6,1483660800,0.1623,0.1623,0.1811,0.0,0.0,0.1623,multiply,BTC
7,1483747200,0.1628,0.1628,0.1623,0.0,0.0,0.1628,multiply,BTC
8,1483833600,0.1649,0.1649,0.1628,0.0,0.0,0.1649,multiply,BTC
9,1483920000,0.1647,0.1647,0.1649,0.0,0.0,0.1647,multiply,BTC
10,1484006400,0.1656,0.1656,0.1647,0.0,0.0,0.1656,multiply,BTC
11,1484092800,0.1438,0.1438,0.1656,0.0,0.0,0.1438,multiply,BTC
12,1484179200,0.1483,0.1483,0.1438,0.0,0.0,0.1483,multiply,BTC
13,1484265600,0.151,0.151,0.1483,0.0,0.0,0.151,multiply,BTC
14,1484352000,0.1501,0.1501,0.151,0.0,0.0,0.1501,multiply,BTC
15,1484438400,0.1504,0.1504,0.1501,0.0,0.0,0.1504,multiply,BTC
16,1484524800,0.1515,0.1515,0.1504,0.0,0.0,0.1515,multiply,BTC
17,1484611200,0.1647,0.1647,0.1515,0.0,0.0,0.1647,multiply,BTC
18,1484697600,0.1597,0.1597,0.1647,0.0,0.0,0.1597,multiply,BTC
19,1484784000,0.1639,0.1639,0.1597,0.0,0.0,0.1639,multiply,BTC
20,1484870400,0.1635,0.1635,0.1639,0.0,0.0,0.1635,multiply,BTC
21,1484956800,0.1684,0.1684,0.1635,0.0,0.0,0.1684,multiply,BTC
22,1485043200,0.1682,0.1682,0.1684,0.0,0.0,0.1682,multiply,BTC
23,1485129600,0.1687,0.1687,0.1682,0.0,0.0,0.1687,multiply,BTC
24,1485216000,0.1636,0.1636,0.1687,0.0,0.0,0.1636,multiply,BTC
25,1485302400,0.1638,0.1638,0.1636,0.0,0.0,0.1638,multiply,BTC
26,1485388800,0.1676,0.1676,0.1638,0.0,0.0,0.1676,multiply,BTC
27,1485475200,0.1681,0.1681,0.1676,0.0,0.0,0.1681,multiply,BTC
28,1485561600,0.1682,0.1682,0.1681,0.0,0.0,0.1682,multiply,BTC
29,1485648000,0.1675,0.1675,0.1682,0.0,0.0,0.1675,multiply,BTC
30,1485734400,0.1686,0.1686,0.1675,0.0,0.0,0.1686,multiply,BTC
31,1485820800,0.1768,0.1768,0.1686,0.0,0.0,0.1768,multiply,BTC
32,1485907200,0.1799,0.1799,0.1768,0.0,0.0,0.1799,multiply,BTC
33,1485993600,0.1838,0.1838,0.1799,0.0,0.0,0.1838,multiply,BTC
34,1486080000,0.1855,0.1855,0.1838,0.0,0.0,0.1855,multiply,BTC
35,1486166400,0.1889,0.1889,0.1855,0.0,0.0,0.1889,multiply,BTC
36,1486252800,0.186,0.186,0.1889,0.0,0.0,0.186,multiply,BTC
37,1486339200,0.1876,0.1876,0.186,0.0,0.0,0.1876,multiply,BTC
38,1486425600,0.1922,0.1922,0.1876,0.0,0.0,0.1922,multiply,BTC
39,1486512000,0.1933,0.1933,0.1922,0.0,0.0,0.1933,multiply,BTC
40,1486598400,0.1792,0.1792,0.1933,0.0,0.0,0.1792,multiply,BTC
41,1486684800,0.1827,0.1827,0.1792,0.0,0.0,0.1827,multiply,BTC
42,1486771200,0.1846,0.1846,0.1827,0.0,0.0,0.1846,multiply,BTC
43,1486857600,0.1825,0.1825,0.1846,0.0,0.0,0.1825,multiply,BTC
44,1486944000,0.1823,0.1823,0.1825,0.0,0.0,0.1823,multiply,BTC
45,1487030400,0.1846,0.1846,0.1823,0.0,0.0,0.1846,multiply,BTC
46,1487116800,0.1846,0.1846,0.1846,0.0,0.0,0.1846,multiply,BTC
47,1487203200,0.1889,0.1889,0.1846,0.0,0.0,0.1889,multiply,BTC
48,1487289600,0.1921,0.1921,0.1889,0.0,0.0,0.1921,multiply,BTC
49,1487376000,0.1927,0.1927,0.1921,0.0,0.0,0.1927,multiply,BTC
50,1487462400,0.1921,0.1921,0.1927,0.0,0.0,0.1921,multiply,BTC
51,1487548800,0.1973,0.1973,0.1921,0.0,0.0,0.1973,multiply,BTC
52,1487635200,0.2049,0.2049,0.1973,0.0,0.0,0.2049,multiply,BTC
53,1487721600,0.2052,0.2052,0.2049,0.0,0.0,0.2052,multiply,BTC
54,1487808000,0.2146,0.2146,0.2052,0.0,0.0,0.2146,multiply,BTC
55,1487894400,0.2154,0.2154,0.2146,0.0,0.0,0.2154,multiply,BTC
56,1487980800,0.2104,0.2104,0.2154,0.0,0.0,0.2104,multiply,BTC
57,1488067200,0.2145,0.2145,0.2104,0.0,0.0,0.2145,multiply,BTC
58,1488153600,0.2177,0.2177,0.2145,0.0,0.0,0.2177,multiply,BTC
59,1488240000,0.2178,0.2178,0.2177,0.0,0.0,0.2178,multiply,BTC
60,1488326400,0.2239,0.2239,0.2178,0.0,0.0,0.2239,multiply,BTC
61,1488412800,0.2299,0.2299,0.2239,0.0,0.0,0.2299,multiply,BTC
62,1488499200,0.235,0.235,0.2299,0.0,0.0,0.235,multiply,BTC
63,1488585600,0.2315,0.2315,0.235,0.0,0.0,0.2315,multiply,BTC
64,1488672000,0.2328,0.2328,0.2315,0.0,0.0,0.2328,multiply,BTC
65,1488758400,0.2338,0.2338,0.2328,0.0,0.0,0.2338,multiply,BTC
66,1488844800,0.2257,0.2257,0.2338,0.0,0.0,0.2257,multiply,BTC
67,1488931200,0.21,0.21,0.2257,0.0,0.0,0.21,multiply,BTC
68,1489017600,0.2181,0.2181,0.21,0.0,0.0,0.2181,multiply,BTC
69,1489104000,0.2037,0.2037,0.2181,0.0,0.0,0.2037,multiply,BTC
