,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.05877,0.04528,0.04507,4900.0,287.95,0.05877,multiply,BTC
1,1483228800,0.06072,0.06072,0.05877,0.0,0.0,0.06072,multiply,BTC
2,1483315200,0.06204,0.06204,0.06072,0.0,0.0,0.06204,multiply,BTC
3,1483401600,0.07233,0.0558,0.06204,8551.66,618.55,0.07233,multiply,BTC
4,1483488000,0.07948,0.06358,0.07233,19592.32,1245.74,0.06358,multiply,BTC
5,1483574400,0.0554,0.0554,0.06358,0.0,0.0,0.0554,multiply,BTC
6,1483660800,0.04962,0.04962,0.0554,0.0,0.0,0.04962,multiply,BTC
7,1483747200,0.04978,0.04978,0.04962,0.0,0.0,0.04978,multiply,BTC
8,1483833600,0.05045,0.05045,0.04978,0.0,0.0,0.05045,multiply,BTC
9,1483920000,0.05039,0.05039,0.05045,0.0,0.0,0.05039,multiply,BTC
10,1484006400,0.05969,0.05064,0.05039,12237.98,730.47,0.05969,multiply,BTC
11,1484092800,0.05184,0.05184,0.05969,38.04,1.972,0.05184,multiply,BTC
12,1484179200,0.05347,0.05266,0.05184,0.000151,7.95e-06,0.05266,multiply,BTC
13,1484265600,0.05361,0.05361,0.05266,0.0,0.0,0.05361,multiply,BTC
14,1484352000,0.05328,0.05328,0.05361,0.0,0.0,0.05328,multiply,BTC
15,1484438400,0.05338,0.05338,0.05328,0.0,0.0,0.05338,multiply,BTC
16,1484524800,0.05378,0.05378,0.05338,0.0,0.0,0.05378,multiply,BTC
17,1484611200,0.05848,0.05848,0.05378,0.0,0.0,0.05848,multiply,BTC
18,1484697600,0.05668,0.05668,0.05848,0.0,0.0,0.05668,multiply,BTC
19,1484784000,0.08504,0.05819,0.05668,0.0003147,2.676e-05,0.08504,multiply,BTC
20,1484870400,0.08483,0.08483,0.08504,3038.04,257.71,0.08483,multiply,BTC
21,1484956800,0.08738,0.08738,0.08483,0.0,0.0,0.08738,multiply,BTC
22,1485043200,0.08729,0.08729,0.08738,0.0,0.0,0.08729,multiply,BTC
23,1485129600,0.08754,0.08754,0.08729,0.0,0.0,0.08754,multiply,BTC
24,1485216000,0.1072,0.08938,0.08754,3759.09,403.16,0.1072,multiply,BTC
25,1485302400,0.1073,0.1073,0.1072,0.0,0.0,0.1073,multiply,BTC
26,1485388800,0.1099,0.1099,0.1073,0.0,0.0,0.1099,multiply,BTC
27,1485475200,0.1102,0.1102,0.1099,0.0,0.0,0.1102,multiply,BTC
28,1485561600,0.1009,0.0873,0.1102,4796.13,470.93,0.09819,multiply,BTC
29,1485648000,0.1093,0.09054,0.09819,102657.57,10327.4,0.1006,multiply,BTC
30,1485734400,0.1037,0.09116,0.1006,188776.29,17209.13,0.09116,multiply,BTC
31,1485820800,0.1028,0.06276,0.09116,86060.95,8176.15,0.095,multiply,BTC
32,1485907200,0.09844,0.07663,0.095,78316.58,6820.78,0.08709,multiply,BTC
33,1485993600,0.089,0.08048,0.08709,24394.23,2057.25,0.08433,multiply,BTC
34,1486080000,0.09117,0.07091,0.08433,90646.33,7370.0,0.0813,multiply,BTC
35,1486166400,0.09287,0.07904,0.0813,29464.25,2432.21,0.08255,multiply,BTC
36,1486252800,0.09144,0.08025,0.08255,11176.41,964.85,0.08633,multiply,BTC
37,1486339200,0.0917,0.08643,0.08633,34554.46,3020.21,0.0874,multiply,BTC
38,1486425600,0.0916,0.08816,0.09962,3800.0,335.03,0.08816,multiply,ETH
39,1486512000,0.09238,0.08487,0.08766,19534.6,1714.43,0.08776,multiply,BTC
40,1486598400,0.164,0.07439,0.08884,114947.37,8551.16,0.07439,multiply,ETH
41,1486684800,0.08354,0.07794,0.08321,20887.64,1727.03,0.08268,multiply,BTC
42,1486771200,0.08443,0.07886,0.08268,39128.53,3181.58,0.08131,multiply,BTC
43,1486857600,0.08115,0.07572,0.08131,11043.23,849.46,0.07692,multiply,BTC
44,1486944000,0.07933,0.07161,0.07692,20124.91,1529.21,0.07599,multiply,BTC
45,1487030400,0.07651,0.07085,0.07599,59737.45,4296.61,0.07192,multiply,BTC
46,1487116800,0.07236,0.06525,0.07192,23199.76,1607.58,0.06929,multiply,BTC
47,1487203200,0.07406,0.07039,0.06929,2443.36,177.45,0.07263,multiply,BTC
48,1487289600,0.08268,0.07632,0.0777,1251.62,103.48,0.08268,multiply,ETH
49,1487376000,0.0765,0.06314,0.07281,42120.96,3072.92,0.07295,multiply,BTC
50,1487462400,0.07425,0.07128,0.07295,1035.91,76.31,0.07366,multiply,BTC
51,1487548800,0.08752,0.07272,0.07366,27486.38,2377.16,0.08648,multiply,BTC
52,1487635200,0.0812,0.07562,0.08648,12302.76,952.55,0.07743,multiply,BTC
53,1487721600,0.07538,0.07104,0.07743,7466.18,532.55,0.07133,multiply,BTC
54,1487808000,0.0763,0.07439,0.07133,23193.81,1737.69,0.07492,multiply,BTC
55,1487894400,0.08153,0.06999,0.07492,18440.1,1427.07,0.07739,multiply,BTC
56,1487980800,0.08549,0.07463,0.08259,9000.0,671.71,0.07463,multiply,ETH
57,1488067200,0.07237,0.06562,0.0646,36093.77,2546.08,0.07054,multiply,BTC
58,1488153600,0.0743,0.06773,0.07054,156833.63,10677.91,0.06808,multiply,BTC
