,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.01151,0.01151,0.01146,0.0,0.0,0.01151,multiply,BTC
1,1483228800,0.0119,0.0119,0.01151,0.0,0.0,0.0119,multiply,BTC
2,1483315200,0.012,0.01072,0.0119,12011.27,134.38,0.01119,multiply,BTC
3,1483401600,0.01224,0.01089,0.01119,4657.57,57.03,0.01224,multiply,BTC
4,1483488000,0.01345,0.01345,0.01224,0.0,0.0,0.01345,multiply,BTC
5,1483574400,0.01088,0.01039,0.01345,5158.9,54.77,0.01062,multiply,BTC
6,1483660800,0.009597,0.009207,0.01062,8364.11,79.75,0.009535,multiply,BTC
7,1483747200,0.009564,0.009155,0.009535,202.04,1.85,0.009155,multiply,BTC
8,1483833600,0.01863,0.00981,0.009155,49736.41,599.95,0.01206,multiply,BTC
9,1483920000,0.01862,0.0121,0.01206,43697.75,601.57,0.01377,multiply,BTC
10,1484006400,0.01384,0.01336,0.01377,2036.13,27.2,0.01336,multiply,BTC
11,1484092800,0.01226,0.01196,0.01336,7001.57,85.51,0.01221,multiply,BTC
12,1484179200,0.01676,0.01252,0.01221,2249.78,37.71,0.01676,multiply,BTC
13,1484265600,0.01801,0.01594,0.01676,63.97,1.152,0.01801,multiply,BTC
14,1484352000,0.01798,0.01311,0.01801,15059.36,269.2,0.01788,multiply,BTC
15,1484438400,0.01683,0.01313,0.01788,8127.35,119.06,0.01465,multiply,BTC
16,1484524800,0.01815,0.01527,0.01465,18501.5,290.68,0.01571,multiply,BTC
17,1484611200,0.01836,0.01708,0.01571,8935.81,164.08,0.01836,multiply,BTC
18,1484697600,0.02225,0.01394,0.01836,19061.55,415.56,0.0218,multiply,BTC
19,1484784000,0.02284,0.01693,0.0218,24472.53,456.78,0.01867,multiply,BTC
20,1484870400,0.02185,0.01713,0.01867,15584.49,308.37,0.01979,multiply,BTC
21,1484956800,0.02019,0.0184,0.01979,15214.55,293.75,0.01931,multiply,BTC
22,1485043200,0.02042,0.01378,0.01931,53356.13,780.0,0.01462,multiply,BTC
23,1485129600,0.01994,0.01508,0.01462,58120.95,972.04,0.01672,multiply,BTC
24,1485216000,0.01758,0.0159,0.01672,58937.08,977.12,0.01658,multiply,BTC
25,1485302400,0.01732,0.006851,0.01658,61953.35,951.42,0.01536,multiply,BTC
26,1485388800,0.01635,0.01324,0.01536,33492.91,500.14,0.01493,multiply,BTC
27,1485475200,0.02509,0.01077,0.01493,30110.02,524.36,0.01741,multiply,BTC
28,1485561600,0.02572,0.0101,0.01741,18451.9,392.18,0.02125,multiply,BTC
29,1485648000,0.0234,0.01372,0.02125,17598.4,260.25,0.01479,multiply,BTC
30,1485734400,0.02055,0.01473,0.01479,49167.61,848.36,0.01725,multiply,BTC
31,1485820800,0.01931,0.01545,0.01725,21891.06,399.25,0.01824,multiply,BTC
32,1485907200,0.01955,0.01539,0.01824,23521.84,369.74,0.01572,multiply,BTC
33,1485993600,0.01832,0.01506,0.01572,42089.67,750.06,0.01782,multiply,BTC
34,1486080000,0.01842,0.01497,0.01782,11550.6,189.79,0.01643,multiply,BTC
35,1486166400,0.01719,0.01446,0.01643,10667.43,176.12,0.01651,multiply,BTC
36,1486252800,0.01626,0.01489,0.01651,12020.11,182.96,0.01522,multiply,BTC
37,1486339200,0.01574,0.0145,0.01522,7374.86,111.61,0.01513,multiply,BTC
38,1486425600,0.02056,0.01379,0.01513,8965.14,145.09,0.01618,multiply,BTC
39,1486512000,0.02155,0.0131,0.01618,122579.03,2005.4,0.01636,multiply,BTC
40,1486598400,0.02274,0.01517,0.01636,48426.16,967.58,0.01998,multiply,BTC
41,1486684800,0.02294,0.01562,0.01998,10612.03,219.14,0.02065,multiply,BTC
42,1486771200,0.02286,0.01941,0.02065,15776.75,328.02,0.02079,multiply,BTC
43,1486857600,0.02479,0.02056,0.02079,2420.09,54.24,0.02241,multiply,BTC
44,1486944000,0.02392,0.01966,0.02241,7627.8,152.15,0.01995,multiply,BTC
45,1487030400,0.02167,0.01821,0.01995,2846.5,55.54,0.01951,multiply,BTC
46,1487116800,0.02595,0.01634,0.01951,23505.97,492.93,0.02097,multiply,BTC
47,1487203200,0.02939,0.02022,0.02097,25328.73,597.76,0.0236,multiply,BTC
48,1487289600,0.02833,0.01756,0.0236,111370.64,2250.98,0.02021,multiply,BTC
49,1487376000,0.02101,0.01948,0.02021,18659.02,363.43,0.01948,multiply,BTC
50,1487462400,0.02102,0.01941,0.01948,7740.58,162.71,0.02102,multiply,BTC
51,1487548800,0.02159,0.01708,0.02102,21439.77,366.18,0.01708,multiply,BTC
52,1487635200,0.02104,0.01774,0.01708,4078.0,79.13,0.0194,multiply,BTC
53,1487721600,0.01943,0.01703,0.0194,11951.96,213.87,0.01789,multiply,BTC
54,1487808000,0.02015,0.01831,0.01789,18653.93,341.46,0.01831,multiply,BTC
55,1487894400,0.02015,0.01788,0.01831,13411.67,239.84,0.01788,multiply,BTC
56,1487980800,0.0181,0.01694,0.01788,1737.46,30.15,0.01735,multiply,BTC
57,1488067200,0.0198,0.01769,0.01735,29295.04,565.62,0.01931,multiply,BTC
58,1488153600,0.02139,0.01795,0.01931,31375.46,585.98,0.01868,multiply,BTC
59,1488240000,0.02254,0.01841,0.01868,12911.82,265.65,0.02057,multiply,BTC
60,1488326400,0.02115,0.01803,0.02057,48143.43,971.83,0.02019,multiply,BTC
61,1488412800,0.02114,0.01771,0.02019,45120.15,852.54,0.01889,multiply,BTC
62,1488499200,0.02057,0.01811,0.01889,35148.05,699.14,0.01989,multiply,BTC
63,1488585600,0.02262,0.01803,0.01989,3623.87,77.02,0.02125,multiply,BTC
64,1488672000,0.02246,0.01916,0.02125,24536.67,470.06,0.01916,multiply,BTC
65,1488758400,0.02334,0.01826,0.01916,19309.53,372.84,0.01931,multiply,BTC
66,1488844800,0.02083,0.0176,0.01931,29578.09,544.72,0.01842,multiply,BTC
67,1488931200,0.01945,0.01711,0.01842,22345.69,410.08,0.01835,multiply,BTC
68,1489017600,0.01962,0.01787,0.01835,8008.03,157.13,0.01962,multiply,BTC
69,1489104000,0.01889,0.0153,0.01962,14755.43,263.11,0.01783,multiply,BTC
70,1489190400,0.0189,0.01811,0.01783,1548.19,29.19,0.01886,multiply,BTC
71,1489276800,0.02063,0.01898,0.01886,2986.09,61.61,0.02063,multiply,BTC
72,1489363200,0.02085,0.01857,0.02063,8484.89,157.59,0.01857,multiply,BTC
73,1489449600,0.02045,0.01865,0.01857,5995.58,112.25,0.01872,multiply,BTC
74,1489536000,0.02603,0.01741,0.01872,33856.33,659.89,0.01949,multiply,BTC
75,1489622400,0.01913,0.01742,0.01949,3933.07,68.5,0.01742,multiply,BTC
76,1489708800,0.01707,0.01586,0.01742,28137.22,475.54,0.0169,multiply,BTC
77,1489795200,0.01988,0.01457,0.0169,12250.46,184.8,0.01509,multiply,BTC
78,1489881600,0.02141,0.01588,0.01509,21917.69,467.76,0.02134,multiply,BTC
79,1489968000,0.02186,0.01858,0.02134,2065.45,43.27,0.02095,multiply,BTC
80,1490054400,0.02332,0.02243,0.02095,1656.35,38.63,0.02332,multiply,BTC
81,1490140800,0.02173,0.01572,0.02332,20575.38,427.76,0.02079,multiply,BTC
82,1490227200,0.03801,0.0206,0.02079,42424.73,1386.71,0.03269,multiply,BTC
83,1490313600,0.04229,0.02803,0.03269,74164.17,2384.86,0.03216,multiply,BTC
84,1490400000,0.03307,0.02791,0.03216,5273.37,155.21,0.02943,multiply,BTC
85,1490486400,0.05817,0.02953,0.02943,74082.27,3737.43,0.05045,multiply,BTC
86,1490572800,0.06335,0.04442,0.05045,27235.88,1209.78,0.04442,multiply,BTC
87,1490659200,0.06998,0.04439,0.04442,33451.13,2166.45,0.06476,multiply,BTC
88,1490745600,0.09585,0.05332,0.06476,41788.47,2829.63,0.06771,multiply,BTC
89,1490832000,0.1122,0.06745,0.06771,43883.19,4440.81,0.1012,multiply,BTC
90,1490918400,0.1155,0.06477,0.1012,21927.38,1830.97,0.0835,multiply,BTC
91,1491004800,0.08425,0.06542,0.0835,19267.95,1501.32,0.07792,multiply,BTC
92,1491091200,0.0791,0.0661,0.07792,23228.93,1641.39,0.07066,multiply,BTC
93,1491177600,0.1033,0.06888,0.07066,18756.2,1598.15,0.08521,multiply,BTC
94,1491264000,0.1141,0.05525,0.08521,31904.73,3115.31,0.09764,multiply,BTC
95,1491350400,0.1064,0.05649,0.09764,5817.18,444.64,0.07644,multiply,BTC
96,1491436800,0.09143,0.07552,0.07644,1138.86,88.17,0.07742,multiply,BTC
97,1491523200,0.1012,0.03576,0.07742,53059.56,4765.94,0.08982,multiply,BTC
98,1491609600,0.1186,0.06891,0.08982,16556.11,1414.77,0.08545,multiply,BTC
99,1491696000,0.1044,0.08716,0.08545,5658.95,531.12,0.09385,multiply,BTC
100,1491782400,0.1055,0.0724,0.09385,5744.97,513.35,0.08936,multiply,BTC
101,1491868800,0.1224,0.05493,0.08936,19795.47,1805.38,0.0912,multiply,BTC
102,1491955200,0.1217,0.08545,0.0912,32754.36,3753.92,0.1146,multiply,BTC
103,1492041600,0.2117,0.09951,0.1146,79943.22,13070.06,0.1635,multiply,BTC
104,1492128000,0.3014,0.1545,0.1635,90834.03,21580.82,0.2376,multiply,BTC
105,1492214400,0.3272,0.2001,0.2376,73789.11,17300.33,0.2345,multiply,BTC
106,1492300800,0.287,0.2102,0.2345,42902.47,9784.5,0.2281,multiply,BTC
107,1492387200,0.3224,0.2296,0.2281,65657.62,15679.17,0.2388,multiply,BTC
108,1492473600,0.2937,0.1576,0.2388,82541.39,17421.66,0.2111,multiply,BTC
109,1492560000,0.2611,0.201,0.2111,33068.34,8036.93,0.243,multiply,BTC
110,1492646400,0.2476,0.2035,0.243,10295.73,2109.64,0.2049,multiply,BTC
