,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0141,0.01376,0.014,27559.31,387.63,0.01407,invert_divide,BTC
1,1483228800,0.01462,0.01396,0.01407,41148.52,598.03,0.01453,invert_divide,BTC
2,1483315200,0.01506,0.01446,0.01453,64951.63,964.46,0.01485,invert_divide,BTC
3,1483401600,0.01512,0.0147,0.01485,54788.01,826.54,0.01509,invert_divide,BTC
4,1483488000,0.01677,0.01493,0.01509,156272.17,2590.52,0.01658,invert_divide,BTC
5,1483574400,0.0168,0.01277,0.01658,240007.84,3466.8,0.01444,invert_divide,BTC
6,1483660800,0.015,0.01245,0.01444,194290.96,2513.72,0.01294,invert_divide,BTC
7,1483747200,0.01315,0.01178,0.01294,130663.09,1695.68,0.01298,invert_divide,BTC
8,1483833600,0.01367,0.01279,0.01298,76905.99,1011.51,0.01315,invert_divide,BTC
9,1483920000,0.01329,0.01272,0.01315,62579.5,822.09,0.01314,invert_divide,BTC
10,1484006400,0.01083,0.01058,0.01069,53709.46,577.21,0.01075,invert_divide,BTC
11,1484092800,0.0109,0.008932,0.01075,194436.54,1814.78,0.009334,invert_divide,BTC
12,1484179200,0.009842,0.008788,0.009334,120241.76,1157.54,0.009627,invert_divide,BTC
13,1484265600,0.009923,0.009162,0.009627,89861.97,880.8,0.009802,invert_divide,BTC
14,1484352000,0.009969,0.009605,0.009802,44207.74,430.58,0.00974,invert_divide,BTC
15,1484438400,0.009821,0.009609,0.00974,24401.41,238.11,0.009758,invert_divide,BTC
16,1484524800,0.009942,0.009717,0.009758,33222.93,326.63,0.009832,invert_divide,BTC
17,1484611200,0.01077,0.009804,0.009832,82207.99,878.88,0.01069,invert_divide,BTC
18,1484697600,0.01086,0.01005,0.01069,69258.17,717.7,0.01036,invert_divide,BTC
19,1484784000,0.01076,0.01035,0.01036,58440.87,621.7,0.01064,invert_divide,BTC
20,1484870400,0.01071,0.01044,0.01064,38865.48,412.39,0.01061,invert_divide,BTC
