,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.1441,0.1252,0.14,2164.15,311.48,0.1439,multiply,BTC
1,1483228800,0.1487,0.1294,0.1439,341.62,44.21,0.1294,multiply,BTC
2,1483315200,0.1504,0.1221,0.1294,601.1,79.48,0.1322,multiply,BTC
3,1483401600,0.1451,0.124,0.1322,1142.9,147.62,0.1292,multiply,BTC
4,1483488000,0.1516,0.1283,0.1292,14373.3,1876.75,0.1306,multiply,BTC
5,1483574400,0.1151,0.08745,0.2271,240007.84,23745.18,0.09894,invert_divide,BTC
6,1483660800,0.08862,0.08862,0.09894,0.0,0.0,0.08862,multiply,BTC
7,1483747200,0.158,0.1415,0.08862,130663.09,20368.73,0.1559,invert_divide,BTC
8,1483833600,0.04927,0.0461,0.1559,76905.99,3646.4,0.04741,invert_divide,BTC
9,1483920000,0.01543,0.01476,0.04741,62579.5,954.37,0.01525,invert_divide,BTC
10,1484006400,0.09044,0.09044,0.08998,0.0,0.0,0.09044,multiply,BTC
11,1484092800,0.1582,0.1295,0.01533,194436.54,26321.32,0.1354,invert_divide,BTC
12,1484179200,0.1562,0.1395,0.1354,120241.76,18372.13,0.1528,invert_divide,BTC
13,1484265600,0.08248,0.08248,0.08101,0.0,0.0,0.08248,multiply,BTC
14,1484352000,0.08196,0.08196,0.08248,0.0,0.0,0.08196,multiply,BTC
15,1484438400,0.08212,0.08212,0.08196,0.0,0.0,0.08212,multiply,BTC
16,1484524800,0.08273,0.08273,0.08212,0.0,0.0,0.08273,multiply,BTC
17,1484611200,0.03031,0.02759,0.156,82207.99,2473.55,0.03009,invert_divide,BTC
18,1484697600,0.0872,0.0872,0.08997,0.0,0.0,0.0872,multiply,BTC
19,1484784000,0.1006,0.09675,0.02916,58440.87,5812.98,0.09947,invert_divide,BTC
20,1484870400,0.1803,0.1758,0.09947,38865.48,6940.68,0.1786,invert_divide,BTC
21,1484956800,0.09198,0.09198,0.08929,0.0,0.0,0.09198,multiply,BTC
22,1485043200,0.09188,0.09188,0.09198,0.0,0.0,0.09188,multiply,BTC
23,1485129600,0.1607,0.1577,0.1838,32744.43,5224.7,0.1596,invert_divide,BTC
24,1485216000,1.73,1.662,0.1596,58874.32,98334.75,1.67,invert_divide,BTC
25,1485302400,0.1059,0.1033,1.67,37902.18,3964.92,0.1046,invert_divide,BTC
26,1485388800,0.09156,0.09156,0.08944,0.0,0.0,0.09156,multiply,BTC
27,1485475200,0.0918,0.0918,0.09156,0.0,0.0,0.0918,multiply,BTC
28,1485561600,0.09185,0.09185,0.0918,0.0,0.0,0.09185,multiply,BTC
29,1485648000,0.09145,0.09145,0.09185,0.0,0.0,0.09145,multiply,BTC
30,1485734400,0.09207,0.09207,0.09145,0.0,0.0,0.09207,multiply,BTC
31,1485820800,0.09655,0.09655,0.09207,0.0,0.0,0.09655,multiply,BTC
32,1485907200,0.09824,0.09824,0.09655,0.0,0.0,0.09824,multiply,BTC
33,1485993600,0.2271,0.2191,0.1149,50863.87,11490.95,0.2259,invert_divide,BTC
34,1486080000,0.1013,0.1013,0.1004,0.0,0.0,0.1013,multiply,BTC
35,1486166400,0.1032,0.1032,0.1013,0.0,0.0,0.1032,multiply,BTC
36,1486252800,0.04504,0.04375,0.2322,31058.49,1375.11,0.04427,invert_divide,BTC
37,1486339200,0.1025,0.1025,0.1016,0.0,0.0,0.1025,multiply,BTC
38,1486425600,0.105,0.105,0.1025,0.0,0.0,0.105,multiply,BTC
39,1486512000,0.1527,0.1458,0.04573,65145.12,9822.86,0.1508,invert_divide,BTC
40,1486598400,2.095,1.806,0.1508,146746.26,280523.17,1.912,invert_divide,BTC
41,1486684800,0.2514,0.2368,1.912,62132.99,15496.12,0.2494,invert_divide,BTC
42,1486771200,0.1353,0.1312,0.2494,28319.39,3807.84,0.1345,invert_divide,BTC
43,1486857600,0.252,0.2481,0.1345,14750.39,3674.76,0.2491,invert_divide,BTC
44,1486944000,0.09954,0.09954,0.09965,0.0,0.0,0.09954,multiply,BTC
45,1487030400,0.2535,0.2466,0.2488,39537.9,9966.91,0.2521,invert_divide,BTC
46,1487116800,0.1838,0.1818,0.2521,23359.15,4281.9,0.1833,invert_divide,BTC
47,1487203200,0.1425,0.138,0.1833,38080.21,5383.03,0.1414,invert_divide,BTC
48,1487289600,0.1448,0.1405,0.1414,45711.79,6571.29,0.1438,invert_divide,BTC
49,1487376000,0.1477,0.1451,0.1438,25362.02,3706.66,0.1462,invert_divide,BTC
50,1487462400,0.1392,0.1367,0.1462,17953.15,2480.36,0.1382,invert_divide,BTC
51,1487548800,0.1427,0.1373,0.1382,31010.85,4408.45,0.1422,invert_divide,BTC
