,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.01421,0.01189,0.01152,185.0,2.199,0.01189,multiply,BTC
1,1483228800,0.0201,0.01199,0.01189,47281.17,886.72,0.01875,multiply,BTC
2,1483315200,0.02236,0.0161,0.01875,14793.92,301.07,0.02035,multiply,BTC
3,1483401600,0.02582,0.01808,0.02035,3274.98,64.26,0.01962,multiply,BTC
4,1483488000,0.03855,0.02156,0.01962,55153.83,1793.5,0.03252,multiply,BTC
5,1483574400,0.03827,0.02341,0.03252,48180.73,1546.81,0.0321,multiply,BTC
6,1483660800,0.03367,0.02865,0.0321,27390.58,825.75,0.03015,multiply,BTC
7,1483747200,0.03029,0.02105,0.03015,9268.01,206.94,0.02233,multiply,BTC
8,1483833600,0.02294,0.02263,0.02233,1858.97,42.07,0.02263,multiply,BTC
9,1483920000,0.02263,0.0226,0.02263,4879.77,110.29,0.0226,multiply,BTC
10,1484006400,0.02377,0.0217,0.0226,6850.6,162.82,0.02377,multiply,BTC
11,1484092800,0.02226,0.02129,0.02377,1339.32,29.81,0.02226,multiply,BTC
12,1484179200,0.02497,0.02296,0.02226,2138.36,53.39,0.02497,multiply,BTC
13,1484265600,0.03526,0.02542,0.02497,120847.52,3879.49,0.0321,multiply,BTC
14,1484352000,0.04623,0.02623,0.0321,46433.95,1217.88,0.02623,multiply,BTC
15,1484438400,0.03334,0.02628,0.02623,7399.1,244.31,0.03302,multiply,BTC
16,1484524800,0.0364,0.02523,0.03302,24475.66,890.99,0.0364,multiply,BTC
17,1484611200,0.03959,0.01799,0.0364,196973.04,5507.65,0.02796,multiply,BTC
18,1484697600,0.02966,0.02709,0.02796,10685.21,316.9,0.02966,multiply,BTC
19,1484784000,0.03131,0.01647,0.02966,93229.99,2381.13,0.02554,multiply,BTC
20,1484870400,0.0272,0.02547,0.02554,3717.38,98.22,0.02642,multiply,BTC
21,1484956800,0.02722,0.02472,0.02642,3798.97,93.9,0.02472,multiply,BTC
22,1485043200,0.0269,0.02463,0.02472,33082.62,814.96,0.02463,multiply,BTC
23,1485129600,0.03225,0.0247,0.02463,32583.71,851.2,0.02612,multiply,BTC
24,1485216000,0.02688,0.02415,0.02612,16725.99,415.73,0.02486,multiply,BTC
25,1485302400,0.02538,0.02532,0.02486,2321.12,58.77,0.02532,multiply,BTC
26,1485388800,0.02696,0.02193,0.02532,88372.47,2130.37,0.02411,multiply,BTC
27,1485475200,0.02827,0.02094,0.02411,19687.98,439.73,0.02234,multiply,BTC
28,1485561600,0.02765,0.02235,0.02234,19464.56,488.8,0.02511,multiply,BTC
29,1485648000,0.02749,0.02465,0.02511,19357.9,504.73,0.02607,multiply,BTC
30,1485734400,0.02782,0.02745,0.02607,8467.86,234.68,0.02771,multiply,BTC
31,1485820800,0.02906,0.02271,0.02771,31579.25,720.47,0.02281,multiply,BTC
32,1485907200,0.03242,0.02321,0.02281,51974.68,1313.3,0.02527,multiply,BTC
33,1485993600,0.03348,0.02508,0.02527,13169.03,364.64,0.02769,multiply,BTC
34,1486080000,0.03019,0.02568,0.02769,3415.58,87.71,0.02568,multiply,BTC
35,1486166400,0.02694,0.02489,0.02568,35243.89,880.79,0.02499,multiply,BTC
36,1486252800,0.0315,0.02451,0.02499,28458.47,896.43,0.0315,multiply,BTC
37,1486339200,0.03176,0.02996,0.0315,6729.21,213.75,0.03176,multiply,BTC
38,1486425600,0.03254,0.02659,0.03176,11240.03,298.82,0.02659,multiply,BTC
39,1486512000,0.03008,0.02548,0.02659,25774.83,656.73,0.02548,multiply,BTC
40,1486598400,0.02467,0.02359,0.02548,21332.67,522.1,0.02447,multiply,BTC
41,1486684800,0.02494,0.02494,0.02447,3803.87,94.87,0.02494,multiply,BTC
42,1486771200,0.02602,0.0243,0.02494,19776.12,480.57,0.0243,multiply,BTC
43,1486857600,0.02491,0.02491,0.0243,10767.9,268.26,0.02491,multiply,BTC
44,1486944000,0.02488,0.02339,0.02491,25864.41,604.99,0.02339,multiply,BTC
45,1487030400,0.02372,0.02159,0.02339,27748.22,599.04,0.02159,multiply,BTC
46,1487116800,0.0252,0.02129,0.02159,10868.59,231.97,0.02134,multiply,BTC
47,1487203200,0.02456,0.02147,0.02134,10373.36,223.73,0.02157,multiply,BTC
48,1487289600,0.02193,0.02003,0.02157,3226.27,64.63,0.02003,multiply,BTC
49,1487376000,0.02088,0.0199,0.02003,30529.91,607.5,0.0199,multiply,BTC
50,1487462400,0.01983,0.01807,0.0199,4486.23,81.08,0.01807,multiply,BTC
51,1487548800,0.02578,0.01847,0.01807,44182.92,985.52,0.02231,multiply,BTC
52,1487635200,0.0262,0.01937,0.02231,17300.21,335.11,0.01937,multiply,BTC
53,1487721600,0.02801,0.0194,0.01937,10712.35,266.58,0.02489,multiply,BTC
54,1487808000,0.04627,0.02206,0.02489,58481.24,2183.52,0.03734,multiply,BTC
55,1487894400,0.03935,0.0294,0.03734,35673.38,1176.4,0.03298,multiply,BTC
56,1487980800,0.03447,0.02888,0.03298,30137.53,993.17,0.03295,multiply,BTC
57,1488067200,0.0336,0.02467,0.03295,37413.46,964.32,0.02577,multiply,BTC
58,1488153600,0.0303,0.02615,0.02577,7424.53,194.18,0.02615,multiply,BTC
59,1488240000,0.02688,0.02505,0.02615,22785.75,584.51,0.02565,multiply,BTC
60,1488326400,0.02686,0.02575,0.02565,11962.72,321.34,0.02686,multiply,BTC
61,1488412800,0.03225,0.02647,0.02686,21841.96,578.05,0.02647,multiply,BTC
62,1488499200,0.02794,0.02705,0.02647,1190.95,33.27,0.02794,multiply,BTC
63,1488585600,0.02789,0.02665,0.02794,23894.16,636.82,0.02665,multiply,BTC
