,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.007505,0.007004,0.007049,3262.18,22.85,0.007004,multiply,BTC
1,1483228800,0.007944,0.007167,0.007004,2035.15,16.07,0.007894,multiply,BTC
2,1483315200,0.008065,0.007323,0.007894,11830.89,87.24,0.007374,multiply,BTC
3,1483401600,0.01002,0.007605,0.007374,6826.23,54.66,0.008008,multiply,BTC
4,1483488000,0.008493,0.008368,0.008008,1177.02,9.849,0.008368,multiply,BTC
5,1483574400,0.007351,0.007282,0.008368,1001.31,7.291,0.007282,multiply,BTC
6,1483660800,0.006628,0.006522,0.007282,7099.63,46.3,0.006522,multiply,BTC
7,1483747200,0.006684,0.006542,0.006522,410.83,2.702,0.006578,multiply,BTC
8,1483833600,0.006738,0.00663,0.006578,777.97,5.235,0.006729,multiply,BTC
9,1483920000,0.00664,0.006631,0.006729,439.46,2.914,0.006631,multiply,BTC
10,1484006400,0.006683,0.006665,0.006631,1305.06,8.71,0.006674,multiply,BTC
11,1484092800,0.009252,0.005804,0.006674,7872.07,56.64,0.007195,multiply,BTC
12,1484179200,0.01034,0.006716,0.007195,29621.95,215.97,0.007291,multiply,BTC
13,1484265600,0.007423,0.006599,0.007291,15737.58,103.85,0.006599,multiply,BTC
14,1484352000,0.008188,0.006393,0.006599,18850.53,154.35,0.008188,multiply,BTC
15,1484438400,0.008236,0.008203,0.008188,5921.46,48.58,0.008203,multiply,BTC
16,1484524800,0.00848,0.008265,0.008203,13633.89,115.62,0.00848,multiply,BTC
17,1484611200,0.009446,0.008988,0.00848,7632.52,68.67,0.008997,multiply,BTC
18,1484697600,0.009305,0.008049,0.008997,14403.87,115.93,0.008049,multiply,BTC
19,1484784000,0.009606,0.0082,0.008049,1159.6,10.74,0.009265,multiply,BTC
20,1484870400,0.008956,0.008215,0.009265,4666.4,38.33,0.008215,multiply,BTC
21,1484956800,0.00895,0.008187,0.008215,8948.47,78.2,0.008738,multiply,BTC
22,1485043200,0.00894,0.005063,0.008738,126999.64,875.19,0.006891,multiply,BTC
23,1485129600,0.006911,0.006515,0.006891,11002.45,73.3,0.006662,multiply,BTC
24,1485216000,0.006658,0.006212,0.006662,44247.94,280.39,0.006337,multiply,BTC
25,1485302400,0.006592,0.005277,0.006337,27112.43,178.72,0.006592,multiply,BTC
26,1485388800,0.007608,0.00412,0.006592,31992.09,187.17,0.00585,multiply,BTC
27,1485475200,0.01009,0.00515,0.00585,707475.72,5890.69,0.008326,multiply,BTC
28,1485561600,0.01523,0.008386,0.008326,231445.92,2840.14,0.01227,multiply,BTC
29,1485648000,0.01301,0.01213,0.01227,7913.82,96.26,0.01216,multiply,BTC
30,1485734400,0.013,0.0122,0.01216,2279.34,28.02,0.01229,multiply,BTC
31,1485820800,0.01364,0.009655,0.01229,89014.45,1031.31,0.01159,multiply,BTC
32,1485907200,0.01148,0.007064,0.01159,37150.7,370.82,0.009981,multiply,BTC
33,1485993600,0.01045,0.008895,0.009981,4602.2,41.58,0.009036,multiply,BTC
34,1486080000,0.009725,0.008975,0.009036,1060.51,9.851,0.009289,multiply,BTC
35,1486166400,0.02064,0.009204,0.009289,185225.56,2350.84,0.01269,multiply,BTC
36,1486252800,0.07113,0.01212,0.01269,947105.86,45442.82,0.04798,multiply,BTC
37,1486339200,0.09939,0.03791,0.04798,308955.05,28482.43,0.09219,multiply,BTC
38,1486425600,0.1969,0.06297,0.09219,555830.87,81497.89,0.1466,multiply,BTC
39,1486512000,0.1756,0.1077,0.1466,339841.12,41967.77,0.1235,multiply,BTC
40,1486598400,0.1322,0.02937,0.1235,1035381.24,40209.39,0.03884,multiply,BTC
41,1486684800,0.05636,0.02896,0.03884,803090.42,27592.33,0.03436,multiply,BTC
42,1486771200,0.03713,0.0272,0.03436,393946.5,12369.56,0.0314,multiply,BTC
43,1486857600,0.03387,0.0279,0.0314,249340.53,7441.76,0.02985,multiply,BTC
44,1486944000,0.03061,0.02788,0.02985,123286.62,3437.24,0.02788,multiply,BTC
45,1487030400,0.02942,0.02,0.02788,160885.18,3328.9,0.02069,multiply,BTC
46,1487116800,0.02196,0.0133,0.02069,239487.97,4459.57,0.01862,multiply,BTC
