,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.002119,0.001956,0.0021,63675.11,130.66,0.002052,multiply,BTC
1,1483228800,0.00219,0.002021,0.002052,34562.11,69.84,0.002021,multiply,BTC
2,1483315200,0.002176,0.002034,0.002021,96512.48,210.06,0.002176,multiply,BTC
3,1483401600,0.002273,0.002108,0.002176,33431.51,76.0,0.002273,multiply,BTC
4,1483488000,0.002498,0.002328,0.002273,146729.61,341.53,0.002328,multiply,BTC
5,1483574400,0.002157,0.002018,0.002328,385802.43,832.09,0.002157,multiply,BTC
6,1483660800,0.001932,0.001772,0.002157,134653.06,245.81,0.001825,multiply,BTC
7,1483747200,0.002231,0.001893,0.001825,249304.1,545.13,0.002187,multiply,BTC
8,1483833600,0.002243,0.002153,0.002187,45576.67,98.13,0.002153,multiply,BTC
9,1483920000,0.002303,0.00215,0.002153,158441.99,364.96,0.002303,multiply,BTC
10,1484006400,0.002424,0.002161,0.002303,46164.03,111.47,0.002415,multiply,BTC
11,1484092800,0.002097,0.00172,0.002415,415027.19,726.92,0.001752,multiply,BTC
12,1484179200,0.002163,0.001807,0.001752,196486.67,361.33,0.001839,multiply,BTC
13,1484265600,0.001905,0.001905,0.001839,6837.21,13.03,0.001905,multiply,BTC
14,1484352000,0.002049,0.001869,0.001905,13813.36,25.81,0.001869,multiply,BTC
15,1484438400,0.002529,0.001889,0.001869,580036.31,1467.03,0.002529,multiply,BTC
16,1484524800,0.002482,0.002126,0.002529,253381.38,568.1,0.002242,multiply,BTC
17,1484611200,0.002681,0.002393,0.002242,130508.77,334.63,0.002564,multiply,BTC
18,1484697600,0.002485,0.002442,0.002564,52893.47,130.99,0.002477,multiply,BTC
19,1484784000,0.002551,0.002399,0.002477,102390.08,259.4,0.002533,multiply,BTC
20,1484870400,0.002679,0.002527,0.002533,93273.23,237.36,0.002545,multiply,BTC
21,1484956800,0.00276,0.002576,0.002545,28484.82,73.36,0.002576,multiply,BTC
22,1485043200,0.002637,0.002325,0.002576,425035.54,1050.55,0.002472,multiply,BTC
23,1485129600,0.002755,0.002497,0.002472,239146.56,647.87,0.002709,multiply,BTC
24,1485216000,0.002637,0.002529,0.002709,73114.11,184.93,0.002529,multiply,BTC
25,1485302400,0.003712,0.002531,0.002529,784436.56,2259.18,0.00288,multiply,BTC
26,1485388800,0.003186,0.002792,0.00288,178288.03,497.86,0.002792,multiply,BTC
27,1485475200,0.003938,0.0028,0.002792,373992.74,1356.15,0.003626,multiply,BTC
28,1485561600,0.003876,0.003426,0.003626,100221.42,344.28,0.003435,multiply,BTC
29,1485648000,0.003585,0.002945,0.003435,173459.32,574.27,0.003311,multiply,BTC
30,1485734400,0.003305,0.002873,0.003311,38463.57,120.06,0.003121,multiply,BTC
31,1485820800,0.003283,0.002916,0.003121,246276.03,758.51,0.00308,multiply,BTC
32,1485907200,0.003134,0.002397,0.00308,209664.77,541.73,0.002584,multiply,BTC
33,1485993600,0.002701,0.002399,0.002584,202523.94,508.32,0.00251,multiply,BTC
34,1486080000,0.002634,0.00231,0.00251,254463.21,587.73,0.00231,multiply,BTC
35,1486166400,0.002476,0.00228,0.00231,120586.1,298.62,0.002476,multiply,BTC
36,1486252800,0.00253,0.002368,0.002476,138721.9,349.57,0.00252,multiply,BTC
37,1486339200,0.002654,0.002541,0.00252,64503.9,170.53,0.002644,multiply,BTC
38,1486425600,0.002781,0.002603,0.002644,273809.65,747.19,0.002729,multiply,BTC
39,1486512000,0.002934,0.002681,0.002729,78766.34,215.33,0.002734,multiply,BTC
40,1486598400,0.002819,0.002536,0.002734,115056.65,321.01,0.00279,multiply,BTC
41,1486684800,0.003172,0.002733,0.00279,102635.18,295.91,0.002883,multiply,BTC
42,1486771200,0.002904,0.002581,0.002883,10762.41,30.06,0.002793,multiply,BTC
43,1486857600,0.00287,0.002471,0.002793,74229.66,203.42,0.00274,multiply,BTC
44,1486944000,0.002737,0.002439,0.00274,134959.77,354.64,0.002628,multiply,BTC
45,1487030400,0.002783,0.002622,0.002628,80122.7,217.33,0.002712,multiply,BTC
46,1487116800,0.002813,0.00247,0.002712,253261.63,653.66,0.002581,multiply,BTC
47,1487203200,0.002838,0.002312,0.002581,203793.52,517.34,0.002539,multiply,BTC
48,1487289600,0.002907,0.002582,0.002539,68185.83,187.47,0.002749,multiply,BTC
49,1487376000,0.002946,0.002641,0.002749,308982.93,816.09,0.002641,multiply,BTC
50,1487462400,0.002905,0.002633,0.002641,25149.05,73.07,0.002905,multiply,BTC
51,1487548800,0.003017,0.002845,0.002905,88562.04,267.21,0.003017,multiply,BTC
52,1487635200,0.003346,0.002697,0.003017,176178.09,494.84,0.002809,multiply,BTC
53,1487721600,0.003171,0.002611,0.002809,113933.19,337.02,0.002958,multiply,BTC
54,1487808000,0.003281,0.002953,0.002958,45076.63,146.86,0.003258,multiply,BTC
55,1487894400,0.003271,0.002941,0.003258,52621.95,158.49,0.003012,multiply,BTC
56,1487980800,0.002953,0.002827,0.003012,39221.41,111.77,0.00285,multiply,BTC
57,1488067200,0.003011,0.00287,0.00285,20950.81,60.14,0.00287,multiply,BTC
58,1488153600,0.003234,0.002818,0.00287,105530.84,311.14,0.002948,multiply,BTC
59,1488240000,0.003211,0.002616,0.002948,302293.15,830.46,0.002747,multiply,BTC
60,1488326400,0.003008,0.002616,0.002747,78496.39,206.34,0.002629,multiply,BTC
61,1488412800,0.002888,0.002385,0.002629,355367.79,936.92,0.002636,multiply,BTC
62,1488499200,0.002695,0.002464,0.002636,93615.82,239.07,0.002554,multiply,BTC
63,1488585600,0.002908,0.00244,0.002554,231496.72,643.91,0.002782,multiply,BTC
64,1488672000,0.003165,0.002797,0.002782,37531.85,115.94,0.003089,multiply,BTC
65,1488758400,0.003703,0.003103,0.003089,295263.91,1014.28,0.003435,multiply,BTC
66,1488844800,0.00355,0.003316,0.003435,111641.56,386.71,0.003464,multiply,BTC
