,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.1268,0.1268,0.1262,0.0,0.0,0.1268,multiply,BTC
1,1483228800,0.131,0.131,0.1268,0.0,0.0,0.131,multiply,BTC
2,1483315200,0.1338,0.1338,0.131,0.0,0.0,0.1338,multiply,BTC
3,1483401600,0.136,0.136,0.1338,0.0,0.0,0.136,multiply,BTC
4,1483488000,0.1494,0.1494,0.136,0.0,0.0,0.1494,multiply,BTC
5,1483574400,0.1302,0.1302,0.1494,0.0,0.0,0.1302,multiply,BTC
6,1483660800,0.1166,0.1166,0.1302,0.0,0.0,0.1166,multiply,BTC
7,1483747200,0.117,0.117,0.1166,0.0,0.0,0.117,multiply,BTC
8,1483833600,0.1186,0.1186,0.117,0.0,0.0,0.1186,multiply,BTC
9,1483920000,0.1184,0.1184,0.1186,0.0,0.0,0.1184,multiply,BTC
10,1484006400,0.119,0.119,0.1184,0.0,0.0,0.119,multiply,BTC
11,1484092800,0.1034,0.1034,0.119,0.0,0.0,0.1034,multiply,BTC
12,1484179200,0.1066,0.1066,0.1034,0.0,0.0,0.1066,multiply,BTC
13,1484265600,0.1085,0.1085,0.1066,0.0,0.0,0.1085,multiply,BTC
14,1484352000,0.1079,0.1079,0.1085,0.0,0.0,0.1079,multiply,BTC
15,1484438400,0.1081,0.1081,0.1079,0.0,0.0,0.1081,multiply,BTC
16,1484524800,0.1089,0.1089,0.1081,0.0,0.0,0.1089,multiply,BTC
17,1484611200,0.1184,0.1184,0.1089,0.0,0.0,0.1184,multiply,BTC
18,1484697600,0.1148,0.1148,0.1184,0.0,0.0,0.1148,multiply,BTC
19,1484784000,0.1178,0.1178,0.1148,0.0,0.0,0.1178,multiply,BTC
20,1484870400,0.1175,0.1175,0.1178,0.0,0.0,0.1175,multiply,BTC
21,1484956800,0.1211,0.1211,0.1175,0.0,0.0,0.1211,multiply,BTC
22,1485043200,0.1209,0.1209,0.1211,0.0,0.0,0.1209,multiply,BTC
23,1485129600,0.1213,0.1213,0.1209,0.0,0.0,0.1213,multiply,BTC
24,1485216000,0.1176,0.1176,0.1213,0.0,0.0,0.1176,multiply,BTC
25,1485302400,0.1177,0.1177,0.1176,0.0,0.0,0.1177,multiply,BTC
26,1485388800,0.1205,0.1205,0.1177,0.0,0.0,0.1205,multiply,BTC
27,1485475200,0.1208,0.1208,0.1205,0.0,0.0,0.1208,multiply,BTC
28,1485561600,0.1209,0.1209,0.1208,0.0,0.0,0.1209,multiply,BTC
29,1485648000,0.1204,0.1204,0.1209,0.0,0.0,0.1204,multiply,BTC
30,1485734400,0.1212,0.1212,0.1204,0.0,0.0,0.1212,multiply,BTC
31,1485820800,0.1271,0.1271,0.1212,0.0,0.0,0.1271,multiply,BTC
32,1485907200,0.1293,0.1293,0.1271,0.0,0.0,0.1293,multiply,BTC
33,1485993600,0.1321,0.1321,0.1293,0.0,0.0,0.1321,multiply,BTC
34,1486080000,0.1333,0.1333,0.1321,0.0,0.0,0.1333,multiply,BTC
35,1486166400,0.1358,0.1358,0.1333,0.0,0.0,0.1358,multiply,BTC
36,1486252800,0.1337,0.1337,0.1358,0.0,0.0,0.1337,multiply,BTC
37,1486339200,0.1348,0.1348,0.1337,0.0,0.0,0.1348,multiply,BTC
38,1486425600,0.1381,0.1381,0.1348,0.0,0.0,0.1381,multiply,BTC
39,1486512000,0.1389,0.1389,0.1381,0.0,0.0,0.1389,multiply,BTC
40,1486598400,0.1288,0.1288,0.1389,0.0,0.0,0.1288,multiply,BTC
41,1486684800,0.1313,0.1313,0.1288,0.0,0.0,0.1313,multiply,BTC
42,1486771200,0.1327,0.1327,0.1313,0.0,0.0,0.1327,multiply,BTC
43,1486857600,0.1311,0.1311,0.1327,0.0,0.0,0.1311,multiply,BTC
44,1486944000,0.131,0.131,0.1311,0.0,0.0,0.131,multiply,BTC
45,1487030400,0.1327,0.1327,0.131,0.0,0.0,0.1327,multiply,BTC
46,1487116800,0.1327,0.1327,0.1327,0.0,0.0,0.1327,multiply,BTC
47,1487203200,0.1358,0.1358,0.1327,0.0,0.0,0.1358,multiply,BTC
48,1487289600,0.1381,0.1381,0.1358,0.0,0.0,0.1381,multiply,BTC
49,1487376000,0.1385,0.1385,0.1381,0.0,0.0,0.1385,multiply,BTC
50,1487462400,0.138,0.138,0.1385,0.0,0.0,0.138,multiply,BTC
51,1487548800,0.1418,0.1418,0.138,0.0,0.0,0.1418,multiply,BTC
52,1487635200,0.1473,0.1473,0.1418,0.0,0.0,0.1473,multiply,BTC
53,1487721600,0.1475,0.1475,0.1473,0.0,0.0,0.1475,multiply,BTC
54,1487808000,0.1542,0.1542,0.1475,0.0,0.0,0.1542,multiply,BTC
55,1487894400,0.1548,0.1548,0.1542,0.0,0.0,0.1548,multiply,BTC
56,1487980800,0.1512,0.1512,0.1548,0.0,0.0,0.1512,multiply,BTC
57,1488067200,0.1542,0.1542,0.1512,0.0,0.0,0.1542,multiply,BTC
58,1488153600,0.1565,0.1565,0.1542,0.0,0.0,0.1565,multiply,BTC
59,1488240000,0.1565,0.1565,0.1565,0.0,0.0,0.1565,multiply,BTC
60,1488326400,0.1609,0.1609,0.1565,0.0,0.0,0.1609,multiply,BTC
61,1488412800,0.1652,0.1652,0.1609,0.0,0.0,0.1652,multiply,BTC
62,1488499200,0.1689,0.1689,0.1652,0.0,0.0,0.1689,multiply,BTC
63,1488585600,0.1664,0.1664,0.1689,0.0,0.0,0.1664,multiply,BTC
64,1488672000,0.1673,0.1673,0.1664,0.0,0.0,0.1673,multiply,BTC
65,1488758400,0.1681,0.1681,0.1673,0.0,0.0,0.1681,multiply,BTC
66,1488844800,0.1622,0.1622,0.1681,0.0,0.0,0.1622,multiply,BTC
67,1488931200,0.1509,0.1509,0.1622,0.0,0.0,0.1509,multiply,BTC
68,1489017600,0.1568,0.1568,0.1509,0.0,0.0,0.1568,multiply,BTC
69,1489104000,0.1464,0.1464,0.1568,0.0,0.0,0.1464,multiply,BTC
70,1489190400,0.1552,0.1552,0.1464,0.0,0.0,0.1552,multiply,BTC
71,1489276800,0.1612,0.1612,0.1552,0.0,0.0,0.1612,multiply,BTC
72,1489363200,0.1629,0.1629,0.1612,0.0,0.0,0.1629,multiply,BTC
73,1489449600,0.1636,0.1636,0.1629,0.0,0.0,0.1636,multiply,BTC
74,1489536000,0.165,0.165,0.1636,0.0,0.0,0.165,multiply,BTC
75,1489622400,0.1544,0.1544,0.165,0.0,0.0,0.1544,multiply,BTC
76,1489708800,0.141,0.141,0.1544,0.0,0.0,0.141,multiply,BTC
77,1489795200,0.1278,0.1278,0.141,0.0,0.0,0.1278,multiply,BTC
78,1489881600,0.1346,0.1346,0.1278,0.0,0.0,0.1346,multiply,BTC
79,1489968000,0.1379,0.1379,0.1346,0.0,0.0,0.1379,multiply,BTC
80,1490054400,0.1476,0.1476,0.1379,0.0,0.0,0.1476,multiply,BTC
81,1490140800,0.1375,0.1375,0.1476,0.0,0.0,0.1375,multiply,BTC
82,1490227200,0.1362,0.1362,0.1375,0.0,0.0,0.1362,multiply,BTC
83,1490313600,0.1237,0.1237,0.1362,0.0,0.0,0.1237,multiply,BTC
84,1490400000,0.1272,0.1272,0.1237,0.0,0.0,0.1272,multiply,BTC
85,1490486400,0.1276,0.1276,0.1272,0.0,0.0,0.1276,multiply,BTC
86,1490572800,0.1375,0.1375,0.1276,0.0,0.0,0.1375,multiply,BTC
87,1490659200,0.1374,0.1374,0.1375,0.0,0.0,0.1374,multiply,BTC
88,1490745600,0.1371,0.1371,0.1374,0.0,0.0,0.1371,multiply,BTC
89,1490832000,0.1366,0.1366,0.1371,0.0,0.0,0.1366,multiply,BTC
90,1490918400,0.142,0.142,0.1366,0.0,0.0,0.142,multiply,BTC
91,1491004800,0.1429,0.1429,0.142,0.0,0.0,0.1429,multiply,BTC
92,1491091200,0.1444,0.1444,0.1429,0.0,0.0,0.1444,multiply,BTC
93,1491177600,0.151,0.151,0.1444,0.0,0.0,0.151,multiply,BTC
94,1491264000,0.1503,0.1503,0.151,0.0,0.0,0.1503,multiply,BTC
95,1491350400,0.1487,0.1487,0.1503,0.0,0.0,0.1487,multiply,BTC
96,1491436800,0.1564,0.1564,0.1487,0.0,0.0,0.1564,multiply,BTC
97,1491523200,0.1567,0.1567,0.1564,0.0,0.0,0.1567,multiply,BTC
98,1491609600,0.1554,0.1554,0.1567,0.0,0.0,0.1554,multiply,BTC
99,1491696000,0.1585,0.1585,0.1554,0.0,0.0,0.1585,multiply,BTC
100,1491782400,0.1588,0.1588,0.1585,0.0,0.0,0.1588,multiply,BTC
101,1491868800,0.1606,0.1606,0.1588,0.0,0.0,0.1606,multiply,BTC
102,1491955200,0.1596,0.1596,0.1606,0.0,0.0,0.1596,multiply,BTC
103,1492041600,0.1548,0.1548,0.1596,0.0,0.0,0.1548,multiply,BTC
104,1492128000,0.1549,0.1549,0.1548,0.0,0.0,0.1549,multiply,BTC
105,1492214400,0.1549,0.1549,0.1549,0.0,0.0,0.1549,multiply,BTC
106,1492300800,0.1549,0.1549,0.1549,0.0,0.0,0.1549,multiply,BTC
107,1492387200,0.1571,0.1571,0.1549,0.0,0.0,0.1571,multiply,BTC
108,1492473600,0.1587,0.1587,0.1571,0.0,0.0,0.1587,multiply,BTC
109,1492560000,0.1599,0.1599,0.1587,0.0,0.0,0.1599,multiply,BTC
110,1492646400,0.1629,0.1629,0.1599,0.0,0.0,0.1629,multiply,BTC
111,1492732800,0.1645,0.1645,0.1629,0.0,0.0,0.1645,multiply,BTC
112,1492819200,0.1633,0.1633,0.1645,0.0,0.0,0.1633,multiply,BTC
113,1492905600,0.1644,0.1644,0.1633,0.0,0.0,0.1644,multiply,BTC
114,1492992000,0.1643,0.1643,0.1644,0.0,0.0,0.1643,multiply,BTC
115,1493078400,0.1664,0.1664,0.1643,0.0,0.0,0.1664,multiply,BTC
116,1493164800,0.1693,0.1693,0.1664,0.0,0.0,0.1693,multiply,BTC
117,1493251200,0.1754,0.1754,0.1693,0.0,0.0,0.1754,multiply,BTC
