,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.06332,0.06332,0.06304,0.0,0.0,0.06332,multiply,BTC
1,1483228800,0.06543,0.06543,0.06332,0.0,0.0,0.06543,multiply,BTC
2,1483315200,0.06685,0.06685,0.06543,0.0,0.0,0.06685,multiply,BTC
3,1483401600,0.06792,0.06792,0.06685,0.0,0.0,0.06792,multiply,BTC
4,1483488000,0.07463,0.07463,0.06792,0.0,0.0,0.07463,multiply,BTC
5,1483574400,0.06503,0.06503,0.07463,0.0,0.0,0.06503,multiply,BTC
6,1483660800,0.05825,0.05825,0.06503,0.0,0.0,0.05825,multiply,BTC
7,1483747200,0.05843,0.05843,0.05825,0.0,0.0,0.05843,multiply,BTC
8,1483833600,0.05921,0.05921,0.05843,0.0,0.0,0.05921,multiply,BTC
9,1483920000,0.05914,0.05914,0.05921,0.0,0.0,0.05914,multiply,BTC
10,1484006400,0.05944,0.05944,0.05914,0.0,0.0,0.05944,multiply,BTC
11,1484092800,0.05163,0.05163,0.05944,0.0,0.0,0.05163,multiply,BTC
12,1484179200,0.05325,0.05325,0.05163,0.0,0.0,0.05325,multiply,BTC
13,1484265600,0.05422,0.05422,0.05325,0.0,0.0,0.05422,multiply,BTC
14,1484352000,0.05387,0.05387,0.05422,0.0,0.0,0.05387,multiply,BTC
15,1484438400,0.05398,0.05398,0.05387,0.0,0.0,0.05398,multiply,BTC
16,1484524800,0.05438,0.05438,0.05398,0.0,0.0,0.05438,multiply,BTC
17,1484611200,0.05913,0.05913,0.05438,0.0,0.0,0.05913,multiply,BTC
18,1484697600,0.05732,0.05732,0.05913,0.0,0.0,0.05732,multiply,BTC
19,1484784000,0.05884,0.05884,0.05732,0.0,0.0,0.05884,multiply,BTC
20,1484870400,0.05869,0.05869,0.05884,0.0,0.0,0.05869,multiply,BTC
21,1484956800,0.06046,0.06046,0.05869,0.0,0.0,0.06046,multiply,BTC
22,1485043200,0.0604,0.0604,0.06046,0.0,0.0,0.0604,multiply,BTC
23,1485129600,0.06057,0.06057,0.0604,0.0,0.0,0.06057,multiply,BTC
24,1485216000,0.05875,0.05875,0.06057,0.0,0.0,0.05875,multiply,BTC
25,1485302400,0.05879,0.05879,0.05875,0.0,0.0,0.05879,multiply,BTC
26,1485388800,0.06018,0.06018,0.05879,0.0,0.0,0.06018,multiply,BTC
27,1485475200,0.06034,0.06034,0.06018,0.0,0.0,0.06034,multiply,BTC
28,1485561600,0.06037,0.06037,0.06034,0.0,0.0,0.06037,multiply,BTC
29,1485648000,0.06011,0.06011,0.06037,0.0,0.0,0.06011,multiply,BTC
30,1485734400,0.06052,0.06052,0.06011,0.0,0.0,0.06052,multiply,BTC
31,1485820800,0.06346,0.06346,0.06052,0.0,0.0,0.06346,multiply,BTC
32,1485907200,0.06458,0.06458,0.06346,0.0,0.0,0.06458,multiply,BTC
33,1485993600,0.06599,0.06599,0.06458,0.0,0.0,0.06599,multiply,BTC
34,1486080000,0.06659,0.06659,0.06599,0.0,0.0,0.06659,multiply,BTC
35,1486166400,0.06782,0.06782,0.06659,0.0,0.0,0.06782,multiply,BTC
36,1486252800,0.06679,0.06679,0.06782,0.0,0.0,0.06679,multiply,BTC
37,1486339200,0.06735,0.06735,0.06679,0.0,0.0,0.06735,multiply,BTC
38,1486425600,0.06899,0.06899,0.06735,0.0,0.0,0.06899,multiply,BTC
39,1486512000,0.06938,0.06938,0.06899,0.0,0.0,0.06938,multiply,BTC
40,1486598400,0.06435,0.06435,0.06938,0.0,0.0,0.06435,multiply,BTC
41,1486684800,0.06557,0.06557,0.06435,0.0,0.0,0.06557,multiply,BTC
42,1486771200,0.06628,0.06628,0.06557,0.0,0.0,0.06628,multiply,BTC
43,1486857600,0.0655,0.0655,0.06628,0.0,0.0,0.0655,multiply,BTC
44,1486944000,0.06543,0.06543,0.0655,0.0,0.0,0.06543,multiply,BTC
45,1487030400,0.06628,0.06628,0.06543,0.0,0.0,0.06628,multiply,BTC
46,1487116800,0.06627,0.06627,0.06628,0.0,0.0,0.06627,multiply,BTC
47,1487203200,0.06783,0.06783,0.06627,0.0,0.0,0.06783,multiply,BTC
48,1487289600,0.06898,0.06898,0.06783,0.0,0.0,0.06898,multiply,BTC
49,1487376000,0.06917,0.06917,0.06898,0.0,0.0,0.06917,multiply,BTC
50,1487462400,0.06894,0.06894,0.06917,0.0,0.0,0.06894,multiply,BTC
51,1487548800,0.07083,0.07083,0.06894,0.0,0.0,0.07083,multiply,BTC
52,1487635200,0.07355,0.07355,0.07083,0.0,0.0,0.07355,multiply,BTC
53,1487721600,0.07365,0.07365,0.07355,0.0,0.0,0.07365,multiply,BTC
54,1487808000,0.07703,0.07703,0.07365,0.0,0.0,0.07703,multiply,BTC
55,1487894400,0.07733,0.07733,0.07703,0.0,0.0,0.07733,multiply,BTC
56,1487980800,0.07553,0.07553,0.07733,0.0,0.0,0.07553,multiply,BTC
57,1488067200,0.07701,0.07701,0.07553,0.0,0.0,0.07701,multiply,BTC
58,1488153600,0.07814,0.07814,0.07701,0.0,0.0,0.07814,multiply,BTC
59,1488240000,0.07817,0.07817,0.07814,0.0,0.0,0.07817,multiply,BTC
60,1488326400,0.08037,0.08037,0.07817,0.0,0.0,0.08037,multiply,BTC
61,1488412800,0.08252,0.08252,0.08037,0.0,0.0,0.08252,multiply,BTC
62,1488499200,0.08435,0.08435,0.08252,0.0,0.0,0.08435,multiply,BTC
63,1488585600,0.0831,0.0831,0.08435,0.0,0.0,0.0831,multiply,BTC
64,1488672000,0.08356,0.08356,0.0831,0.0,0.0,0.08356,multiply,BTC
65,1488758400,0.08394,0.08394,0.08356,0.0,0.0,0.08394,multiply,BTC
66,1488844800,0.08102,0.08102,0.08394,0.0,0.0,0.08102,multiply,BTC
67,1488931200,0.07539,0.07539,0.08102,0.0,0.0,0.07539,multiply,BTC
68,1489017600,0.07831,0.07831,0.07539,0.0,0.0,0.07831,multiply,BTC
69,1489104000,0.07312,0.07312,0.07831,0.0,0.0,0.07312,multiply,BTC
70,1489190400,0.07751,0.07751,0.07312,0.0,0.0,0.07751,multiply,BTC
71,1489276800,0.08053,0.08053,0.07751,0.0,0.0,0.08053,multiply,BTC
72,1489363200,0.08139,0.08139,0.08053,0.0,0.0,0.08139,multiply,BTC
73,1489449600,0.08171,0.08171,0.08139,0.0,0.0,0.08171,multiply,BTC
74,1489536000,0.08239,0.08239,0.08171,0.0,0.0,0.08239,multiply,BTC
75,1489622400,0.07709,0.07709,0.08239,0.0,0.0,0.07709,multiply,BTC
76,1489708800,0.07044,0.07044,0.07709,0.0,0.0,0.07044,multiply,BTC
77,1489795200,0.06385,0.06385,0.07044,0.0,0.0,0.06385,multiply,BTC
78,1489881600,0.06722,0.06722,0.06385,0.0,0.0,0.06722,multiply,BTC
79,1489968000,0.06885,0.06885,0.06722,0.0,0.0,0.06885,multiply,BTC
80,1490054400,0.0737,0.0737,0.06885,0.0,0.0,0.0737,multiply,BTC
81,1490140800,0.06867,0.06867,0.0737,0.0,0.0,0.06867,multiply,BTC
82,1490227200,0.06803,0.06803,0.06867,0.0,0.0,0.06803,multiply,BTC
83,1490313600,0.06177,0.06177,0.06803,0.0,0.0,0.06177,multiply,BTC
84,1490400000,0.06351,0.06351,0.06177,0.0,0.0,0.06351,multiply,BTC
85,1490486400,0.06372,0.06372,0.06351,0.0,0.0,0.06372,multiply,BTC
86,1490572800,0.0687,0.0687,0.06372,0.0,0.0,0.0687,multiply,BTC
87,1490659200,0.06865,0.06865,0.0687,0.0,0.0,0.06865,multiply,BTC
88,1490745600,0.06848,0.06848,0.06865,0.0,0.0,0.06848,multiply,BTC
89,1490832000,0.06822,0.06822,0.06848,0.0,0.0,0.06822,multiply,BTC
90,1490918400,0.07093,0.07093,0.06822,0.0,0.0,0.07093,multiply,BTC
91,1491004800,0.07139,0.07139,0.07093,0.0,0.0,0.07139,multiply,BTC
92,1491091200,0.07213,0.07213,0.07139,0.0,0.0,0.07213,multiply,BTC
93,1491177600,0.07543,0.07543,0.07213,0.0,0.0,0.07543,multiply,BTC
94,1491264000,0.07505,0.07505,0.07543,0.0,0.0,0.07505,multiply,BTC
95,1491350400,0.07427,0.07427,0.07505,0.0,0.0,0.07427,multiply,BTC
96,1491436800,0.07813,0.07813,0.07427,0.0,0.0,0.07813,multiply,BTC
97,1491523200,0.07825,0.07825,0.07813,0.0,0.0,0.07825,multiply,BTC
