,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,9.63e-06,9.63e-06,9.59e-06,10000.0,0.09634,9.63e-06,multiply,BTC
1,1483228800,9.95e-06,9.95e-06,9.63e-06,22020.0,0.2192,9.95e-06,multiply,BTC
2,1483315200,1.017e-05,1.017e-05,9.95e-06,10001.0,0.1017,1.017e-05,multiply,BTC
3,1483401600,1.033e-05,1.033e-05,1.017e-05,0.0,0.0,1.033e-05,multiply,BTC
4,1483488000,1.135e-05,1.135e-05,1.033e-05,129357.0,1.469,1.135e-05,multiply,BTC
5,1483574400,9.89e-06,9.89e-06,1.135e-05,15000.0,0.1484,9.89e-06,multiply,BTC
6,1483660800,8.86e-06,8.86e-06,9.89e-06,140000.0,1.241,8.86e-06,multiply,BTC
7,1483747200,8.89e-06,8.89e-06,8.86e-06,0.0,0.0,8.89e-06,multiply,BTC
8,1483833600,9.01e-06,9.01e-06,8.89e-06,0.0,0.0,9.01e-06,multiply,BTC
9,1483920000,9e-06,9e-06,9.01e-06,172818.0,1.555,9e-06,multiply,BTC
10,1484006400,9.04e-06,9.04e-06,9e-06,0.0,0.0,9.04e-06,multiply,BTC
11,1484092800,7.85e-06,7.85e-06,9.04e-06,0.0,0.0,7.85e-06,multiply,BTC
12,1484179200,8.1e-06,8.1e-06,7.85e-06,0.0,0.0,8.1e-06,multiply,BTC
13,1484265600,8.25e-06,8.25e-06,8.1e-06,173841.0,1.434,8.25e-06,multiply,BTC
14,1484352000,8.2e-06,8.2e-06,8.25e-06,0.0,0.0,8.2e-06,multiply,BTC
15,1484438400,8.21e-06,8.21e-06,8.2e-06,3030535.0,24.89,8.21e-06,multiply,BTC
16,1484524800,8.27e-06,8.27e-06,8.21e-06,2048320.0,16.95,8.27e-06,multiply,BTC
17,1484611200,9e-06,9e-06,8.27e-06,370000.0,3.329,9e-06,multiply,BTC
18,1484697600,8.72e-06,8.72e-06,9e-06,0.0,0.0,8.72e-06,multiply,BTC
19,1484784000,8.95e-06,8.95e-06,8.72e-06,350169.0,3.135,8.95e-06,multiply,BTC
20,1484870400,8.93e-06,8.93e-06,8.95e-06,44017369.0,393.04,8.93e-06,multiply,BTC
21,1484956800,9.2e-06,9.2e-06,8.93e-06,152393870.0,1401.78,9.2e-06,multiply,BTC
22,1485043200,9.19e-06,9.19e-06,9.2e-06,150076503.0,1378.96,9.19e-06,multiply,BTC
23,1485129600,9.21e-06,9.21e-06,9.19e-06,256216348.0,2360.93,9.21e-06,multiply,BTC
