,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.213,0.1882,0.1911,311412.38,63511.79,0.2039,multiply,BTC
1,1483228800,0.2328,0.2106,0.2039,431362.8,92620.67,0.2147,multiply,BTC
2,1483315200,0.2205,0.1955,0.2147,413302.42,88357.41,0.2138,multiply,BTC
3,1483401600,0.2204,0.201,0.2138,178114.3,36772.29,0.2065,multiply,BTC
4,1483488000,0.2301,0.2006,0.2065,521608.39,105063.27,0.2014,multiply,BTC
5,1483574400,0.2078,0.1749,0.2014,569789.37,111785.9,0.1962,multiply,BTC
6,1483660800,0.1823,0.1696,0.1962,164174.51,28922.39,0.1762,multiply,BTC
7,1483747200,0.1868,0.1737,0.1762,134521.89,24608.01,0.1829,multiply,BTC
8,1483833600,0.1891,0.1776,0.1829,137502.9,25170.56,0.1831,multiply,BTC
9,1483920000,0.183,0.1735,0.1831,118211.95,21113.4,0.1786,multiply,BTC
10,1484006400,0.2071,0.1755,0.1786,1343505.31,257220.98,0.1915,multiply,BTC
11,1484092800,0.1767,0.1556,0.1915,515202.09,81254.76,0.1577,multiply,BTC
12,1484179200,0.17,0.1606,0.1577,373753.75,61949.13,0.1657,multiply,BTC
13,1484265600,0.1851,0.1666,0.1657,179654.67,30111.1,0.1676,multiply,BTC
14,1484352000,0.1763,0.1658,0.1676,167754.47,28503.04,0.1699,multiply,BTC
15,1484438400,0.1725,0.1667,0.1699,152184.57,25931.15,0.1704,multiply,BTC
16,1484524800,0.1785,0.168,0.1704,257862.77,43393.39,0.1683,multiply,BTC
17,1484611200,0.1846,0.1708,0.1683,176874.76,30234.16,0.1709,multiply,BTC
18,1484697600,0.186,0.1655,0.1709,249423.07,42152.35,0.169,multiply,BTC
19,1484784000,0.1766,0.169,0.169,215668.18,37069.12,0.1719,multiply,BTC
20,1484870400,0.1723,0.1609,0.1719,312496.16,52987.98,0.1696,multiply,BTC
21,1484956800,0.1773,0.1698,0.1696,220962.16,38007.72,0.172,multiply,BTC
22,1485043200,0.1788,0.1658,0.172,194873.67,33985.16,0.1744,multiply,BTC
23,1485129600,0.187,0.166,0.1744,518594.43,94187.0,0.1816,multiply,BTC
24,1485216000,0.1813,0.1688,0.1816,310888.42,55126.73,0.1773,multiply,BTC
25,1485302400,0.1773,0.162,0.1773,458552.1,76900.05,0.1677,multiply,BTC
26,1485388800,0.1828,0.1673,0.1677,391040.01,67093.06,0.1716,multiply,BTC
27,1485475200,0.1831,0.1661,0.1716,571451.04,100827.69,0.1764,multiply,BTC
28,1485561600,0.2727,0.1704,0.1764,5785853.65,1232401.11,0.213,multiply,BTC
29,1485648000,0.2311,0.1975,0.213,1834120.38,413813.3,0.2256,multiply,BTC
30,1485734400,0.231,0.2137,0.2256,844534.51,188176.36,0.2228,multiply,BTC
31,1485820800,0.243,0.2202,0.2228,1042322.12,242933.27,0.2331,multiply,BTC
32,1485907200,0.2845,0.2355,0.2331,1728003.54,417789.82,0.2418,multiply,BTC
33,1485993600,0.2644,0.2412,0.2418,455655.77,113131.03,0.2483,multiply,BTC
34,1486080000,0.2931,0.2496,0.2483,753510.12,207623.26,0.2755,multiply,BTC
35,1486166400,0.3168,0.2786,0.2755,1238546.32,387615.59,0.313,multiply,BTC
36,1486252800,0.3083,0.2742,0.313,1055297.88,300243.64,0.2845,multiply,BTC
37,1486339200,0.2981,0.2689,0.2845,406797.05,112544.84,0.2767,multiply,BTC
38,1486425600,0.2836,0.2524,0.2767,888185.35,238457.74,0.2685,multiply,BTC
39,1486512000,0.2876,0.2647,0.2685,446975.3,120303.38,0.2691,multiply,BTC
40,1486598400,0.2632,0.2364,0.2691,578821.03,143020.6,0.2471,multiply,BTC
41,1486684800,0.2523,0.2296,0.2471,376064.6,89889.73,0.239,multiply,BTC
42,1486771200,0.253,0.2341,0.239,424265.25,107034.34,0.2523,multiply,BTC
