,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
1,1483228800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
2,1483315200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
3,1483401600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
4,1483488000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
5,1483574400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
6,1483660800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
7,1483747200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
8,1483833600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
9,1483920000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
10,1484006400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
11,1484092800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
12,1484179200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
13,1484265600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
14,1484352000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC
15,1484438400,0.1232,0.01642,0.01639,1553.82,67.0,0.04312,multiply,BTC
16,1484524800,0.04963,0.03392,0.04312,5024.38,195.37,0.03888,multiply,BTC
17,1484611200,1.799,0.036,0.03888,101721.98,6405.15,0.06297,multiply,BTC
18,1484697600,0.06103,0.04796,0.06297,8908.37,543.01,0.06095,multiply,BTC
19,1484784000,0.07072,0.04352,0.06095,7453.92,324.37,0.04352,multiply,BTC
20,1484870400,0.05362,0.0434,0.04352,1595.28,71.93,0.04509,multiply,BTC
21,1484956800,0.04645,0.03311,0.04509,3568.7,118.17,0.03311,multiply,BTC
22,1485043200,0.04332,0.03216,0.03311,6118.27,196.76,0.03216,multiply,BTC
23,1485129600,0.03225,0.0258,0.03216,3207.49,82.76,0.0258,multiply,BTC
24,1485216000,0.02502,0.02258,0.0258,78.18,1.765,0.02258,multiply,BTC
25,1485302400,0.04025,0.02259,0.02258,3648.82,146.86,0.04025,multiply,BTC
26,1485388800,0.06399,0.02658,0.04025,10504.84,432.9,0.04121,multiply,BTC
27,1485475200,0.0459,0.04132,0.04121,200.0,9.18,0.0459,multiply,BTC
28,1485561600,0.05511,0.03242,0.0459,808.36,26.22,0.03243,multiply,BTC
29,1485648000,0.03233,0.03229,0.03243,1179.46,38.09,0.03229,multiply,BTC
30,1485734400,0.03251,0.02772,0.03229,2711.91,75.43,0.02782,multiply,BTC
31,1485820800,0.04054,0.02914,0.02782,1845.05,74.8,0.04054,multiply,BTC
32,1485907200,0.04125,0.03003,0.04054,5328.4,160.08,0.03004,multiply,BTC
33,1485993600,0.04017,0.0307,0.03004,4128.29,128.94,0.03123,multiply,BTC
34,1486080000,0.03162,0.03142,0.03123,3396.43,107.38,0.03162,multiply,BTC
35,1486166400,0.0325,0.03158,0.03162,3866.9,122.26,0.03162,multiply,BTC
36,1486252800,0.03963,0.03113,0.03162,2947.9,94.09,0.03192,multiply,BTC
37,1486339200,0.04816,0.03133,0.03192,1961.93,61.5,0.03134,multiply,BTC
38,1486425600,0.04104,0.03179,0.03134,5952.29,244.27,0.04104,multiply,BTC
39,1486512000,0.04127,0.03272,0.04104,2844.05,93.06,0.03272,multiply,BTC
40,1486598400,0.03573,0.03035,0.03272,2519.07,77.19,0.03064,multiply,BTC
41,1486684800,0.03542,0.02893,0.03064,13754.17,453.21,0.03295,multiply,BTC
42,1486771200,0.0333,0.02826,0.03295,6020.09,170.21,0.02827,multiply,BTC
43,1486857600,0.05382,0.02893,0.02827,89839.09,3669.69,0.04085,multiply,BTC
44,1486944000,0.04408,0.03287,0.04085,113144.99,4508.18,0.03984,multiply,BTC
45,1487030400,0.0443,0.03729,0.03984,22821.16,918.39,0.04024,multiply,BTC
46,1487116800,0.04546,0.03729,0.04024,77005.31,3027.8,0.03932,multiply,BTC
47,1487203200,0.04367,0.03533,0.03932,95834.94,3735.26,0.03898,multiply,BTC
48,1487289600,0.04019,0.03658,0.03898,28564.47,1055.45,0.03695,multiply,BTC
49,1487376000,0.04211,0.03631,0.03695,35895.11,1484.81,0.04137,multiply,BTC
50,1487462400,0.04195,0.0341,0.04137,62959.95,2423.6,0.03849,multiply,BTC
51,1487548800,0.03979,0.03771,0.03849,19818.03,747.43,0.03771,multiply,BTC
52,1487635200,0.03917,0.03693,0.03771,11688.54,431.63,0.03693,multiply,BTC
53,1487721600,0.03729,0.03698,0.03693,10512.0,388.68,0.03698,multiply,BTC
54,1487808000,0.03988,0.03867,0.03698,20346.77,789.02,0.03878,multiply,BTC
55,1487894400,0.042,0.03882,0.03878,7969.79,334.55,0.04198,multiply,BTC
56,1487980800,0.04232,0.03795,0.04198,7833.47,315.04,0.04022,multiply,BTC
57,1488067200,0.04276,0.03983,0.04022,13992.35,557.37,0.03983,multiply,BTC
58,1488153600,0.0422,0.03923,0.03983,11621.01,463.23,0.03986,multiply,BTC
59,1488240000,0.04023,0.03806,0.03986,5413.14,206.01,0.03806,multiply,BTC
60,1488326400,0.0401,0.03913,0.03806,1763.98,69.64,0.03948,multiply,BTC
61,1488412800,0.04385,0.03908,0.03948,4286.52,167.53,0.03908,multiply,BTC
62,1488499200,0.04,0.03995,0.03908,2151.45,85.95,0.03995,multiply,BTC
63,1488585600,0.04297,0.03809,0.03995,12548.1,478.01,0.03809,multiply,BTC
64,1488672000,0.04067,0.0383,0.03809,12905.64,494.31,0.0383,multiply,BTC
65,1488758400,0.03927,0.03831,0.0383,14382.09,550.98,0.03831,multiply,BTC
66,1488844800,0.04067,0.03698,0.03831,22917.06,931.96,0.04067,multiply,BTC
67,1488931200,0.03784,0.03556,0.04067,5208.51,191.23,0.03671,multiply,BTC
68,1489017600,0.03863,0.03574,0.03671,23073.23,825.18,0.03576,multiply,BTC
69,1489104000,0.03709,0.02907,0.03576,35514.02,1317.11,0.03709,multiply,BTC
70,1489190400,0.03932,0.03124,0.03709,5165.3,170.55,0.03302,multiply,BTC
71,1489276800,0.03843,0.02834,0.03302,14291.7,472.04,0.03303,multiply,BTC
72,1489363200,0.03338,0.02478,0.03303,8950.6,221.76,0.02478,multiply,BTC
73,1489449600,0.03705,0.02486,0.02478,14814.79,470.55,0.03176,multiply,BTC
74,1489536000,0.03711,0.02885,0.03176,4849.24,160.89,0.03318,multiply,BTC
75,1489622400,0.03105,0.02348,0.03318,4998.29,131.9,0.02639,multiply,BTC
76,1489708800,0.03561,0.02411,0.02639,34150.37,951.95,0.02788,multiply,BTC
