,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.005472,0.004798,0.004805,2917.69,14.19,0.004865,multiply,BTC
1,1483228800,0.005365,0.004718,0.004865,2771.69,13.13,0.004738,multiply,BTC
2,1483315200,0.004678,0.003661,0.004738,39100.8,143.16,0.003661,multiply,BTC
3,1483401600,0.003854,0.003534,0.003661,2757.6,9.745,0.003534,multiply,BTC
4,1483488000,0.004349,0.004031,0.003534,15726.88,63.39,0.004031,multiply,BTC
5,1483574400,0.003532,0.003285,0.004031,433.4,1.424,0.003285,multiply,BTC
6,1483660800,0.0028,0.0028,0.003285,750.0,2.1,0.0028,multiply,BTC
7,1483747200,0.003218,0.002578,0.0028,9868.47,31.14,0.003155,multiply,BTC
8,1483833600,0.003198,0.002865,0.003155,12481.16,38.34,0.003072,multiply,BTC
9,1483920000,0.003725,0.00305,0.003072,12864.06,47.92,0.003725,multiply,BTC
10,1484006400,0.00359,0.002623,0.003725,10234.65,33.97,0.003319,multiply,BTC
11,1484092800,0.00322,0.002278,0.003319,4539.78,13.3,0.00293,multiply,BTC
12,1484179200,0.004966,0.002876,0.00293,14945.73,52.55,0.003516,multiply,BTC
13,1484265600,0.003786,0.003283,0.003516,35641.62,129.06,0.003621,multiply,BTC
14,1484352000,0.005549,0.003262,0.003621,27332.48,140.69,0.005147,multiply,BTC
15,1484438400,0.005765,0.004927,0.005147,7834.76,45.16,0.005765,multiply,BTC
16,1484524800,0.005858,0.005295,0.005765,38259.17,221.57,0.005791,multiply,BTC
17,1484611200,0.007773,0.005542,0.005791,18675.66,126.35,0.006765,multiply,BTC
18,1484697600,0.007412,0.006017,0.006765,4108.88,30.42,0.007404,multiply,BTC
19,1484784000,0.007609,0.006177,0.007404,8030.62,61.04,0.0076,multiply,BTC
20,1484870400,0.00759,0.007072,0.0076,5856.19,44.39,0.007581,multiply,BTC
21,1484956800,0.008481,0.006347,0.007581,41116.68,318.07,0.007736,multiply,BTC
22,1485043200,0.007792,0.003878,0.007736,85631.68,378.46,0.00442,multiply,BTC
23,1485129600,0.004801,0.003115,0.00442,115345.92,359.25,0.003115,multiply,BTC
24,1485216000,0.00723,0.002815,0.003115,557473.71,2516.12,0.004513,multiply,BTC
25,1485302400,0.01189,0.003971,0.004513,152911.96,986.08,0.006449,multiply,BTC
26,1485388800,0.007663,0.003745,0.006449,1760565.39,10316.18,0.00586,multiply,BTC
27,1485475200,0.007133,0.004645,0.00586,65323.27,307.03,0.0047,multiply,BTC
28,1485561600,0.00609,0.004776,0.0047,13336.96,74.11,0.005557,multiply,BTC
29,1485648000,0.005835,0.004801,0.005557,4889.6,24.24,0.004957,multiply,BTC
30,1485734400,0.005202,0.003351,0.004957,32568.14,150.53,0.004622,multiply,BTC
31,1485820800,0.005233,0.003553,0.004622,29459.4,135.39,0.004596,multiply,BTC
32,1485907200,0.005728,0.00448,0.004596,19676.34,102.26,0.005197,multiply,BTC
33,1485993600,0.006777,0.00514,0.005197,34409.42,191.73,0.005572,multiply,BTC
34,1486080000,0.006311,0.004447,0.005572,62992.01,356.71,0.005663,multiply,BTC
35,1486166400,0.01216,0.005273,0.005663,57536.51,336.03,0.00584,multiply,BTC
36,1486252800,0.00885,0.005751,0.00584,21007.52,163.3,0.007773,multiply,BTC
37,1486339200,0.007736,0.005912,0.007773,24246.1,153.79,0.006343,multiply,BTC
38,1486425600,0.006654,0.006455,0.006343,43361.95,279.89,0.006455,multiply,BTC
39,1486512000,0.006818,0.005626,0.006455,16922.83,115.21,0.006808,multiply,BTC
40,1486598400,0.006256,0.006021,0.006808,737.41,4.591,0.006226,multiply,BTC
41,1486684800,0.007013,0.005766,0.006226,34081.37,204.0,0.005986,multiply,BTC
42,1486771200,0.008157,0.00605,0.005986,9331.45,66.71,0.007149,multiply,BTC
43,1486857600,0.008052,0.006926,0.007149,2046.57,15.15,0.007404,multiply,BTC
44,1486944000,0.007405,0.006908,0.007404,1015.6,7.521,0.007405,multiply,BTC
45,1487030400,0.007502,0.007502,0.007405,0.0,0.0,0.007502,multiply,BTC
46,1487116800,0.007501,0.006352,0.007502,3363.11,22.99,0.006836,multiply,BTC
47,1487203200,0.00744,0.006243,0.006836,11639.63,85.04,0.007306,multiply,BTC
48,1487289600,0.008448,0.007188,0.007306,3798.21,30.61,0.008059,multiply,BTC
