,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.01714,0.01714,0.01706,0.0,0.0,0.01714,multiply,BTC
1,1483228800,0.01771,0.01769,0.01714,1791.12,31.68,0.01769,multiply,BTC
2,1483315200,0.01807,0.01409,0.01769,16975.99,239.13,0.01409,multiply,BTC
3,1483401600,0.01917,0.0116,0.01409,11470.4,219.86,0.01917,multiply,BTC
4,1483488000,0.02782,0.02106,0.01917,15895.88,410.24,0.02581,multiply,BTC
5,1483574400,0.02334,0.01964,0.02581,1314.67,28.5,0.02168,multiply,BTC
6,1483660800,0.01902,0.01902,0.02168,36.34,0.6911,0.01902,multiply,BTC
7,1483747200,0.02037,0.01838,0.01902,3035.79,55.8,0.01838,multiply,BTC
8,1483833600,0.01863,0.01863,0.01838,0.0,0.0,0.01863,multiply,BTC
9,1483920000,0.02249,0.018,0.01863,10437.95,214.23,0.02052,multiply,BTC
10,1484006400,0.02211,0.01885,0.02052,4471.64,98.88,0.02211,multiply,BTC
11,1484092800,0.01831,0.01829,0.02211,129.16,2.365,0.01831,multiply,BTC
12,1484179200,0.02085,0.01871,0.01831,22758.88,455.4,0.02001,multiply,BTC
13,1484265600,0.02144,0.01741,0.02001,4880.57,104.63,0.02144,multiply,BTC
14,1484352000,0.0191,0.01787,0.02144,105.34,1.882,0.01787,multiply,BTC
15,1484438400,0.02049,0.01273,0.01787,8363.07,158.36,0.01894,multiply,BTC
16,1484524800,0.01986,0.007529,0.01894,113995.78,1857.03,0.01629,multiply,BTC
17,1484611200,0.01771,0.01404,0.01629,27355.85,410.02,0.01499,multiply,BTC
18,1484697600,0.01412,0.0109,0.01499,4531.66,61.77,0.01363,multiply,BTC
19,1484784000,0.01434,0.0112,0.01363,16531.18,190.02,0.01149,multiply,BTC
20,1484870400,0.01328,0.01071,0.01149,14348.72,153.75,0.01071,multiply,BTC
21,1484956800,0.01743,0.01211,0.01071,12325.55,214.85,0.01743,multiply,BTC
22,1485043200,0.01459,0.009391,0.01743,115382.8,1293.42,0.01121,multiply,BTC
23,1485129600,0.01158,0.009417,0.01121,14089.26,136.58,0.009694,multiply,BTC
24,1485216000,0.009518,0.001475,0.009694,57429.55,441.42,0.007686,multiply,BTC
25,1485302400,0.008238,0.003765,0.007686,26342.88,146.55,0.005563,multiply,BTC
26,1485388800,0.008103,0.003891,0.005563,47552.01,300.4,0.006317,multiply,BTC
27,1485475200,0.008253,0.005756,0.006317,168777.69,1121.76,0.006646,multiply,BTC
28,1485561600,0.00845,0.006577,0.006646,2954.15,24.96,0.00845,multiply,BTC
29,1485648000,0.01086,0.006576,0.00845,28324.02,292.19,0.01032,multiply,BTC
30,1485734400,0.01093,0.01039,0.01032,10852.77,115.31,0.01063,multiply,BTC
31,1485820800,0.01484,0.009172,0.01063,15069.57,208.35,0.01383,multiply,BTC
32,1485907200,0.01452,0.007624,0.01383,9198.36,113.05,0.01229,multiply,BTC
33,1485993600,0.0148,0.01154,0.01229,9429.54,111.52,0.01183,multiply,BTC
34,1486080000,0.01223,0.003991,0.01183,229890.92,1353.06,0.005886,multiply,BTC
35,1486166400,0.008255,0.004282,0.005886,683826.72,4939.25,0.007223,multiply,BTC
36,1486252800,0.007275,0.006097,0.007223,49901.55,342.77,0.006869,multiply,BTC
37,1486339200,0.006937,0.005461,0.006869,41588.57,284.67,0.006845,multiply,BTC
38,1486425600,0.006791,0.005773,0.006845,8502.2,52.29,0.00615,multiply,BTC
39,1486512000,0.007135,0.004264,0.00615,136486.92,754.88,0.005531,multiply,BTC
40,1486598400,0.005531,0.004249,0.005531,20386.58,107.77,0.005286,multiply,BTC
41,1486684800,0.005826,0.00421,0.005286,70278.46,378.6,0.005387,multiply,BTC
42,1486771200,0.005042,0.0049,0.005387,1637.01,8.022,0.0049,multiply,BTC
43,1486857600,0.00572,0.004315,0.0049,39034.32,208.5,0.005341,multiply,BTC
44,1486944000,0.005763,0.005275,0.005341,29287.13,164.41,0.005614,multiply,BTC
45,1487030400,0.005687,0.005556,0.005614,389.0,2.161,0.005556,multiply,BTC
46,1487116800,0.007047,0.005112,0.005556,135823.12,759.99,0.005595,multiply,BTC
47,1487203200,0.006914,0.0055,0.005595,14041.47,85.78,0.006109,multiply,BTC
48,1487289600,0.006213,0.006213,0.006109,0.0,0.0,0.006213,multiply,BTC
49,1487376000,0.00705,0.00563,0.006213,83718.64,473.07,0.005651,multiply,BTC
50,1487462400,0.005884,0.005612,0.005651,11184.35,62.76,0.005612,multiply,BTC
51,1487548800,0.005937,0.005754,0.005612,12807.29,73.7,0.005754,multiply,BTC
52,1487635200,0.007263,0.005964,0.005754,9613.56,57.34,0.005964,multiply,BTC
53,1487721600,0.005972,0.005972,0.005964,1445.15,8.631,0.005972,multiply,BTC
54,1487808000,0.006621,0.005906,0.005972,17451.65,115.55,0.006621,multiply,BTC
55,1487894400,0.006647,0.006235,0.006621,194.69,1.235,0.006341,multiply,BTC
56,1487980800,0.006193,0.006193,0.006341,0.0,0.0,0.006193,multiply,BTC
57,1488067200,0.006315,0.006315,0.006193,0.0,0.0,0.006315,multiply,BTC
58,1488153600,0.006408,0.006087,0.006315,341.6,2.079,0.006087,multiply,BTC
59,1488240000,0.006089,0.005102,0.006087,20199.52,114.35,0.005661,multiply,BTC
60,1488326400,0.006199,0.005416,0.005661,17495.52,107.38,0.006138,multiply,BTC
61,1488412800,0.006604,0.005311,0.006138,33229.84,176.47,0.005311,multiply,BTC
62,1488499200,0.00634,0.005428,0.005311,4704.7,29.83,0.00634,multiply,BTC
