,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0001541,0.0001541,0.0001534,5247.72,0.8089,0.0001541,multiply,BTC
1,1483228800,0.0001593,0.0001593,0.0001541,5912.55,0.9417,0.0001593,multiply,BTC
2,1483315200,0.0001627,0.0001627,0.0001593,18436.79,3.0,0.0001627,multiply,BTC
3,1483401600,5.69e-06,5.69e-06,5.69e-06,0.0,0.0,5.69e-06,direct,
4,1483488000,0.0001817,0.0001703,0.0001653,13962.17,2.378,0.0001703,multiply,BTC
5,1483574400,0.0001484,0.0001385,0.0001703,18712.25,2.592,0.0001385,multiply,BTC
6,1483660800,0.0001241,0.0001241,0.0001385,1357.68,0.1684,0.0001241,multiply,BTC
7,1483747200,0.0001244,0.0001244,0.0001241,2831.46,0.3524,0.0001244,multiply,BTC
8,1483833600,0.0001261,0.0001261,0.0001244,8990.0,1.134,0.0001261,multiply,BTC
9,1483920000,0.0018,0.000171,0.0001712,925866.04,833.08,0.0008998,multiply,BTC
10,1484006400,0.001366,0.0005155,0.0008998,146466.39,169.55,0.001158,multiply,BTC
11,1484092800,0.001563,0.000864,0.0009948,84210.08,101.2,0.001202,multiply,BTC
12,1484179200,0.007996,0.0006562,0.0006362,742977.06,2407.57,0.00324,multiply,BTC
13,1484265600,0.004619,0.00165,0.00324,36488.43,60.19,0.00165,multiply,BTC
14,1484352000,0.0159,0.004016,0.004042,104012.44,1020.46,0.009811,multiply,BTC
15,1484438400,0.009755,0.004147,0.006295,13346.62,55.35,0.004147,multiply,BTC
16,1484524800,0.007256,0.003235,0.004147,5643.07,18.25,0.003235,multiply,BTC
17,1484611200,0.001,0.001,0.001,1209.27,1.209,0.001,direct,
18,1484697600,0.002285,0.002241,0.002357,8000.0,17.93,0.002241,multiply,BTC
19,1484784000,0.00179,0.001307,0.001744,3119.77,4.078,0.001307,multiply,BTC
20,1484870400,0.001339,0.00133,0.001334,5009.56,6.71,0.001339,multiply,BTC
21,1484956800,0.00184,0.001288,0.001259,11000.0,20.24,0.00184,multiply,BTC
22,1485043200,0.003179,0.001525,0.00184,69507.29,107.93,0.001553,multiply,BTC
23,1485129600,0.001539,0.001539,0.001534,965.01,1.485,0.001539,multiply,BTC
24,1485216000,0.001493,0.001493,0.001539,925.08,1.381,0.001493,multiply,BTC
25,1485302400,0.001494,0.001351,0.001493,12630.29,17.06,0.001351,multiply,BTC
26,1485388800,0.001382,0.001282,0.001351,3068.62,3.933,0.001282,multiply,BTC
27,1485475200,0.0007711,0.0007711,0.0007691,330.56,0.2549,0.0007711,multiply,BTC
28,1485561600,0.001378,0.0007715,0.0007711,125.0,0.1722,0.001378,multiply,BTC
29,1485648000,0.001637,0.0007499,0.001378,5227.79,3.92,0.0007499,multiply,BTC
30,1485734400,0.001,0.001,0.001,0.0,0.0,0.001,direct,
31,1485820800,0.001,0.001,0.001,0.0,0.0,0.001,direct,
32,1485907200,0.001,0.001,0.001,0.0,0.0,0.001,direct,
33,1485993600,0.0008433,0.0007429,0.0008252,843.61,0.6267,0.0007429,multiply,BTC
34,1486080000,0.001,0.001,0.001,0.0,0.0,0.001,direct,
35,1486166400,0.001723,0.0008461,0.001692,999.0,0.8453,0.0008461,multiply,BTC
36,1486252800,0.001677,0.001677,0.001703,259.72,0.4354,0.001677,multiply,BTC
37,1486339200,0.001035,0.001035,0.001026,851.0,0.8807,0.001035,multiply,BTC
38,1486425600,0.0009026,0.0008816,0.0008607,6870.15,6.129,0.0008921,multiply,BTC
39,1486512000,0.001414,0.001414,0.001406,118.16,0.1671,0.001414,multiply,BTC
40,1486598400,0.001566,0.0008321,0.001414,5537.62,4.662,0.0008419,multiply,BTC
41,1486684800,0.001776,0.001486,0.001459,8378.04,14.88,0.001776,multiply,BTC
42,1486771200,0.001502,0.0009075,0.0009078,1465.92,2.202,0.001502,multiply,BTC
43,1486857600,0.0009268,0.0009268,0.0009377,164.44,0.1524,0.0009268,multiply,BTC
44,1486944000,0.001,0.001,0.001,0.0,0.0,0.001,direct,
45,1487030400,0.001,0.001,0.001,0.0,0.0,0.001,direct,
46,1487116800,0.001,0.001,0.001,0.0,0.0,0.001,direct,
47,1487203200,0.001,0.001,0.001,0.0,0.0,0.001,direct,
48,1487289600,0.005037,0.001469,0.001445,473412.07,1738.81,0.003673,multiply,BTC
49,1487376000,0.00443,0.002967,0.003673,700.78,2.338,0.003336,multiply,BTC
50,1487462400,0.003,0.003,0.003,68.21,0.2046,0.003,direct,
51,1487548800,0.002575,0.00194,0.002507,135.26,0.2624,0.00194,multiply,BTC
52,1487635200,0.002619,0.001354,0.00194,42258.49,57.22,0.001354,multiply,BTC
53,1487721600,0.001681,0.001356,0.001354,97.21,0.1634,0.001681,multiply,BTC
54,1487808000,0.001758,0.001758,0.001681,272.76,0.4795,0.001758,multiply,BTC
55,1487894400,0.002094,0.001765,0.001758,100.0,0.2094,0.002094,multiply,BTC
56,1487980800,0.002045,0.001057,0.002094,120.0,0.1269,0.001057,multiply,BTC
57,1488067200,0.003,0.003,0.003,0.0,0.0,0.003,direct,
58,1488153600,0.001498,0.001094,0.001078,1269.76,1.902,0.001498,multiply,BTC
59,1488240000,0.001498,0.000559,0.001498,12368.73,6.914,0.000559,multiply,BTC
60,1488326400,0.001357,0.0005747,0.000559,948.23,1.287,0.001357,multiply,BTC
61,1488412800,0.001394,0.001356,0.001357,2300.0,3.119,0.001356,multiply,BTC
62,1488499200,0.003,0.003,0.003,0.0,0.0,0.003,direct,
63,1488585600,0.003,0.003,0.003,0.0,0.0,0.003,direct,
64,1488672000,0.003,0.003,0.003,0.0,0.0,0.003,direct,
65,1488758400,0.003,0.003,0.003,0.0,0.0,0.003,direct,
66,1488844800,0.003,0.003,0.003,0.0,0.0,0.003,direct,
67,1488931200,0.003,0.003,0.003,0.0,0.0,0.003,direct,
68,1489017600,0.001287,0.0004884,0.001239,46506.15,23.27,0.0005004,multiply,BTC
69,1489104000,0.0007564,0.0004672,0.0005004,7503.88,3.673,0.0004895,multiply,BTC
70,1489190400,0.003,0.003,0.003,0.0,0.0,0.003,direct,
71,1489276800,0.0006003,0.000539,0.0005189,4990.0,2.996,0.0006003,multiply,BTC
72,1489363200,0.003,0.003,0.003,0.0,0.0,0.003,direct,
73,1489449600,0.003,0.003,0.003,0.0,0.0,0.003,direct,
74,1489536000,0.003,0.003,0.003,0.0,0.0,0.003,direct,
75,1489622400,0.0005747,0.0004692,0.0006142,1095.18,0.5138,0.0004692,multiply,BTC
76,1489708800,0.003,0.003,0.003,0.0,0.0,0.003,direct,
77,1489795200,0.003,0.003,0.003,0.0,0.0,0.003,direct,
78,1489881600,0.000726,0.000409,0.0003886,4322.87,3.139,0.000726,multiply,BTC
79,1489968000,0.003,0.003,0.003,0.0,0.0,0.003,direct,
80,1490054400,0.0007961,0.0004709,0.0007437,3054.67,2.398,0.0007849,multiply,BTC
81,1490140800,0.0007313,0.0004283,0.0007849,998.0,0.4275,0.0004283,multiply,BTC
82,1490227200,0.003,0.003,0.003,0.0,0.0,0.003,direct,
83,1490313600,0.0003853,0.0003853,0.0004244,3400.85,1.31,0.0003853,multiply,BTC
84,1490400000,0.0004831,0.0003962,0.0003853,4497.55,1.912,0.0004252,multiply,BTC
85,1490486400,0.000572,0.0003878,0.0004252,3006.38,1.72,0.000572,multiply,BTC
86,1490572800,0.0006166,0.0004181,0.000572,1416.86,0.6071,0.0004285,multiply,BTC
87,1490659200,0.0006162,0.0004282,0.0004285,802.58,0.4946,0.0006162,multiply,BTC
88,1490745600,0.0006147,0.0006147,0.0006162,9.661,0.005939,0.0006147,multiply,BTC
89,1490832000,0.003,0.003,0.003,0.0,0.0,0.003,direct,
90,1490918400,0.003,0.003,0.003,0.0,0.0,0.003,direct,
91,1491004800,0.0006408,0.0004562,0.0006367,288.0,0.1314,0.0004562,multiply,BTC
92,1491091200,0.0004609,0.0004609,0.0004562,2470.9,1.139,0.0004609,multiply,BTC
93,1491177600,0.001148,0.0003902,0.0004609,6316449.2,5653.83,0.0008951,multiply,BTC
94,1491264000,0.0009363,0.0005595,0.0008951,23747.08,13.29,0.0005595,multiply,BTC
95,1491350400,0.0006779,0.0005536,0.0005595,166.67,0.113,0.0006779,multiply,BTC
96,1491436800,0.003,0.003,0.003,0.0,0.0,0.003,direct,
97,1491523200,0.0009167,0.0007143,0.0007132,20916.78,19.17,0.0009167,multiply,BTC
98,1491609600,0.0009092,0.0005786,0.0009167,5013.5,2.901,0.0005786,multiply,BTC
99,1491696000,0.003,0.003,0.003,0.0,0.0,0.003,direct,
100,1491782400,0.003,0.003,0.003,0.0,0.0,0.003,direct,
101,1491868800,0.003,0.003,0.003,0.0,0.0,0.003,direct,
102,1491955200,0.003,0.003,0.003,0.0,0.0,0.003,direct,
