,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0003179,0.0003179,0.0003165,0.0,0.0,0.0003179,multiply,BTC
1,1483228800,0.0002688,0.0002588,0.0003179,15000.0,3.882,0.0002588,multiply,BTC
2,1483315200,0.0003153,0.0003153,0.0002588,1760.0,0.5549,0.0003153,multiply,BTC
3,1483401600,0.0002687,0.0002687,0.0003153,13301.99,3.574,0.0002687,multiply,BTC
4,1483488000,0.0003406,0.0003066,0.0002687,95713.54,29.34,0.0003066,multiply,BTC
5,1483574400,0.0002968,0.0002572,0.0003066,29888.62,8.871,0.0002968,multiply,BTC
6,1483660800,0.0002658,0.0002658,0.0002968,0.0,0.0,0.0002658,multiply,BTC
7,1483747200,0.0002667,0.0002667,0.0002658,0.0,0.0,0.0002667,multiply,BTC
8,1483833600,0.0002612,0.0002612,0.0002667,1876.0,0.4901,0.0002612,multiply,BTC
9,1483920000,0.0002609,0.0002609,0.0002612,6163.83,1.608,0.0002609,multiply,BTC
10,1484006400,0.0002351,0.0002261,0.0002609,25000.0,5.652,0.0002261,multiply,BTC
11,1484092800,0.0002042,0.0001964,0.0002261,86102.68,16.91,0.0001964,multiply,BTC
12,1484179200,0.0002025,0.0002025,0.0001964,0.0,0.0,0.0002025,multiply,BTC
13,1484265600,0.0002062,0.0002062,0.0002025,0.0,0.0,0.0002062,multiply,BTC
14,1484352000,0.0002049,0.0002049,0.0002062,0.0,0.0,0.0002049,multiply,BTC
15,1484438400,0.0002299,0.0002299,0.0002049,6141.29,1.412,0.0002299,multiply,BTC
16,1484524800,0.0002151,0.0002151,0.0002299,2522.32,0.5426,0.0002151,multiply,BTC
17,1484611200,0.0002609,0.0002159,0.0002151,120933.53,28.29,0.0002339,multiply,BTC
18,1484697600,0.0003575,6.976e-05,0.0002339,1938449.08,338.08,0.0001744,multiply,BTC
19,1484784000,0.000367,8.952e-05,0.0001744,776085.91,152.85,0.0001969,multiply,BTC
20,1484870400,0.0002143,0.0001518,0.0001969,201123.3,37.71,0.0001875,multiply,BTC
