,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0001638,0.0001638,0.000163,518041.67,84.84,0.0001638,multiply,BTC
1,1483228800,0.0001792,0.0001692,0.0001638,2067807.75,349.92,0.0001692,multiply,BTC
2,1483315200,0.0001729,0.0001729,0.0001692,584315.06,101.03,0.0001729,multiply,BTC
3,1483401600,0.0001963,0.0001757,0.0001729,3869832.85,719.77,0.000186,multiply,BTC
4,1483488000,0.0002271,0.0002044,0.000186,986633.07,201.64,0.0002044,multiply,BTC
5,1483574400,0.000188,0.0001781,0.0002044,2065686.6,367.86,0.0001781,multiply,BTC
6,1483660800,0.0001684,0.0001506,0.0001781,1499213.38,252.42,0.0001684,multiply,BTC
7,1483747200,0.0001778,0.0001511,0.0001684,4468705.71,754.7,0.0001689,multiply,BTC
8,1483833600,0.0001892,0.0001622,0.0001689,2642575.9,428.51,0.0001622,multiply,BTC
9,1483920000,0.00018,0.000144,0.0001622,9296667.38,1338.39,0.000144,multiply,BTC
10,1484006400,0.0001718,0.0001447,0.000144,1950991.47,299.95,0.0001537,multiply,BTC
11,1484092800,0.0001492,0.0001335,0.0001537,670299.51,89.5,0.0001335,multiply,BTC
12,1484179200,0.0001458,0.0001377,0.0001335,1820077.78,250.66,0.0001377,multiply,BTC
13,1484265600,0.0001897,0.0001402,0.0001377,14100353.27,2674.99,0.0001897,multiply,BTC
14,1484352000,0.0001967,0.0001639,0.0001897,3216306.38,553.6,0.0001721,multiply,BTC
15,1484438400,0.0001971,0.0001642,0.0001721,2258544.11,370.93,0.0001642,multiply,BTC
16,1484524800,0.0001986,0.0001655,0.0001642,1940553.62,369.26,0.0001903,multiply,BTC
17,1484611200,0.0002159,0.0001889,0.0001903,777809.47,153.95,0.0001979,multiply,BTC
18,1484697600,0.0001918,0.000157,0.0001979,9955737.38,1649.52,0.0001657,multiply,BTC
19,1484784000,0.000179,0.0001611,0.0001657,4578147.37,737.71,0.0001611,multiply,BTC
20,1484870400,0.0002143,0.0001518,0.0001611,11565576.89,2168.67,0.0001875,multiply,BTC
21,1484956800,0.0002116,0.000184,0.0001875,2981996.61,548.59,0.000184,multiply,BTC
22,1485043200,0.0002021,0.0001746,0.000184,1096362.98,201.48,0.0001838,multiply,BTC
23,1485129600,0.0002119,0.0001751,0.0001838,2016888.19,353.11,0.0001751,multiply,BTC
24,1485216000,0.0001877,0.0001519,0.0001751,5839038.36,991.54,0.0001698,multiply,BTC
25,1485302400,0.0001789,0.0001699,0.0001698,1023923.61,174.0,0.0001699,multiply,BTC
26,1485388800,0.0001831,0.0001648,0.0001699,854679.57,148.68,0.000174,multiply,BTC
27,1485475200,0.0001836,0.0001744,0.000174,1433570.73,250.05,0.0001744,multiply,BTC
28,1485561600,0.0001929,0.0001653,0.0001744,1715704.1,283.66,0.0001653,multiply,BTC
29,1485648000,0.0001738,0.0001555,0.0001653,5588350.52,919.95,0.0001646,multiply,BTC
30,1485734400,0.0001749,0.0001565,0.0001646,1027667.64,160.85,0.0001565,multiply,BTC
31,1485820800,0.0001738,0.0001641,0.0001565,1130419.04,185.54,0.0001641,multiply,BTC
32,1485907200,0.0001768,0.000167,0.0001641,1003433.02,167.59,0.000167,multiply,BTC
33,1485993600,0.0001807,0.0001707,0.000167,1213607.77,219.32,0.0001807,multiply,BTC
34,1486080000,0.0001823,0.000152,0.0001807,13108486.16,2124.67,0.0001621,multiply,BTC
35,1486166400,0.0001754,0.0001548,0.0001621,4711655.38,729.26,0.0001548,multiply,BTC
36,1486252800,0.0001727,0.0001524,0.0001548,2195175.55,356.89,0.0001626,multiply,BTC
37,1486339200,0.0001639,0.0001537,0.0001626,512423.17,78.76,0.0001537,multiply,BTC
38,1486425600,0.0001784,0.0001574,0.0001537,1923792.4,323.06,0.0001679,multiply,BTC
39,1486512000,0.0001689,0.0001583,0.0001679,1048922.87,166.07,0.0001583,multiply,BTC
40,1486598400,0.0001566,0.0001468,0.0001583,357388.51,52.48,0.0001468,multiply,BTC
41,1486684800,0.0001696,0.0001496,0.0001468,2060424.57,308.33,0.0001496,multiply,BTC
42,1486771200,0.0001512,0.0001512,0.0001496,664022.49,100.43,0.0001512,multiply,BTC
43,1486857600,0.0001594,0.0001495,0.0001512,550141.86,82.23,0.0001495,multiply,BTC
44,1486944000,0.0001593,0.0001493,0.0001495,850404.25,126.97,0.0001493,multiply,BTC
45,1487030400,0.0002118,0.0001513,0.0001493,9561297.42,1831.8,0.0001916,multiply,BTC
46,1487116800,0.0002016,0.0001815,0.0001916,5318359.72,965.15,0.0001815,multiply,BTC
47,1487203200,0.0002064,0.0001857,0.0001815,607753.3,112.89,0.0001857,multiply,BTC
48,1487289600,0.0001889,0.0001889,0.0001857,866013.85,163.58,0.0001889,multiply,BTC
49,1487376000,0.0001999,0.0001789,0.0001889,1448832.43,259.18,0.0001789,multiply,BTC
50,1487462400,0.0001993,0.0001783,0.0001789,1331736.32,237.46,0.0001783,multiply,BTC
51,1487548800,0.0002155,0.0001832,0.0001783,951252.01,184.51,0.000194,multiply,BTC
52,1487635200,0.0002126,0.0002014,0.000194,1288676.97,259.57,0.0002014,multiply,BTC
53,1487721600,0.0002241,0.0002017,0.0002014,903637.73,182.25,0.0002017,multiply,BTC
54,1487808000,0.0002227,0.0001992,0.0002017,658234.79,138.85,0.0002109,multiply,BTC
55,1487894400,0.0002235,0.0002,0.0002109,2542814.6,568.4,0.0002235,multiply,BTC
56,1487980800,0.0002183,0.0001953,0.0002235,1657106.54,323.7,0.0001953,multiply,BTC
57,1488067200,0.0002226,0.0001992,0.0001953,782781.54,165.08,0.0002109,multiply,BTC
58,1488153600,0.000214,0.0001902,0.0002109,2162092.25,411.26,0.0001902,multiply,BTC
59,1488240000,0.0002022,0.0001903,0.0001902,430214.25,81.86,0.0001903,multiply,BTC
60,1488326400,0.0002079,0.0001956,0.0001903,4234192.65,828.32,0.0001956,multiply,BTC
61,1488412800,0.000226,0.0001883,0.0001956,3800622.78,715.74,0.0001883,multiply,BTC
62,1488499200,0.000231,0.0001925,0.0001883,7122847.44,1462.52,0.0002053,multiply,BTC
63,1488585600,0.0002276,0.0002023,0.0002053,1023843.24,207.11,0.0002023,multiply,BTC
64,1488672000,0.0002415,0.0002034,0.0002023,1652919.25,357.21,0.0002161,multiply,BTC
65,1488758400,0.0002299,0.0002171,0.0002161,1014215.89,220.18,0.0002171,multiply,BTC
66,1488844800,0.0002096,0.0001849,0.0002171,6384009.66,1259.12,0.0001972,multiply,BTC
67,1488931200,0.000195,0.000172,0.0001972,637926.83,109.75,0.000172,multiply,BTC
68,1489017600,0.0001906,0.0001787,0.000172,2176862.28,389.0,0.0001787,multiply,BTC
69,1489104000,0.000178,0.0001557,0.0001787,2156627.13,359.85,0.0001669,multiply,BTC
70,1489190400,0.0001887,0.0001769,0.0001669,614029.68,108.61,0.0001769,multiply,BTC
71,1489276800,0.000196,0.0001715,0.0001769,1301290.97,223.19,0.0001715,multiply,BTC
72,1489363200,0.0001981,0.0001733,0.0001715,5799119.51,1005.26,0.0001733,multiply,BTC
73,1489449600,0.0001989,0.000174,0.0001733,1248864.98,232.88,0.0001865,multiply,BTC
74,1489536000,0.000188,0.0001755,0.0001865,610629.94,114.81,0.000188,multiply,BTC
75,1489622400,0.0001877,0.0001642,0.000188,1998834.46,375.1,0.0001877,multiply,BTC
76,1489708800,0.0001822,0.0001608,0.0001877,2161869.49,347.53,0.0001608,multiply,BTC
77,1489795200,0.0001554,0.000136,0.0001608,4123889.36,640.94,0.0001554,multiply,BTC
78,1489881600,0.0001738,0.0001534,0.0001554,3019555.53,494.05,0.0001636,multiply,BTC
79,1489968000,0.0001781,0.0001571,0.0001636,2225922.39,349.75,0.0001571,multiply,BTC
80,1490054400,0.0001794,0.0001682,0.0001571,990628.5,166.62,0.0001682,multiply,BTC
81,1490140800,0.0001776,0.0001567,0.0001682,2184012.53,342.25,0.0001567,multiply,BTC
82,1490227200,0.0001656,0.0001553,0.0001567,4254423.38,660.52,0.0001553,multiply,BTC
83,1490313600,0.0001879,0.000141,0.0001553,11116272.22,1775.81,0.0001597,multiply,BTC
84,1490400000,0.0001836,0.0001546,0.0001597,9218496.69,1514.33,0.0001643,multiply,BTC
85,1490486400,0.0001842,0.0001648,0.0001643,3894546.13,641.84,0.0001648,multiply,BTC
86,1490572800,0.0001881,0.0001568,0.0001648,10564001.27,1876.95,0.0001777,multiply,BTC
87,1490659200,0.000188,0.0001671,0.0001777,979796.86,173.96,0.0001776,multiply,BTC
88,1490745600,0.000198,0.0001771,0.0001776,2864712.29,537.25,0.0001875,multiply,BTC
89,1490832000,0.0001868,0.0001661,0.0001875,4539094.3,753.79,0.0001661,multiply,BTC
90,1490918400,0.0002158,0.0001727,0.0001661,5273373.52,1024.3,0.0001942,multiply,BTC
