,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0005202,0.0004528,0.0004795,1816253.48,857.37,0.0004721,multiply,BTC
1,1483228800,0.0005077,0.0004679,0.0004721,978531.99,457.81,0.0004679,multiply,BTC
2,1483315200,0.000478,0.000417,0.0004679,7471196.82,3343.38,0.0004475,multiply,BTC
3,1483401600,0.0004857,0.0004443,0.0004475,2294761.98,1090.74,0.0004753,multiply,BTC
4,1483488000,0.0005223,0.0004655,0.0004753,4596909.16,2244.33,0.0004882,multiply,BTC
5,1483574400,0.0004551,0.0004056,0.0004882,2356405.86,1025.78,0.0004353,multiply,BTC
6,1483660800,0.0004165,0.000381,0.0004353,600291.7,244.7,0.0004076,multiply,BTC
7,1483747200,0.00048,0.0004089,0.0004076,6529829.08,3018.17,0.0004622,multiply,BTC
8,1483833600,0.0004775,0.0004054,0.0004622,3748357.61,1654.61,0.0004414,multiply,BTC
9,1483920000,0.0004409,0.0004229,0.0004414,307468.36,132.79,0.0004319,multiply,BTC
10,1484006400,0.0004431,0.0003979,0.0004319,2925335.5,1243.43,0.0004251,multiply,BTC
11,1484092800,0.0004006,0.0003613,0.0004251,1005392.17,379.04,0.000377,multiply,BTC
12,1484179200,0.0003889,0.0003727,0.000377,700302.84,272.31,0.0003889,multiply,BTC
13,1484265600,0.0004289,0.0003877,0.0003889,2072102.97,888.75,0.0004289,multiply,BTC
14,1484352000,0.000418,0.0003852,0.0004289,1136224.43,456.33,0.0004016,multiply,BTC
15,1484438400,0.0005338,0.0003942,0.0004016,23368552.02,11321.84,0.0004845,multiply,BTC
16,1484524800,0.000513,0.0004468,0.0004845,8230223.31,4017.42,0.0004881,multiply,BTC
17,1484611200,0.0006028,0.0004948,0.0004881,11090698.42,5687.38,0.0005128,multiply,BTC
18,1484697600,0.0004971,0.0004709,0.0005128,1779953.91,869.22,0.0004883,multiply,BTC
19,1484784000,0.0005013,0.0004745,0.0004883,4740541.25,2334.08,0.0004924,multiply,BTC
20,1484870400,0.0005447,0.0004643,0.0004924,8980347.23,4410.25,0.0004911,multiply,BTC
21,1484956800,0.0005243,0.0004783,0.0004911,5287889.22,2675.21,0.0005059,multiply,BTC
22,1485043200,0.0005237,0.0005054,0.0005059,115769.15,59.57,0.0005146,multiply,BTC
23,1485129600,0.000516,0.0004515,0.0005146,5120416.27,2547.86,0.0004976,multiply,BTC
24,1485216000,0.0004916,0.0004558,0.0004976,5267757.27,2495.27,0.0004737,multiply,BTC
25,1485302400,0.0004919,0.0004561,0.0004737,3068355.52,1481.96,0.000483,multiply,BTC
26,1485388800,0.0004944,0.0004761,0.000483,2012563.23,958.16,0.0004761,multiply,BTC
27,1485475200,0.000716,0.0004682,0.0004761,73187628.38,39640.32,0.0005416,multiply,BTC
28,1485561600,0.0006062,0.0005052,0.0005416,6666279.53,4041.21,0.0006062,multiply,BTC
29,1485648000,0.0006402,0.0005121,0.0006062,32493296.03,18721.55,0.0005762,multiply,BTC
30,1485734400,0.0005985,0.0005432,0.0005762,6235929.17,3559.8,0.0005709,multiply,BTC
31,1485820800,0.0005986,0.000531,0.0005709,9043188.13,4889.42,0.0005407,multiply,BTC
32,1485907200,0.0005796,0.0005403,0.0005407,5692212.42,3187.55,0.00056,multiply,BTC
33,1485993600,0.001235,0.0005723,0.00056,459638701.48,383014.68,0.0008333,multiply,BTC
34,1486080000,0.0009826,0.0007395,0.0008333,146736296.22,124863.31,0.0008509,multiply,BTC
35,1486166400,0.001052,0.0007945,0.0008509,126370966.66,113444.42,0.0008977,multiply,BTC
36,1486252800,0.0009551,0.0007926,0.0008977,46902137.96,38126.19,0.0008129,multiply,BTC
37,1486339200,0.0008402,0.000666,0.0008129,35115636.59,24467.72,0.0006968,multiply,BTC
38,1486425600,0.0007662,0.0007032,0.0006968,10280182.46,7768.56,0.0007557,multiply,BTC
39,1486512000,0.0008127,0.0006861,0.0007557,8146791.58,5847.22,0.0007177,multiply,BTC
40,1486598400,0.0007244,0.0006461,0.0007177,6187902.66,4119.24,0.0006657,multiply,BTC
41,1486684800,0.0007083,0.0006584,0.0006657,2398778.58,1675.13,0.0006983,multiply,BTC
42,1486771200,0.0007159,0.0006756,0.0006983,3222581.69,2307.07,0.0007159,multiply,BTC
43,1486857600,0.0007574,0.0006976,0.0007159,10815402.41,7867.77,0.0007275,multiply,BTC
44,1486944000,0.0007366,0.0006868,0.0007275,4531164.13,3202.2,0.0007067,multiply,BTC
45,1487030400,0.000726,0.0006958,0.0007067,1933622.73,1345.33,0.0006958,multiply,BTC
46,1487116800,0.0007057,0.0006856,0.0006958,1751699.17,1218.57,0.0006957,multiply,BTC
47,1487203200,0.0007946,0.0007017,0.0006957,7531808.23,5518.33,0.0007327,multiply,BTC
48,1487289600,0.0007871,0.0007346,0.0007327,3107384.44,2380.47,0.0007661,multiply,BTC
49,1487376000,0.002115,0.000684,0.0007661,27443359.31,21658.57,0.0007892,multiply,BTC
50,1487462400,0.001175,0.0007342,0.0007892,7281121.82,5422.34,0.0007447,multiply,BTC
51,1487548800,0.0007758,0.0007327,0.0007447,4746447.62,3580.21,0.0007543,multiply,BTC
52,1487635200,0.0007945,0.0006378,0.0007543,11887870.84,7848.7,0.0006602,multiply,BTC
53,1487721600,0.0007395,0.0006163,0.0006602,13565746.64,9271.92,0.0006835,multiply,BTC
54,1487808000,0.0007383,0.0007031,0.0006835,2268957.37,1648.59,0.0007266,multiply,BTC
55,1487894400,0.0007177,0.0006235,0.0007266,51028.22,31.82,0.0006235,multiply,BTC
56,1487980800,0.0007009,0.000609,0.0006235,3518839.29,2425.99,0.0006894,multiply,BTC
57,1488067200,0.0008318,0.0006561,0.0006894,17311700.59,13588.97,0.000785,multiply,BTC
