,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.2489,0.2303,0.2387,18455.09,4309.69,0.2335,multiply,BTC
1,1483228800,0.2593,0.2387,0.2335,22640.94,5632.17,0.2488,multiply,BTC
2,1483315200,0.2855,0.2438,0.2488,69878.55,18201.02,0.2605,multiply,BTC
3,1483401600,0.268,0.248,0.2605,61230.2,15810.96,0.2582,multiply,BTC
4,1483488000,0.3171,0.2726,0.2582,232736.29,68599.59,0.2948,multiply,BTC
5,1483574400,0.2802,0.2376,0.2948,116120.73,29869.85,0.2572,multiply,BTC
6,1483660800,0.2486,0.2215,0.2572,83764.38,20041.73,0.2393,multiply,BTC
7,1483747200,0.258,0.2315,0.2393,72498.12,17424.96,0.2404,multiply,BTC
8,1483833600,0.2533,0.235,0.2404,18954.4,4610.32,0.2432,multiply,BTC
9,1483920000,0.251,0.2343,0.2432,30864.04,7273.18,0.2357,multiply,BTC
10,1484006400,0.2641,0.2349,0.2357,49029.09,12739.01,0.2598,multiply,BTC
11,1484092800,0.263,0.2125,0.2598,124881.43,30877.35,0.2473,multiply,BTC
12,1484179200,0.2699,0.2465,0.2473,24928.0,6442.02,0.2584,multiply,BTC
13,1484265600,0.2633,0.2354,0.2584,23122.16,5708.21,0.2469,multiply,BTC
14,1484352000,0.2533,0.2377,0.2469,16385.46,4029.0,0.2459,multiply,BTC
15,1484438400,0.2628,0.2462,0.2459,40429.55,10298.5,0.2547,multiply,BTC
16,1484524800,0.2945,0.2485,0.2547,47111.01,13653.58,0.2898,multiply,BTC
17,1484611200,0.3235,0.295,0.2898,42965.56,12821.66,0.2984,multiply,BTC
18,1484697600,0.3052,0.2795,0.2984,26007.78,7302.82,0.2808,multiply,BTC
19,1484784000,0.2952,0.2803,0.2808,18561.93,5324.03,0.2868,multiply,BTC
20,1484870400,0.2943,0.2789,0.2868,14462.03,4127.09,0.2854,multiply,BTC
21,1484956800,0.3033,0.2781,0.2854,23719.31,6767.93,0.2853,multiply,BTC
22,1485043200,0.2928,0.2738,0.2853,51601.47,14176.63,0.2747,multiply,BTC
23,1485129600,0.2831,0.2654,0.2747,37035.65,9855.84,0.2661,multiply,BTC
24,1485216000,0.2679,0.2417,0.2661,48224.31,12468.97,0.2586,multiply,BTC
25,1485302400,0.2596,0.2469,0.2586,9081.05,2309.14,0.2543,multiply,BTC
26,1485388800,0.2734,0.2553,0.2543,38984.29,10322.26,0.2648,multiply,BTC
27,1485475200,0.2762,0.2623,0.2648,34214.49,9441.62,0.276,multiply,BTC
28,1485561600,0.2905,0.2699,0.276,29812.61,8264.24,0.2772,multiply,BTC
29,1485648000,0.3428,0.2745,0.2772,38830.93,11289.53,0.2907,multiply,BTC
30,1485734400,0.3169,0.2875,0.2907,30606.27,8868.28,0.2898,multiply,BTC
31,1485820800,0.3131,0.2877,0.2898,31081.77,8951.73,0.288,multiply,BTC
32,1485907200,0.3109,0.2913,0.288,32534.83,9569.78,0.2941,multiply,BTC
33,1485993600,0.3204,0.3001,0.2941,48880.69,14737.15,0.3015,multiply,BTC
34,1486080000,0.312,0.2905,0.3015,25304.84,7464.71,0.295,multiply,BTC
35,1486166400,0.3077,0.2833,0.295,36700.15,10936.58,0.298,multiply,BTC
36,1486252800,0.3045,0.2853,0.298,21864.91,6449.64,0.295,multiply,BTC
37,1486339200,0.3052,0.2865,0.295,20298.63,6025.59,0.2968,multiply,BTC
38,1486425600,0.3231,0.2948,0.2968,16980.87,5191.68,0.3057,multiply,BTC
39,1486512000,0.3192,0.2952,0.3057,20387.15,6216.68,0.3049,multiply,BTC
40,1486598400,0.2921,0.2733,0.3049,28476.67,8285.2,0.2909,multiply,BTC
41,1486684800,0.3091,0.288,0.2909,30684.8,8889.57,0.2897,multiply,BTC
42,1486771200,0.3004,0.282,0.2897,13700.83,3988.34,0.2911,multiply,BTC
43,1486857600,0.3016,0.2788,0.2911,8919.06,2621.08,0.2939,multiply,BTC
44,1486944000,0.2978,0.2871,0.2939,20588.38,5936.78,0.2884,multiply,BTC
45,1487030400,0.2921,0.2814,0.2884,19613.46,5525.7,0.2817,multiply,BTC
46,1487116800,0.2914,0.2734,0.2817,11926.74,3370.44,0.2826,multiply,BTC
47,1487203200,0.2977,0.2788,0.2826,27736.75,8019.99,0.2891,multiply,BTC
48,1487289600,0.3029,0.2838,0.2891,37101.75,10843.38,0.2923,multiply,BTC
49,1487376000,0.3241,0.2837,0.2923,82952.22,26090.67,0.3145,multiply,BTC
50,1487462400,0.3142,0.293,0.3145,20807.76,6307.44,0.3031,multiply,BTC
51,1487548800,0.322,0.306,0.3031,22070.32,6927.72,0.3139,multiply,BTC
52,1487635200,0.335,0.3031,0.3139,21792.52,6667.26,0.3059,multiply,BTC
53,1487721600,0.3296,0.303,0.3059,20321.4,6234.24,0.3068,multiply,BTC
54,1487808000,0.3615,0.3169,0.3068,76873.16,26089.61,0.3394,multiply,BTC
55,1487894400,0.3466,0.3181,0.3394,11015.28,3509.4,0.3186,multiply,BTC
56,1487980800,0.3212,0.3098,0.3186,21039.7,6534.68,0.3106,multiply,BTC
57,1488067200,0.3271,0.3067,0.3106,17491.34,5381.33,0.3077,multiply,BTC
58,1488153600,0.331,0.3112,0.3077,15253.11,4810.78,0.3154,multiply,BTC
59,1488240000,0.3212,0.2973,0.3154,48347.31,14949.48,0.3092,multiply,BTC
60,1488326400,0.3423,0.3151,0.3092,64543.56,21228.09,0.3289,multiply,BTC
61,1488412800,0.4572,0.3232,0.3289,190217.8,73148.34,0.3846,multiply,BTC
62,1488499200,0.4273,0.3591,0.3846,94706.45,35172.75,0.3714,multiply,BTC
63,1488585600,0.4108,0.3611,0.3714,68783.59,26976.38,0.3922,multiply,BTC
64,1488672000,0.4701,0.3779,0.3922,147688.52,67081.15,0.4542,multiply,BTC
65,1488758400,0.5471,0.4255,0.4542,242267.45,117501.75,0.485,multiply,BTC
66,1488844800,0.4923,0.402,0.485,138949.8,60188.5,0.4332,multiply,BTC
67,1488931200,0.4233,0.3822,0.4332,60473.43,24165.45,0.3996,multiply,BTC
68,1489017600,0.4356,0.3724,0.3996,64994.3,25582.76,0.3936,multiply,BTC
69,1489104000,0.4116,0.3454,0.3936,80621.21,31397.75,0.3894,multiply,BTC
70,1489190400,0.4238,0.3468,0.3894,77528.28,30005.0,0.387,multiply,BTC
71,1489276800,0.439,0.3911,0.387,103512.51,44105.98,0.4261,multiply,BTC
72,1489363200,0.7472,0.4092,0.4261,883363.37,519869.68,0.5885,multiply,BTC
73,1489449600,0.6699,0.5364,0.5885,249576.22,148179.31,0.5937,multiply,BTC
74,1489536000,0.8009,0.5684,0.5937,408032.15,303028.04,0.7427,multiply,BTC
75,1489622400,0.8216,0.6383,0.7427,524375.8,368218.39,0.7022,multiply,BTC
76,1489708800,0.6988,0.6046,0.7022,199991.2,128492.38,0.6425,multiply,BTC
77,1489795200,0.5922,0.4722,0.6425,267291.5,137064.81,0.5128,multiply,BTC
78,1489881600,0.5888,0.5043,0.5128,123011.41,65512.2,0.5326,multiply,BTC
79,1489968000,0.8466,0.4361,0.5326,1023240.04,643648.43,0.629,multiply,BTC
80,1490054400,0.6914,0.5969,0.629,119317.08,72714.35,0.6094,multiply,BTC
81,1490140800,0.5867,0.4855,0.6094,185409.28,97567.08,0.5262,multiply,BTC
82,1490227200,0.5752,0.5117,0.5262,96664.2,53817.08,0.5567,multiply,BTC
83,1490313600,0.5369,0.4945,0.5567,80354.13,41658.19,0.5184,multiply,BTC
84,1490400000,0.5486,0.5133,0.5184,53827.54,28118.53,0.5224,multiply,BTC
85,1490486400,0.5426,0.5013,0.5224,78508.06,40451.86,0.5153,multiply,BTC
86,1490572800,0.5986,0.5296,0.5153,117746.3,62601.32,0.5317,multiply,BTC
87,1490659200,0.6182,0.5258,0.5317,193148.31,109376.9,0.5663,multiply,BTC
88,1490745600,0.5997,0.5594,0.5663,97917.19,57508.63,0.5873,multiply,BTC
89,1490832000,0.7317,0.5439,0.5873,453073.35,297997.02,0.6577,multiply,BTC
90,1490918400,0.7283,0.5967,0.6577,268149.33,173588.64,0.6474,multiply,BTC
91,1491004800,0.6711,0.6037,0.6474,92232.93,58382.59,0.633,multiply,BTC
92,1491091200,0.8782,0.6309,0.633,274690.91,228887.8,0.8333,multiply,BTC
93,1491177600,0.8879,0.7113,0.8333,260621.36,194819.83,0.7475,multiply,BTC
