,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0003372,0.000289,0.0002973,44577.74,12.88,0.000289,multiply,BTC
1,1483228800,0.0003384,0.0002986,0.000289,41847.93,12.5,0.0002986,multiply,BTC
2,1483315200,0.0004068,0.0003051,0.0002986,532210.38,189.45,0.000356,multiply,BTC
3,1483401600,0.0003617,0.0003203,0.000356,108552.7,35.89,0.0003307,multiply,BTC
4,1483488000,0.0004769,0.0003406,0.0003307,600117.85,224.86,0.0003747,multiply,BTC
5,1483574400,0.0003463,0.0003067,0.0003747,14468.71,5.01,0.0003463,multiply,BTC
6,1483660800,0.000319,0.0002836,0.0003463,29453.99,8.613,0.0002924,multiply,BTC
7,1483747200,0.0002933,0.0002755,0.0002924,61806.71,17.03,0.0002755,multiply,BTC
8,1483833600,0.0002883,0.0002793,0.0002755,21642.76,6.239,0.0002883,multiply,BTC
9,1483920000,0.0003509,0.0002879,0.0002883,368842.86,116.16,0.0003149,multiply,BTC
10,1484006400,0.0003617,0.0003165,0.0003149,293863.2,103.65,0.0003527,multiply,BTC
11,1484092800,0.0002906,0.0002828,0.0003527,19376.45,5.479,0.0002828,multiply,BTC
12,1484179200,0.000324,0.0003078,0.0002828,72734.4,22.39,0.0003078,multiply,BTC
13,1484265600,0.0003217,0.0003052,0.0003078,51019.2,15.57,0.0003052,multiply,BTC
14,1484352000,0.0003279,0.0002951,0.0003052,42039.15,13.44,0.0003197,multiply,BTC
15,1484438400,0.0003203,0.0003038,0.0003197,147635.3,46.07,0.000312,multiply,BTC
16,1484524800,0.0003227,0.0003144,0.000312,18437.48,5.949,0.0003227,multiply,BTC
17,1484611200,0.0004318,0.0003419,0.0003227,1608946.24,665.85,0.0004138,multiply,BTC
18,1484697600,0.0004186,0.0003924,0.0004138,45375.32,18.2,0.0004011,multiply,BTC
19,1484784000,0.0004297,0.0004028,0.0004011,45603.77,18.78,0.0004118,multiply,BTC
20,1484870400,0.0004375,0.000384,0.0004118,268652.41,105.55,0.0003929,multiply,BTC
21,1484956800,0.0004139,0.0004047,0.0003929,16860.32,6.824,0.0004047,multiply,BTC
22,1485043200,0.0004227,0.0003583,0.0004047,3720284.63,1469.89,0.0003951,multiply,BTC
