,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0007129,0.0005491,0.0007193,118125.47,64.87,0.0005491,multiply,BTC
1,1483228800,0.0007466,0.0005973,0.0005491,40734.6,24.33,0.0005973,multiply,BTC
2,1483315200,0.0006306,0.0005797,0.0005973,11195.65,6.49,0.0005797,multiply,BTC
3,1483401600,0.000713,0.0006406,0.0005797,10004.8,6.41,0.0006406,multiply,BTC
4,1483488000,0.0008516,0.0006585,0.0006406,37147.88,26.99,0.0007267,multiply,BTC
5,1483574400,0.0009399,0.0006233,0.0007267,164225.03,102.36,0.0006233,multiply,BTC
6,1483660800,0.0006823,0.0005583,0.0006233,27178.39,16.14,0.0005937,multiply,BTC
7,1483747200,0.0006222,0.0005955,0.0005937,12028.03,7.377,0.0006133,multiply,BTC
8,1483833600,0.0006306,0.0006126,0.0006133,14757.26,9.306,0.0006306,multiply,BTC
9,1483920000,0.0008188,0.0006298,0.0006306,84938.96,69.55,0.0008188,multiply,BTC
10,1484006400,0.0008501,0.0006511,0.0008188,17202.45,11.51,0.0006692,multiply,BTC
11,1484092800,0.0006283,0.0005812,0.0006692,26822.51,15.59,0.0005812,multiply,BTC
12,1484179200,0.0006238,0.0005104,0.0005812,347536.46,191.45,0.0005509,multiply,BTC
13,1484265600,0.0006434,0.0005609,0.0005509,17037.59,9.837,0.0005774,multiply,BTC
14,1484352000,0.0006393,0.0005819,0.0005774,17091.12,10.37,0.0006065,multiply,BTC
15,1484438400,0.0005995,0.0005995,0.0006065,6425.41,3.852,0.0005995,multiply,BTC
16,1484524800,0.0007777,0.0005874,0.0005995,130898.53,77.97,0.0005957,multiply,BTC
17,1484611200,0.0006478,0.0006388,0.0005957,9064.8,5.872,0.0006478,multiply,BTC
18,1484697600,0.001552,0.0006366,0.0006478,357706.47,467.9,0.001308,multiply,BTC
19,1484784000,0.00137,0.0012,0.001308,74472.46,99.34,0.001334,multiply,BTC
20,1484870400,0.001643,0.001143,0.001334,61553.79,76.95,0.00125,multiply,BTC
21,1484956800,0.001555,0.001196,0.00125,16142.26,21.83,0.001352,multiply,BTC
22,1485043200,0.001534,0.0005513,0.001352,561586.82,479.89,0.0008545,multiply,BTC
23,1485129600,0.000857,0.000774,0.0008545,63913.59,49.47,0.000774,multiply,BTC
24,1485216000,0.0008312,0.0006614,0.000774,46340.13,30.65,0.0006614,multiply,BTC
25,1485302400,0.000796,0.000644,0.0006614,11641.75,7.497,0.000644,multiply,BTC
26,1485388800,0.0008972,0.0006592,0.000644,7737206.8,6233.81,0.0008057,multiply,BTC
27,1485475200,0.0008996,0.0007344,0.0008057,22813.41,20.52,0.0008996,multiply,BTC
28,1485561600,0.0009644,0.0007256,0.0008996,131559.4,120.84,0.0009185,multiply,BTC
29,1485648000,0.001033,0.000878,0.0009185,25374.56,25.29,0.0009969,multiply,BTC
30,1485734400,0.001243,0.0008379,0.0009969,71595.99,73.83,0.001031,multiply,BTC
31,1485820800,0.001294,0.0009462,0.001031,80266.32,95.32,0.001188,multiply,BTC
32,1485907200,0.001356,0.0009824,0.001188,80916.37,96.98,0.001199,multiply,BTC
33,1485993600,0.001867,0.001134,0.001199,530464.13,756.25,0.001426,multiply,BTC
34,1486080000,0.002016,0.0008611,0.001426,535542.78,922.28,0.001722,multiply,BTC
35,1486166400,0.002084,0.001197,0.001722,206279.59,304.37,0.001476,multiply,BTC
36,1486252800,0.001707,0.001392,0.001476,23360.23,34.42,0.001473,multiply,BTC
37,1486339200,0.00167,0.001424,0.001473,21385.04,32.87,0.001537,multiply,BTC
38,1486425600,0.001532,0.001438,0.001537,17033.35,24.49,0.001438,multiply,BTC
39,1486512000,0.001541,0.001245,0.001438,47010.03,69.47,0.001478,multiply,BTC
40,1486598400,0.001488,0.001145,0.001478,64076.73,85.31,0.001331,multiply,BTC
41,1486684800,0.001307,0.001167,0.001331,61948.46,76.01,0.001227,multiply,BTC
42,1486771200,0.001412,0.00123,0.001227,14515.95,20.35,0.001402,multiply,BTC
43,1486857600,0.003727,0.001365,0.001402,926134.08,2021.18,0.002182,multiply,BTC
44,1486944000,0.002478,0.001423,0.002182,503125.53,846.34,0.001682,multiply,BTC
45,1487030400,0.002269,0.00126,0.001682,176778.73,290.55,0.001644,multiply,BTC
46,1487116800,0.002369,0.00126,0.001644,429821.75,979.35,0.002279,multiply,BTC
47,1487203200,0.002353,0.001507,0.002279,173449.74,365.14,0.002105,multiply,BTC
48,1487289600,0.002204,0.001742,0.002105,57684.07,127.12,0.002204,multiply,BTC
49,1487376000,0.002683,0.001684,0.002204,180357.33,334.02,0.001852,multiply,BTC
50,1487462400,0.003115,0.001752,0.001852,227721.83,520.7,0.002287,multiply,BTC
51,1487548800,0.002381,0.00194,0.002287,33580.89,65.13,0.00194,multiply,BTC
52,1487635200,0.004129,0.001958,0.00194,412256.71,987.24,0.002395,multiply,BTC
53,1487721600,0.00335,0.002062,0.002395,348729.22,910.42,0.002611,multiply,BTC
54,1487808000,0.00293,0.002414,0.002611,28828.38,69.93,0.002426,multiply,BTC
55,1487894400,0.002518,0.0024,0.002426,9816.05,23.56,0.0024,multiply,BTC
56,1487980800,0.002356,0.002218,0.0024,11004.26,24.4,0.002218,multiply,BTC
57,1488067200,0.002519,0.001968,0.002218,95928.39,223.65,0.002331,multiply,BTC
58,1488153600,0.003008,0.002366,0.002331,60987.93,166.76,0.002734,multiply,BTC
59,1488240000,0.002902,0.002676,0.002734,32907.94,88.06,0.002676,multiply,BTC
60,1488326400,0.002812,0.002445,0.002676,17841.06,44.5,0.002494,multiply,BTC
61,1488412800,0.003013,0.002235,0.002494,51634.82,128.36,0.002486,multiply,BTC
62,1488499200,0.002567,0.002284,0.002486,4468.72,10.32,0.00231,multiply,BTC
63,1488585600,0.002352,0.002276,0.00231,41235.3,95.93,0.002326,multiply,BTC
64,1488672000,0.002441,0.002339,0.002326,17904.28,43.02,0.002403,multiply,BTC
65,1488758400,0.002516,0.002362,0.002403,36752.41,88.7,0.002414,multiply,BTC
66,1488844800,0.00249,0.002317,0.002414,17667.75,40.94,0.002317,multiply,BTC
67,1488931200,0.002214,0.0007455,0.002317,781877.28,825.05,0.001055,multiply,BTC
68,1489017600,0.001275,0.0007744,0.001055,480105.82,509.05,0.00106,multiply,BTC
69,1489104000,0.00099,0.0008565,0.00106,461914.4,421.34,0.0009122,multiply,BTC
70,1489190400,0.001238,0.0008962,0.0009122,798980.42,753.74,0.0009434,multiply,BTC
71,1489276800,0.001593,0.0009801,0.0009434,1441807.39,2296.28,0.001593,multiply,BTC
72,1489363200,0.002476,0.0009163,0.001593,1634538.94,2853.66,0.001746,multiply,BTC
73,1489449600,0.001865,0.001318,0.001746,29670.64,43.52,0.001467,multiply,BTC
74,1489536000,0.001529,0.0009275,0.001467,284880.04,289.23,0.001015,multiply,BTC
75,1489622400,0.001079,0.000821,0.001015,45764.26,38.65,0.0008445,multiply,BTC
76,1489708800,0.001415,0.0007716,0.0008445,44248.11,41.26,0.0009324,multiply,BTC
77,1489795200,0.001651,0.0006897,0.0009324,142977.91,161.11,0.001127,multiply,BTC
78,1489881600,0.001534,0.000859,0.001127,39375.83,39.06,0.0009919,multiply,BTC
79,1489968000,0.001016,0.001016,0.0009919,0.0,0.0,0.001016,multiply,BTC
80,1490054400,0.001088,0.001088,0.001016,0.0,0.0,0.001088,multiply,BTC
81,1490140800,0.001013,0.001013,0.001088,0.0,0.0,0.001013,multiply,BTC
