,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.2554,0.2493,0.2448,27559.31,7023.68,0.2549,invert_divide,BTC
1,1483228800,0.2234,0.2132,0.2171,41148.52,9134.29,0.222,invert_divide,BTC
2,1483315200,0.2461,0.2362,0.219,64951.63,15760.36,0.2426,invert_divide,BTC
3,1483401600,0.2471,0.2402,0.2542,54788.01,13511.49,0.2466,invert_divide,BTC
4,1483488000,0.2339,0.2082,0.2336,156272.17,36127.57,0.2312,invert_divide,BTC
5,1483574400,0.2896,0.2201,0.2579,240007.84,59766.36,0.249,invert_divide,BTC
6,1483660800,0.282,0.234,0.2477,194290.96,47251.82,0.2432,invert_divide,BTC
7,1483747200,0.2439,0.2184,0.274,130663.09,31447.66,0.2407,invert_divide,BTC
8,1483833600,0.2152,0.2014,0.2305,76905.99,15928.66,0.2071,invert_divide,BTC
9,1483920000,0.2611,0.2497,0.2429,62579.5,16145.28,0.258,invert_divide,BTC
10,1484006400,0.2446,0.2389,0.2334,53709.46,13038.43,0.2428,invert_divide,BTC
11,1484092800,0.254,0.2081,0.2378,194436.54,42271.83,0.2174,invert_divide,BTC
12,1484179200,0.2236,0.1997,0.2074,120241.76,26300.47,0.2187,invert_divide,BTC
13,1484265600,0.2488,0.2297,0.2553,89861.97,22086.2,0.2458,invert_divide,BTC
14,1484352000,0.2621,0.2525,0.2494,44207.74,11318.67,0.256,invert_divide,BTC
15,1484438400,0.2501,0.2448,0.2464,24401.41,6065.14,0.2486,invert_divide,BTC
16,1484524800,0.2247,0.2196,0.2437,33222.93,7382.14,0.2222,invert_divide,BTC
17,1484611200,0.2339,0.2129,0.2222,82207.99,19089.26,0.2322,invert_divide,BTC
18,1484697600,0.2704,0.2504,0.2478,69258.17,17876.97,0.2581,invert_divide,BTC
19,1484784000,0.2432,0.2339,0.2581,58440.87,14055.73,0.2405,invert_divide,BTC
20,1484870400,0.2448,0.2387,0.2453,38865.48,9425.42,0.2425,invert_divide,BTC
21,1484956800,0.2355,0.2255,0.2262,40378.21,9415.38,0.2332,invert_divide,BTC
22,1485043200,0.2546,0.2411,0.2416,47927.32,11948.86,0.2493,invert_divide,BTC
23,1485129600,0.2462,0.2417,0.2507,32744.43,8005.53,0.2445,invert_divide,BTC
24,1485216000,0.2521,0.2421,0.262,58874.32,14329.62,0.2434,invert_divide,BTC
25,1485302400,0.2358,0.2301,0.2452,37902.18,8826.13,0.2329,invert_divide,BTC
26,1485388800,0.2465,0.2396,0.2461,33800.2,8297.21,0.2455,invert_divide,BTC
27,1485475200,0.2514,0.2474,0.2455,30968.49,7746.47,0.2501,invert_divide,BTC
28,1485561600,0.2333,0.2311,0.2501,14307.36,3326.34,0.2325,invert_divide,BTC
29,1485648000,0.2512,0.2486,0.2314,11052.31,2753.24,0.2491,invert_divide,BTC
30,1485734400,0.2332,0.2304,0.2596,19062.15,4436.95,0.2328,invert_divide,BTC
31,1485820800,0.2346,0.2225,0.2328,54670.21,12801.97,0.2342,invert_divide,BTC
32,1485907200,0.238,0.2316,0.2342,45223.3,10719.15,0.237,invert_divide,BTC
33,1485993600,0.236,0.2277,0.237,50863.87,11942.81,0.2348,invert_divide,BTC
34,1486080000,0.2472,0.2389,0.2348,61671.88,15087.66,0.2446,invert_divide,BTC
35,1486166400,0.2553,0.2453,0.2488,39461.62,9984.57,0.253,invert_divide,BTC
36,1486252800,0.267,0.2593,0.2618,31058.49,8151.73,0.2625,invert_divide,BTC
37,1486339200,0.237,0.2325,0.2235,32019.82,7546.24,0.2357,invert_divide,BTC
38,1486425600,0.2464,0.2384,0.2468,39553.25,9705.06,0.2454,invert_divide,BTC
39,1486512000,0.2485,0.2371,0.2454,65145.12,15978.7,0.2453,invert_divide,BTC
40,1486598400,0.2597,0.2238,0.2158,146746.26,34771.65,0.237,invert_divide,BTC
41,1486684800,0.232,0.2184,0.243,62132.99,14297.76,0.2301,invert_divide,BTC
42,1486771200,0.2303,0.2234,0.2268,28319.39,6484.13,0.229,invert_divide,BTC
43,1486857600,0.215,0.2117,0.229,14750.39,3135.8,0.2126,invert_divide,BTC
44,1486944000,0.2299,0.2225,0.2282,32908.63,7473.81,0.2271,invert_divide,BTC
45,1487030400,0.2329,0.2267,0.2271,39537.9,9160.57,0.2317,invert_divide,BTC
46,1487116800,0.2195,0.2171,0.2303,23359.15,5113.82,0.2189,invert_divide,BTC
47,1487203200,0.2422,0.2346,0.2189,38080.21,9150.42,0.2403,invert_divide,BTC
48,1487289600,0.2353,0.2283,0.2403,45711.79,10673.42,0.2335,invert_divide,BTC
49,1487376000,0.2462,0.242,0.2335,25362.02,6181.1,0.2437,invert_divide,BTC
50,1487462400,0.2445,0.2401,0.2437,17953.15,4357.49,0.2427,invert_divide,BTC
51,1487548800,0.2458,0.2365,0.2427,31010.85,7591.4,0.2448,invert_divide,BTC
52,1487635200,0.2426,0.2319,0.2448,57048.87,13790.92,0.2417,invert_divide,BTC
53,1487721600,0.2406,0.2326,0.2417,47913.31,11406.21,0.2381,invert_divide,BTC
54,1487808000,0.2328,0.2194,0.2381,65737.1,15176.49,0.2309,invert_divide,BTC
55,1487894400,0.2478,0.2234,0.2309,108170.88,26025.58,0.2406,invert_divide,BTC
56,1487980800,0.2313,0.2188,0.2406,45860.52,10328.42,0.2252,invert_divide,BTC
57,1488067200,0.2559,0.2457,0.2252,30764.77,7834.17,0.2546,invert_divide,BTC
58,1488153600,0.2431,0.2367,0.2546,35468.84,8571.68,0.2417,invert_divide,BTC
59,1488240000,0.2312,0.225,0.2417,50579.83,11511.87,0.2276,invert_divide,BTC
60,1488326400,0.2549,0.2402,0.2276,51153.83,13012.73,0.2544,invert_divide,BTC
61,1488412800,0.2459,0.2316,0.2544,78492.01,18828.17,0.2399,invert_divide,BTC
62,1488499200,0.2439,0.2362,0.2399,67275.49,16305.71,0.2424,invert_divide,BTC
63,1488585600,0.2353,0.2249,0.2424,38418.2,8888.84,0.2314,invert_divide,BTC
64,1488672000,0.2268,0.2213,0.2314,25430.23,5759.44,0.2265,invert_divide,BTC
65,1488758400,0.2553,0.2514,0.2265,31026.9,7899.06,0.2546,invert_divide,BTC
66,1488844800,0.2614,0.2344,0.2546,87722.01,22069.25,0.2516,invert_divide,BTC
67,1488931200,0.2709,0.2479,0.2516,97875.25,24483.01,0.2501,invert_divide,BTC
68,1489017600,0.2228,0.2084,0.2501,59860.55,13161.73,0.2199,invert_divide,BTC
69,1489104000,0.2864,0.2129,0.2199,190472.52,45617.72,0.2395,invert_divide,BTC
70,1489190400,0.2331,0.2141,0.2395,70747.22,16168.06,0.2285,invert_divide,BTC
71,1489276800,0.2571,0.2416,0.2285,44412.09,11323.56,0.255,invert_divide,BTC
72,1489363200,0.2526,0.2445,0.255,60460.94,15183.29,0.2511,invert_divide,BTC
73,1489449600,0.2275,0.2208,0.2511,45142.05,10168.57,0.2253,invert_divide,BTC
74,1489536000,0.2367,0.2328,0.2253,43592.4,10287.62,0.236,invert_divide,BTC
75,1489622400,0.2731,0.2425,0.236,132773.3,33750.28,0.2542,invert_divide,BTC
76,1489708800,0.2767,0.2504,0.2542,163739.0,41320.69,0.2524,invert_divide,BTC
77,1489795200,0.2764,0.2355,0.2524,210424.36,51195.09,0.2433,invert_divide,BTC
