,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0833,0.07761,0.08192,23703.14,1881.84,0.07939,multiply,BTC
1,1483228800,0.08385,0.07818,0.07939,45890.31,3756.35,0.08186,multiply,BTC
2,1483315200,0.08403,0.0712,0.08186,121376.27,10197.85,0.08402,multiply,BTC
3,1483401600,0.08536,0.07233,0.08402,86153.96,6738.14,0.07821,multiply,BTC
4,1483488000,0.08407,0.0738,0.07821,48418.36,3682.75,0.07606,multiply,BTC
5,1483574400,0.07076,0.0643,0.07606,37814.53,2647.26,0.07001,multiply,BTC
6,1483660800,0.06468,0.05587,0.07001,46605.28,2928.56,0.06284,multiply,BTC
7,1483747200,0.06318,0.06231,0.06284,8088.32,503.98,0.06231,multiply,BTC
8,1483833600,0.06315,0.06301,0.06231,2434.19,153.39,0.06302,multiply,BTC
9,1483920000,0.06998,0.06289,0.06302,37333.8,2415.95,0.06471,multiply,BTC
10,1484006400,0.07234,0.06122,0.06471,37811.5,2418.65,0.06397,multiply,BTC
11,1484092800,0.06074,0.05432,0.06397,27277.23,1560.12,0.0572,multiply,BTC
12,1484179200,0.06265,0.05718,0.0572,19465.86,1126.73,0.05788,multiply,BTC
13,1484265600,0.05893,0.05855,0.05788,15000.0,878.32,0.05855,multiply,BTC
14,1484352000,0.05983,0.05819,0.05855,1650.89,98.78,0.05983,multiply,BTC
15,1484438400,0.06219,0.05995,0.05983,6582.38,407.02,0.06183,multiply,BTC
16,1484524800,0.06198,0.05884,0.06183,733.05,43.21,0.05895,multiply,BTC
17,1484611200,0.07197,0.06554,0.05895,100279.94,6594.02,0.06576,multiply,BTC
18,1484697600,0.07015,0.06192,0.06576,136315.95,9225.62,0.06768,multiply,BTC
19,1484784000,0.07559,0.06759,0.06768,89904.04,6261.58,0.06965,multiply,BTC
20,1484870400,0.07229,0.06835,0.06965,94615.78,6505.22,0.06875,multiply,BTC
21,1484956800,0.07489,0.06899,0.06875,51072.64,3663.87,0.07174,multiply,BTC
22,1485043200,0.07171,0.0699,0.07174,3978.1,278.31,0.06996,multiply,BTC
23,1485129600,0.07924,0.07016,0.06996,87287.01,6433.71,0.07371,multiply,BTC
24,1485216000,0.07305,0.06823,0.07371,78121.54,5640.15,0.0722,multiply,BTC
25,1485302400,0.07287,0.06811,0.0722,15306.89,1108.53,0.07242,multiply,BTC
26,1485388800,0.07434,0.06998,0.07242,37665.89,2763.31,0.07336,multiply,BTC
27,1485475200,0.07363,0.06992,0.07336,95247.32,6994.16,0.07343,multiply,BTC
28,1485561600,0.07347,0.07,0.07343,16077.1,1167.48,0.07262,multiply,BTC
29,1485648000,0.07214,0.06966,0.07262,27802.88,1954.33,0.07029,multiply,BTC
30,1485734400,0.07129,0.07012,0.07029,59879.74,4249.66,0.07097,multiply,BTC
31,1485820800,0.07949,0.07353,0.07097,70768.13,5308.24,0.07501,multiply,BTC
32,1485907200,0.0836,0.07632,0.07501,69298.36,5791.63,0.08358,multiply,BTC
33,1485993600,0.08351,0.08232,0.08358,3121.83,256.97,0.08232,multiply,BTC
34,1486080000,0.0871,0.08116,0.08232,42775.26,3618.24,0.08459,multiply,BTC
35,1486166400,0.09803,0.08559,0.08459,67495.64,6408.77,0.09495,multiply,BTC
36,1486252800,0.09633,0.09258,0.09495,7817.88,753.07,0.09633,multiply,BTC
37,1486339200,0.1127,0.09681,0.09633,78976.44,8537.57,0.1081,multiply,BTC
38,1486425600,0.1249,0.1071,0.1081,32192.3,3446.35,0.1071,multiply,BTC
39,1486512000,0.1123,0.1077,0.1071,7717.72,866.73,0.1123,multiply,BTC
40,1486598400,0.1042,0.09708,0.1123,26917.22,2772.11,0.103,multiply,BTC
41,1486684800,0.1097,0.09976,0.103,28190.64,2924.82,0.1038,multiply,BTC
42,1486771200,0.1109,0.106,0.1038,3076.03,334.35,0.1087,multiply,BTC
43,1486857600,0.1083,0.1019,0.1087,10256.33,1045.57,0.1019,multiply,BTC
44,1486944000,0.1062,0.09964,0.1019,17342.45,1812.51,0.1045,multiply,BTC
45,1487030400,0.1059,0.09679,0.1045,19734.56,1939.97,0.0983,multiply,BTC
46,1487116800,0.1016,0.09074,0.0983,31977.53,3060.17,0.0957,multiply,BTC
47,1487203200,0.09795,0.09138,0.0957,3726.05,355.28,0.09535,multiply,BTC
48,1487289600,0.1022,0.09316,0.09535,45154.37,4537.16,0.1005,multiply,BTC
49,1487376000,0.1008,0.08184,0.1005,161059.95,14414.29,0.0895,multiply,BTC
50,1487462400,0.09649,0.08749,0.0895,13256.82,1278.98,0.09648,multiply,BTC
51,1487548800,0.09914,0.09279,0.09648,18588.76,1842.61,0.09912,multiply,BTC
52,1487635200,0.1032,0.09402,0.09912,25304.39,2562.63,0.1013,multiply,BTC
53,1487721600,0.104,0.09611,0.1013,50053.94,5052.0,0.1009,multiply,BTC
54,1487808000,0.1074,0.09826,0.1009,74257.3,7806.82,0.1051,multiply,BTC
55,1487894400,0.1061,0.09499,0.1051,68234.76,6681.5,0.09792,multiply,BTC
56,1487980800,0.1003,0.09345,0.09792,37012.53,3698.34,0.09992,multiply,BTC
57,1488067200,0.1046,0.1003,0.09992,15527.77,1571.97,0.1012,multiply,BTC
58,1488153600,0.11,0.1003,0.1012,52238.02,5602.23,0.1072,multiply,BTC
59,1488240000,0.1149,0.1012,0.1072,50816.07,5636.68,0.1109,multiply,BTC
60,1488326400,0.1139,0.09944,0.1109,79568.73,8680.79,0.1091,multiply,BTC
61,1488412800,0.1138,0.09788,0.1091,91989.3,9271.52,0.1008,multiply,BTC
62,1488499200,0.1086,0.1022,0.1008,17638.92,1902.11,0.1078,multiply,BTC
63,1488585600,0.1072,0.1017,0.1078,12652.74,1324.08,0.1046,multiply,BTC
64,1488672000,0.1072,0.1044,0.1046,9172.85,973.79,0.1062,multiply,BTC
65,1488758400,0.1093,0.1027,0.1062,23542.96,2541.36,0.1079,multiply,BTC
66,1488844800,0.1048,0.09034,0.1079,104821.79,9857.64,0.09404,multiply,BTC
67,1488931200,0.09356,0.0814,0.09404,38372.83,3491.51,0.09099,multiply,BTC
