,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.1796,0.1596,0.1626,361327.16,64293.21,0.1779,multiply,BTC
1,1483228800,0.1812,0.1558,0.1794,17172.35,2786.96,0.1623,multiply,ETH
2,1483315200,0.173,0.1417,0.1623,286742.12,43713.02,0.1524,multiply,ETH
3,1483401600,0.1909,0.1535,0.1524,42365.82,6504.0,0.1535,multiply,ETH
4,1483488000,0.1847,0.1666,0.1563,643494.29,111713.3,0.1736,multiply,BTC
5,1483574400,0.1805,0.1539,0.1724,154509.48,23907.87,0.1547,multiply,ETH
6,1483660800,0.1568,0.1374,0.1568,524971.69,80527.66,0.1534,multiply,BTC
7,1483747200,0.1566,0.1418,0.1541,33113.54,4989.85,0.1507,multiply,ETH
8,1483833600,0.155,0.1454,0.1503,265194.91,40565.81,0.153,multiply,BTC
9,1483920000,0.1561,0.1411,0.1524,57818.68,8462.92,0.1464,multiply,ETH
10,1484006400,0.1553,0.1457,0.1464,37602.09,5672.84,0.1509,multiply,ETH
11,1484092800,0.1406,0.1327,0.1509,81643.55,11036.27,0.1352,multiply,ETH
12,1484179200,0.1553,0.1348,0.1352,38108.43,5399.84,0.1417,multiply,ETH
13,1484265600,0.1428,0.1223,0.1417,13883.46,1920.13,0.1383,multiply,ETH
14,1484352000,0.1397,0.1313,0.1363,264523.03,36229.12,0.137,multiply,BTC
15,1484438400,0.1436,0.136,0.137,377668.76,52722.14,0.1396,multiply,BTC
16,1484524800,0.1967,0.137,0.1411,23040.89,4222.14,0.1832,multiply,ETH
17,1484611200,0.1987,0.1511,0.1832,64981.54,10964.31,0.1687,multiply,ETH
18,1484697600,0.1781,0.1478,0.1687,32436.52,5291.76,0.1631,multiply,ETH
19,1484784000,0.1697,0.1598,0.1623,499797.78,80804.77,0.1617,multiply,BTC
20,1484870400,0.1759,0.1601,0.1628,7106.32,1139.7,0.1604,multiply,ETH
21,1484956800,0.168,0.1525,0.1594,664679.09,110051.71,0.1656,multiply,BTC
22,1485043200,0.1662,0.1587,0.1668,8409.5,1351.89,0.1608,multiply,ETH
23,1485129600,0.1635,0.1554,0.1602,358281.96,56850.54,0.1587,multiply,BTC
24,1485216000,0.156,0.1471,0.158,18155.33,2688.55,0.1481,multiply,ETH
25,1485302400,0.1513,0.1431,0.1481,13298.42,1951.14,0.1467,multiply,ETH
26,1485388800,0.1525,0.1436,0.1461,697833.2,103503.12,0.1483,multiply,BTC
27,1485475200,0.1548,0.1424,0.1459,8914.47,1351.03,0.1516,multiply,ETH
28,1485561600,0.1707,0.1506,0.1516,2797.88,466.53,0.1667,multiply,ETH
29,1485648000,0.1738,0.1625,0.1667,9052.96,1471.06,0.1625,multiply,ETH
30,1485734400,0.1701,0.1606,0.1619,440101.24,73667.98,0.1674,multiply,BTC
31,1485820800,0.1767,0.1595,0.1674,735888.53,117586.59,0.1598,multiply,BTC
32,1485907200,0.1722,0.1585,0.1595,7515.53,1210.59,0.1611,multiply,ETH
33,1485993600,0.1679,0.162,0.1619,509639.72,83708.07,0.1642,multiply,BTC
34,1486080000,0.1676,0.158,0.1642,572768.45,91791.74,0.1603,multiply,BTC
35,1486166400,0.172,0.1613,0.1603,529516.86,86328.35,0.163,multiply,BTC
36,1486252800,0.1622,0.1557,0.163,293670.57,46968.41,0.1599,multiply,BTC
37,1486339200,0.1627,0.1546,0.1599,369955.07,59364.22,0.1605,multiply,BTC
38,1486425600,0.1649,0.1468,0.1604,18694.68,2956.09,0.1581,multiply,ETH
