,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.001869,0.001146,0.001822,1619929.94,2871.52,0.001773,multiply,BTC
1,1483228800,0.002051,0.001513,0.001773,104058.86,186.45,0.001792,multiply,BTC
2,1483315200,0.001587,0.001241,0.001792,22741.73,28.22,0.001241,multiply,BTC
3,1483401600,0.001261,0.001261,0.001241,0.0,0.0,0.001261,multiply,BTC
4,1483488000,0.001703,0.001703,0.001261,333331.25,567.7,0.001703,multiply,BTC
5,1483574400,0.001484,0.001484,0.001703,0.0,0.0,0.001484,multiply,BTC
6,1483660800,0.001196,0.001152,0.001484,392217.52,462.26,0.001179,multiply,BTC
7,1483747200,0.001333,0.001262,0.001179,341944.46,455.92,0.001333,multiply,BTC
8,1483833600,0.001351,0.001351,0.001333,330000.0,445.93,0.001351,multiply,BTC
9,1483920000,0.00144,0.00135,0.001351,328475.03,443.33,0.00135,multiply,BTC
10,1484006400,0.001357,0.00113,0.00135,334100.0,453.23,0.001357,multiply,BTC
11,1484092800,0.001178,0.001178,0.001357,340000.0,400.57,0.001178,multiply,BTC
12,1484179200,0.001215,0.001175,0.001178,341858.38,415.41,0.001215,multiply,BTC
13,1484265600,0.001402,0.001171,0.001215,341414.44,399.88,0.001171,multiply,BTC
14,1484352000,0.001246,0.0009836,0.001171,340445.23,418.56,0.001229,multiply,BTC
15,1484438400,0.001273,0.001068,0.001229,339631.23,404.4,0.001191,multiply,BTC
16,1484524800,0.001233,0.001158,0.001191,361656.28,433.86,0.0012,multiply,BTC
17,1484611200,0.001385,0.001314,0.0012,362715.91,489.48,0.001349,multiply,BTC
18,1484697600,0.00157,0.001282,0.001349,388252.53,507.85,0.001308,multiply,BTC
19,1484784000,0.00162,0.001217,0.001308,331511.87,471.87,0.001423,multiply,BTC
20,1484870400,0.003125,0.001393,0.001423,627736.6,1743.19,0.002777,multiply,BTC
21,1484956800,0.003045,0.002208,0.002777,38009.72,110.48,0.002907,multiply,BTC
22,1485043200,0.002812,0.001911,0.002907,91732.44,187.96,0.002049,multiply,BTC
23,1485129600,0.004644,0.00188,0.002049,316824.82,1004.28,0.00317,multiply,BTC
24,1485216000,0.004067,0.003459,0.00317,105229.54,377.14,0.003584,multiply,BTC
25,1485302400,0.00517,0.002343,0.003584,265520.65,1360.79,0.005125,multiply,BTC
26,1485388800,0.005246,0.001382,0.005125,392196.06,1131.1,0.002884,multiply,BTC
27,1485475200,0.003085,0.002782,0.002884,4106.76,11.91,0.002901,multiply,BTC
28,1485561600,0.002801,0.002654,0.002901,172338.33,476.47,0.002765,multiply,BTC
29,1485648000,0.002844,0.002643,0.002765,173925.92,459.69,0.002643,multiply,BTC
30,1485734400,0.002771,0.00267,0.002643,170519.64,472.58,0.002771,multiply,BTC
31,1485820800,0.002887,0.002221,0.002771,232721.04,550.49,0.002365,multiply,BTC
32,1485907200,0.002456,0.002446,0.002365,157664.47,387.24,0.002456,multiply,BTC
33,1485993600,0.002922,0.00249,0.002456,2485.88,6.264,0.00252,multiply,BTC
34,1486080000,0.002634,0.002411,0.00252,49065.84,127.74,0.002603,multiply,BTC
35,1486166400,0.002631,0.002559,0.002603,200203.92,526.78,0.002631,multiply,BTC
36,1486252800,0.002591,0.00252,0.002631,206751.25,525.21,0.00254,multiply,BTC
37,1486339200,0.003412,0.002562,0.00254,212140.92,602.13,0.002838,multiply,BTC
38,1486425600,0.002939,0.002939,0.002838,220000.0,646.53,0.002939,multiply,BTC
39,1486512000,0.002987,0.002955,0.002939,196213.87,579.88,0.002955,multiply,BTC
40,1486598400,0.003495,0.002643,0.002955,192466.35,512.49,0.002663,multiply,BTC
41,1486684800,0.003561,0.002743,0.002663,182477.02,649.89,0.003561,multiply,BTC
42,1486771200,0.0036,0.002995,0.003561,169042.6,524.98,0.003106,multiply,BTC
43,1486857600,0.003049,0.002601,0.003106,180010.82,502.28,0.00279,multiply,BTC
44,1486944000,0.002887,0.002707,0.00279,181403.56,492.93,0.002717,multiply,BTC
45,1487030400,0.002823,0.002622,0.002717,191556.52,502.2,0.002622,multiply,BTC
46,1487116800,0.002682,0.002601,0.002622,205759.32,551.8,0.002682,multiply,BTC
47,1487203200,0.002745,0.002735,0.002682,198000.0,541.45,0.002735,multiply,BTC
48,1487289600,0.002938,0.002361,0.002735,187231.24,532.47,0.002844,multiply,BTC
49,1487376000,0.003167,0.002683,0.002844,200037.93,599.91,0.002999,multiply,BTC
50,1487462400,0.002989,0.002884,0.002999,182586.55,526.66,0.002884,multiply,BTC
51,1487548800,0.003017,0.002414,0.002884,206082.58,552.95,0.002683,multiply,BTC
52,1487635200,0.002977,0.002563,0.002683,448998.83,1336.5,0.002977,multiply,BTC
53,1487721600,0.003025,0.002622,0.002977,230975.09,678.05,0.002936,multiply,BTC
54,1487808000,0.00307,0.002719,0.002936,3093.45,8.411,0.002719,multiply,BTC
55,1487894400,0.002941,0.002729,0.002719,217931.66,615.35,0.002824,multiply,BTC
56,1487980800,0.002953,0.002551,0.002824,220551.62,651.3,0.002953,multiply,BTC
57,1488067200,0.003011,0.002777,0.002953,217646.51,604.33,0.002777,multiply,BTC
58,1488153600,0.002853,0.002639,0.002777,217322.04,617.48,0.002841,multiply,BTC
59,1488240000,0.002854,0.00264,0.002841,272958.8,746.63,0.002735,multiply,BTC
60,1488326400,0.002812,0.002727,0.002735,182890.46,512.07,0.0028,multiply,BTC
61,1488412800,0.002875,0.002549,0.0028,282086.09,803.92,0.00285,multiply,BTC
62,1488499200,0.002952,0.002695,0.00285,226006.83,667.08,0.002952,multiply,BTC
63,1488585600,0.002908,0.002782,0.002952,222000.0,617.49,0.002782,multiply,BTC
64,1488672000,0.003407,0.002797,0.002782,232978.71,701.92,0.003013,multiply,BTC
65,1488758400,0.003116,0.002937,0.003013,213747.46,666.02,0.003116,multiply,BTC
66,1488844800,0.003131,0.002958,0.003116,212264.19,661.99,0.003119,multiply,BTC
67,1488931200,0.002902,0.00234,0.003119,257438.49,711.61,0.002764,multiply,BTC
68,1489017600,0.002871,0.002657,0.002764,174230.01,462.87,0.002657,multiply,BTC
69,1489104000,0.002481,0.001702,0.002657,467365.86,1060.58,0.002269,multiply,BTC
70,1489190400,0.002406,0.002064,0.002269,5697.79,12.09,0.002123,multiply,BTC
71,1489276800,0.00234,0.002095,0.002123,294769.9,686.14,0.002328,multiply,BTC
72,1489363200,0.00265,0.002353,0.002328,483092.33,1280.06,0.00265,multiply,BTC
73,1489449600,0.00266,0.002474,0.00265,265242.59,705.63,0.00266,multiply,BTC
74,1489536000,0.002682,0.002519,0.00266,1961.26,5.113,0.002607,multiply,BTC
75,1489622400,0.00251,0.002346,0.002607,234640.46,550.41,0.002346,multiply,BTC
76,1489708800,0.003301,0.002036,0.002346,481647.47,1548.56,0.003215,multiply,BTC
77,1489795200,0.00508,0.002827,0.003215,337274.42,1323.59,0.003924,multiply,BTC
78,1489881600,0.004591,0.003784,0.003924,48970.97,190.3,0.003886,multiply,BTC
79,1489968000,0.004148,0.00309,0.003886,14779.85,55.89,0.003782,multiply,BTC
80,1490054400,0.006133,0.002747,0.003782,229213.86,881.56,0.003846,multiply,BTC
81,1490140800,0.003918,0.002904,0.003846,90697.7,282.37,0.003113,multiply,BTC
82,1490227200,0.003426,0.002908,0.003113,30606.3,104.86,0.003426,multiply,BTC
83,1490313600,0.004219,0.002885,0.003426,77957.41,304.01,0.0039,multiply,BTC
84,1490400000,0.004928,0.00316,0.0039,123682.32,442.2,0.003575,multiply,BTC
85,1490486400,0.003703,0.003102,0.003575,109512.02,373.7,0.003412,multiply,BTC
86,1490572800,0.003679,0.003229,0.003412,164952.75,546.5,0.003313,multiply,BTC
87,1490659200,0.003635,0.003196,0.003313,167454.74,573.65,0.003426,multiply,BTC
88,1490745600,0.00349,0.003167,0.003426,180230.24,570.86,0.003167,multiply,BTC
89,1490832000,0.004338,0.002833,0.003167,162654.69,535.16,0.00329,multiply,BTC
90,1490918400,0.004511,0.003421,0.00329,161303.51,671.89,0.004165,multiply,BTC
91,1491004800,0.004192,0.003747,0.004165,145522.3,565.84,0.003888,multiply,BTC
92,1491091200,0.003962,0.003841,0.003888,140907.87,558.22,0.003962,multiply,BTC
93,1491177600,0.004143,0.004062,0.003962,148754.33,604.29,0.004062,multiply,BTC
94,1491264000,0.00443,0.004042,0.004062,134877.23,597.52,0.00443,multiply,BTC
95,1491350400,0.005875,0.003785,0.00443,309460.79,1468.53,0.004745,multiply,BTC
96,1491436800,0.006395,0.004969,0.004745,149170.94,741.2,0.004969,multiply,BTC
97,1491523200,0.006548,0.004976,0.004969,164221.9,959.93,0.005845,multiply,BTC
98,1491609600,0.006152,0.005007,0.005845,108926.68,617.37,0.005668,multiply,BTC
99,1491696000,0.005853,0.005612,0.005668,110206.03,618.5,0.005612,multiply,BTC
100,1491782400,0.005623,0.005454,0.005612,112484.77,614.89,0.005466,multiply,BTC
101,1491868800,0.006714,0.0052,0.005466,115850.89,602.47,0.0052,multiply,BTC
102,1491955200,0.00679,0.005081,0.0052,51014.64,346.4,0.00679,multiply,BTC
103,1492041600,0.006587,0.005846,0.00679,103482.04,619.53,0.005987,multiply,BTC
104,1492128000,0.006664,0.005404,0.005987,81984.6,488.41,0.005957,multiply,BTC
105,1492214400,0.007156,0.005908,0.005957,252107.19,1780.37,0.007062,multiply,BTC
106,1492300800,0.007837,0.007061,0.007062,133478.46,983.3,0.007367,multiply,BTC
107,1492387200,0.007475,0.007439,0.007367,186299.66,1392.5,0.007475,multiply,BTC
108,1492473600,0.008443,0.007417,0.007475,280117.53,2239.93,0.007996,multiply,BTC
109,1492560000,0.008749,0.008057,0.007996,128706.67,1094.83,0.008506,multiply,BTC
110,1492646400,0.0104,0.008667,0.008506,302011.09,3002.55,0.009942,multiply,BTC
