,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.005,0.004692,0.004834,3097.72,14.53,0.004692,multiply,BTC
1,1483228800,0.005266,0.004848,0.004692,10512.12,54.0,0.005136,multiply,BTC
2,1483315200,0.006082,0.005126,0.005136,74326.58,430.13,0.005787,multiply,BTC
3,1483401600,0.006086,0.005497,0.005787,5988.93,35.03,0.005848,multiply,BTC
4,1483488000,0.006143,0.005734,0.005848,3272.61,19.95,0.006097,multiply,BTC
5,1483574400,0.005639,0.005085,0.006097,9815.99,49.92,0.005085,multiply,BTC
6,1483660800,0.004564,0.004564,0.005085,103.29,0.4714,0.004564,multiply,BTC
7,1483747200,0.005067,0.004258,0.004564,4861.94,22.26,0.004578,multiply,BTC
8,1483833600,0.004982,0.004639,0.004578,9120.7,43.14,0.00473,multiply,BTC
9,1483920000,0.00485,0.00485,0.00473,457.26,2.218,0.00485,multiply,BTC
10,1484006400,0.004875,0.004748,0.00485,13302.54,63.16,0.004748,multiply,BTC
11,1484092800,0.004233,0.003896,0.004748,4933.25,19.22,0.003896,multiply,BTC
12,1484179200,0.004366,0.003824,0.003896,16254.91,70.19,0.004318,multiply,BTC
13,1484265600,0.004306,0.004066,0.004318,10681.71,45.9,0.004297,multiply,BTC
14,1484352000,0.004164,0.003787,0.004297,45845.1,173.6,0.003787,multiply,BTC
15,1484438400,0.004254,0.003794,0.003787,23310.45,98.58,0.004229,multiply,BTC
16,1484524800,0.004269,0.003855,0.004229,16306.21,62.87,0.003855,multiply,BTC
17,1484611200,0.004498,0.003968,0.003855,13391.59,53.13,0.003968,multiply,BTC
18,1484697600,0.00484,0.004046,0.003968,24263.42,117.43,0.00484,multiply,BTC
19,1484784000,0.004915,0.00384,0.00484,70423.88,321.53,0.004566,multiply,BTC
20,1484870400,0.004607,0.004438,0.004566,2315.5,10.48,0.004527,multiply,BTC
21,1484956800,0.004792,0.004415,0.004527,16821.33,78.6,0.004673,multiply,BTC
22,1485043200,0.004135,0.003969,0.004673,1892.65,7.513,0.003969,multiply,BTC
23,1485129600,0.004828,0.003842,0.003969,414293.35,1820.97,0.004395,multiply,BTC
24,1485216000,0.004737,0.004049,0.004395,73433.45,341.28,0.004648,multiply,BTC
25,1485302400,0.005858,0.003757,0.004648,1137936.93,5088.91,0.004472,multiply,BTC
26,1485388800,0.005603,0.004257,0.004472,347101.36,1833.66,0.005283,multiply,BTC
27,1485475200,0.006628,0.004829,0.005283,187888.48,1093.55,0.00582,multiply,BTC
28,1485561600,0.006622,0.005272,0.00582,29574.63,191.78,0.006485,multiply,BTC
29,1485648000,0.006649,0.005588,0.006485,171466.05,1022.43,0.005963,multiply,BTC
30,1485734400,0.007937,0.004871,0.005963,190640.54,1154.98,0.006058,multiply,BTC
31,1485820800,0.007019,0.006353,0.006058,750.33,5.028,0.006701,multiply,BTC
32,1485907200,0.008272,0.005895,0.006701,878772.81,7079.33,0.008056,multiply,BTC
33,1485993600,0.008233,0.005532,0.008056,260357.86,1827.13,0.007018,multiply,BTC
34,1486080000,0.007729,0.006463,0.007018,166222.67,1195.55,0.007192,multiply,BTC
35,1486166400,0.008895,0.007326,0.007192,253798.53,2191.95,0.008637,multiply,BTC
36,1486252800,0.009379,0.008139,0.008637,325275.94,2832.52,0.008708,multiply,BTC
37,1486339200,0.009437,0.007583,0.008708,229903.87,1931.72,0.008402,multiply,BTC
38,1486425600,0.008606,0.008501,0.008402,139827.37,1197.54,0.008564,multiply,BTC
39,1486512000,0.008233,0.007019,0.008564,204262.88,1433.72,0.007019,multiply,BTC
40,1486598400,0.007822,0.006823,0.007019,96564.57,690.09,0.007146,multiply,BTC
41,1486684800,0.007811,0.006634,0.007146,148584.64,1064.29,0.007163,multiply,BTC
42,1486771200,0.007996,0.007068,0.007163,4343.42,31.71,0.0073,multiply,BTC
43,1486857600,0.007942,0.006836,0.0073,161517.3,1245.79,0.007713,multiply,BTC
44,1486944000,0.008261,0.006868,0.007713,50944.72,420.88,0.008261,multiply,BTC
45,1487030400,0.009277,0.008006,0.008261,133871.08,1150.09,0.008591,multiply,BTC
46,1487116800,0.009749,0.00859,0.008591,34205.57,316.92,0.009265,multiply,BTC
47,1487203200,0.009659,0.008297,0.009265,11063.25,101.38,0.009164,multiply,BTC
48,1487289600,0.009885,0.008658,0.009164,195397.15,1843.41,0.009434,multiply,BTC
49,1487376000,0.01004,0.008871,0.009434,17192.73,154.68,0.008997,multiply,BTC
50,1487462400,0.01143,0.008958,0.008997,47967.71,486.02,0.01013,multiply,BTC
51,1487548800,0.01346,0.01041,0.01013,53992.84,581.81,0.01078,multiply,BTC
52,1487635200,0.01157,0.009075,0.01078,17380.47,194.3,0.01118,multiply,BTC
53,1487721600,0.01162,0.009008,0.01118,39874.19,411.93,0.01033,multiply,BTC
54,1487808000,0.01185,0.01016,0.01033,21060.3,239.65,0.01138,multiply,BTC
55,1487894400,0.01206,0.01092,0.01138,13379.83,148.28,0.01108,multiply,BTC
56,1487980800,0.01139,0.009503,0.01108,7808.11,81.64,0.01046,multiply,BTC
57,1488067200,0.01358,0.01084,0.01046,217444.09,2654.53,0.01221,multiply,BTC
58,1488153600,0.01233,0.01108,0.01221,32923.02,371.44,0.01128,multiply,BTC
59,1488240000,0.01258,0.01126,0.01128,15164.38,178.54,0.01177,multiply,BTC
60,1488326400,0.01226,0.01124,0.01177,96940.81,1148.51,0.01185,multiply,BTC
61,1488412800,0.01455,0.01215,0.01185,85000.91,1122.65,0.01321,multiply,BTC
62,1488499200,0.01445,0.01295,0.01321,39102.93,547.97,0.01401,multiply,BTC
63,1488585600,0.0143,0.01154,0.01401,31261.67,428.84,0.01372,multiply,BTC
64,1488672000,0.01358,0.0122,0.01372,59612.94,785.85,0.01318,multiply,BTC
65,1488758400,0.01338,0.01154,0.01318,78615.82,1034.05,0.01315,multiply,BTC
