,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.002881,0.002466,0.002541,459339.09,1212.5,0.00264,multiply,BTC
1,1483228800,0.002976,0.002489,0.00264,154163.8,431.22,0.002797,multiply,BTC
2,1483315200,0.003295,0.002756,0.002797,1332940.94,4134.79,0.003102,multiply,BTC
3,1483401600,0.003503,0.002418,0.003102,322388.3,779.51,0.002418,multiply,BTC
4,1483488000,0.003361,0.002589,0.002418,31285.77,96.62,0.003088,multiply,BTC
5,1483574400,0.002948,0.002691,0.003088,20265.99,57.94,0.002859,multiply,BTC
6,1483660800,0.002791,0.002499,0.002859,64505.47,162.91,0.002526,multiply,BTC
7,1483747200,0.003013,0.002533,0.002526,81747.39,234.7,0.002871,multiply,BTC
8,1483833600,0.003117,0.002234,0.002871,313880.16,938.77,0.002991,multiply,BTC
9,1483920000,0.003104,0.002519,0.002991,1204127.04,3456.2,0.00287,multiply,BTC
10,1484006400,0.00312,0.002559,0.00287,29272.3,75.18,0.002568,multiply,BTC
11,1484092800,0.002364,0.001783,0.002568,277607.73,564.73,0.002034,multiply,BTC
12,1484179200,0.002803,0.002139,0.002034,242601.1,567.98,0.002341,multiply,BTC
13,1484265600,0.002846,0.002029,0.002341,832466.52,2087.4,0.002507,multiply,BTC
14,1484352000,0.003156,0.002475,0.002507,867294.22,2488.01,0.002869,multiply,BTC
15,1484438400,0.00317,0.002726,0.002869,67213.37,192.63,0.002866,multiply,BTC
16,1484524800,0.003218,0.00273,0.002866,371281.53,1050.54,0.00283,multiply,BTC
17,1484611200,0.003131,0.002267,0.00283,2055875.36,5178.85,0.002519,multiply,BTC
18,1484697600,0.003227,0.002398,0.002519,1494423.87,3831.36,0.002564,multiply,BTC
19,1484784000,0.00273,0.001576,0.002564,1281170.27,2993.45,0.002336,multiply,BTC
20,1484870400,0.002581,0.0008929,0.002336,2289574.15,3966.1,0.001732,multiply,BTC
21,1484956800,0.001996,0.001527,0.001732,69260.39,134.42,0.001941,multiply,BTC
22,1485043200,0.003005,0.001976,0.001941,1147473.03,2446.08,0.002132,multiply,BTC
23,1485129600,0.003087,0.001889,0.002132,402605.12,1235.38,0.003068,multiply,BTC
24,1485216000,0.003146,0.002842,0.003068,383219.49,1205.61,0.003146,multiply,BTC
25,1485302400,0.003757,0.002952,0.003146,978537.99,3500.86,0.003578,multiply,BTC
26,1485388800,0.003855,0.003305,0.003578,164018.82,572.14,0.003488,multiply,BTC
27,1485475200,0.003975,0.003351,0.003488,171060.42,628.14,0.003672,multiply,BTC
28,1485561600,0.003711,0.003665,0.003672,12851.07,47.69,0.003711,multiply,BTC
29,1485648000,0.003695,0.003347,0.003711,39924.38,136.19,0.003411,multiply,BTC
30,1485734400,0.003674,0.002753,0.003411,1657136.48,4714.65,0.002845,multiply,BTC
31,1485820800,0.003138,0.0009655,0.002845,8505947.97,15685.7,0.001844,multiply,BTC
32,1485907200,0.00225,0.001876,0.001844,1512156.47,3253.44,0.002152,multiply,BTC
33,1485993600,0.002309,0.001877,0.002152,380218.97,877.98,0.002309,multiply,BTC
34,1486080000,0.002634,0.002127,0.002309,188603.53,447.08,0.00237,multiply,BTC
35,1486166400,0.002879,0.002249,0.00237,388830.89,938.84,0.002415,multiply,BTC
36,1486252800,0.002459,0.001931,0.002415,181383.85,381.51,0.002103,multiply,BTC
37,1486339200,0.002162,0.001639,0.002103,1643437.91,3233.24,0.001967,multiply,BTC
38,1486425600,0.002351,0.001889,0.001967,127145.21,261.56,0.002057,multiply,BTC
39,1486512000,0.002639,0.001583,0.002057,499694.19,896.62,0.001794,multiply,BTC
40,1486598400,0.00188,0.001449,0.001794,97885.18,182.07,0.00186,multiply,BTC
41,1486684800,0.002344,0.001746,0.00186,3004258.91,6863.31,0.002285,multiply,BTC
42,1486771200,0.00237,0.002007,0.002285,377075.65,756.62,0.002007,multiply,BTC
43,1486857600,0.00296,0.001854,0.002007,778738.3,2002.15,0.002571,multiply,BTC
44,1486944000,0.003155,0.001981,0.002571,3030334.72,6877.1,0.002269,multiply,BTC
45,1487030400,0.003025,0.001623,0.002269,3928736.3,7883.39,0.002007,multiply,BTC
46,1487116800,0.002006,0.001714,0.002007,1086858.66,2060.03,0.001895,multiply,BTC
47,1487203200,0.00194,0.001754,0.001895,471861.19,832.65,0.001765,multiply,BTC
48,1487289600,0.001994,0.001794,0.001765,106654.7,193.63,0.001815,multiply,BTC
49,1487376000,0.00201,0.001789,0.001815,131105.26,260.74,0.001989,multiply,BTC
50,1487462400,0.001982,0.001815,0.001989,49787.04,91.39,0.001836,multiply,BTC
51,1487548800,0.002026,0.001864,0.001836,10226.58,20.61,0.002015,multiply,BTC
52,1487635200,0.002093,0.001969,0.002015,18997.73,37.42,0.001969,multiply,BTC
53,1487721600,0.002039,0.001793,0.001969,244744.28,444.25,0.001815,multiply,BTC
54,1487808000,0.001981,0.00184,0.001815,42817.55,78.78,0.00184,multiply,BTC
55,1487894400,0.002118,0.001847,0.00184,72211.86,151.22,0.002094,multiply,BTC
56,1487980800,0.00216,0.002045,0.002094,72089.83,149.1,0.002068,multiply,BTC
57,1488067200,0.002132,0.001875,0.002068,32122.42,60.21,0.001875,multiply,BTC
58,1488153600,0.00208,0.001902,0.001875,12000.56,23.54,0.001962,multiply,BTC
59,1488240000,0.002141,0.00195,0.001962,51718.12,103.95,0.00201,multiply,BTC
60,1488326400,0.00214,0.00192,0.00201,84586.8,173.75,0.002054,multiply,BTC
61,1488412800,0.002235,0.001883,0.002054,108361.18,216.31,0.001996,multiply,BTC
62,1488499200,0.002271,0.001989,0.001996,48558.61,99.7,0.002053,multiply,BTC
63,1488585600,0.0022,0.002023,0.002053,51316.92,103.81,0.002023,multiply,BTC
64,1488672000,0.002186,0.002034,0.002023,26920.05,58.86,0.002186,multiply,BTC
65,1488758400,0.002196,0.001954,0.002186,21771.77,45.87,0.002107,multiply,BTC
66,1488844800,0.002207,0.00196,0.002107,22894.9,46.0,0.002009,multiply,BTC
67,1488931200,0.002065,0.001812,0.002009,57836.54,117.42,0.00203,multiply,BTC
68,1489017600,0.002264,0.001918,0.00203,143561.45,294.17,0.002049,multiply,BTC
69,1489104000,0.002091,0.001913,0.002049,89170.03,178.55,0.002002,multiply,BTC
70,1489190400,0.002182,0.001993,0.002002,97301.39,204.24,0.002099,multiply,BTC
71,1489276800,0.002205,0.002083,0.002099,8695.11,18.43,0.002119,multiply,BTC
72,1489363200,0.002216,0.002105,0.002119,3800.52,8.329,0.002192,multiply,BTC
73,1489449600,0.002312,0.002138,0.002192,59917.86,128.12,0.002138,multiply,BTC
74,1489536000,0.002331,0.002156,0.002138,6675.33,14.89,0.002231,multiply,BTC
75,1489622400,0.002146,0.002088,0.002231,18534.58,39.13,0.002111,multiply,BTC
76,1489708800,0.00194,0.001779,0.002111,131350.41,236.49,0.0018,multiply,BTC
77,1489795200,0.001739,0.001467,0.0018,92799.64,145.13,0.001564,multiply,BTC
78,1489881600,0.001667,0.001493,0.001564,172546.58,287.61,0.001667,multiply,BTC
79,1489968000,0.001781,0.001655,0.001667,36870.78,63.73,0.001728,multiply,BTC
80,1490054400,0.002007,0.001794,0.001728,123053.22,226.28,0.001839,multiply,BTC
81,1490140800,0.001933,0.001713,0.001839,254659.94,492.19,0.001933,multiply,BTC
82,1490227200,0.002381,0.001832,0.001933,387682.97,914.88,0.00236,multiply,BTC
83,1490313600,0.002471,0.001926,0.00236,539169.84,1251.45,0.002321,multiply,BTC
84,1490400000,0.002445,0.001981,0.002321,159105.8,324.4,0.002039,multiply,BTC
85,1490486400,0.002288,0.002046,0.002039,78328.7,179.21,0.002288,multiply,BTC
86,1490572800,0.002602,0.002247,0.002288,76329.81,181.09,0.002372,multiply,BTC
87,1490659200,0.002559,0.002246,0.002372,84604.79,204.12,0.002413,multiply,BTC
88,1490745600,0.002667,0.002313,0.002413,264892.8,701.02,0.002646,multiply,BTC
89,1490832000,0.002657,0.002501,0.002646,54903.57,142.46,0.002595,multiply,BTC
90,1490918400,0.002752,0.00259,0.002595,81441.44,210.92,0.00259,multiply,BTC
91,1491004800,0.00277,0.002531,0.00259,135568.05,375.47,0.00277,multiply,BTC
92,1491091200,0.003237,0.00259,0.00277,190406.19,576.71,0.003029,multiply,BTC
93,1491177600,0.004005,0.003167,0.003029,453855.85,1739.56,0.003833,multiply,BTC
94,1491264000,0.003985,0.001028,0.003833,5560061.33,7300.56,0.001313,multiply,BTC
95,1491350400,0.001864,0.00113,0.001313,951863.25,1215.29,0.001277,multiply,BTC
96,1491436800,0.001343,0.001129,0.001277,294611.62,360.71,0.001224,multiply,BTC
97,1491523200,0.001226,0.0005952,0.001224,1147537.37,1065.58,0.0009286,multiply,BTC
98,1491609600,0.0009682,0.000673,0.0009286,704576.74,565.73,0.0008029,multiply,BTC
99,1491696000,0.0008792,0.0006383,0.0008029,271330.77,199.33,0.0007346,multiply,BTC
100,1491782400,0.001014,0.0006999,0.0007346,588275.03,560.8,0.0009533,multiply,BTC
101,1491868800,0.00293,0.0006714,0.0009533,2677300.69,4412.19,0.001648,multiply,BTC
102,1491955200,0.002655,0.001213,0.001648,1528162.58,2927.65,0.001916,multiply,BTC
103,1492041600,0.001858,0.001176,0.001916,569115.94,963.93,0.001694,multiply,BTC
104,1492128000,0.002378,0.001295,0.001694,2712171.72,4885.48,0.001801,multiply,BTC
105,1492214400,0.001883,0.001342,0.001801,277876.41,510.21,0.001836,multiply,BTC
106,1492300800,0.001836,0.001836,0.001836,0.0,0.0,0.001836,multiply,BTC
107,1492387200,0.001863,0.001863,0.001836,0.0,0.0,0.001863,multiply,BTC
108,1492473600,0.001882,0.001882,0.001863,0.0,0.0,0.001882,multiply,BTC
109,1492560000,0.001896,0.001896,0.001882,0.0,0.0,0.001896,multiply,BTC
110,1492646400,0.001931,0.001931,0.001896,0.0,0.0,0.001931,multiply,BTC
111,1492732800,0.001949,0.001949,0.001931,0.0,0.0,0.001949,multiply,BTC
112,1492819200,0.001936,0.001936,0.001949,0.0,0.0,0.001936,multiply,BTC
113,1492905600,0.001949,0.001949,0.001936,0.0,0.0,0.001949,multiply,BTC
114,1492992000,0.001947,0.001947,0.001949,0.0,0.0,0.001947,multiply,BTC
115,1493078400,0.001972,0.001972,0.001947,0.0,0.0,0.001972,multiply,BTC
116,1493164800,0.002007,0.002007,0.001972,0.0,0.0,0.002007,multiply,BTC
117,1493251200,0.002079,0.002079,0.002007,0.0,0.0,0.002079,multiply,BTC
118,1493337600,0.002074,0.002074,0.002079,0.0,0.0,0.002074,multiply,BTC
119,1493424000,0.002085,0.002085,0.002074,0.0,0.0,0.002085,multiply,BTC
120,1493510400,0.002109,0.002109,0.002085,0.0,0.0,0.002109,multiply,BTC
121,1493596800,0.002209,0.002209,0.002109,0.0,0.0,0.002209,multiply,BTC
122,1493683200,0.002256,0.002256,0.002209,0.0,0.0,0.002256,multiply,BTC
123,1493769600,0.002317,0.002317,0.002256,0.0,0.0,0.002317,multiply,BTC
124,1493856000,0.002366,0.002366,0.002317,0.0,0.0,0.002366,multiply,BTC
125,1493942400,0.002352,0.002352,0.002366,0.0,0.0,0.002352,multiply,BTC
126,1494028800,0.002411,0.002411,0.002352,0.0,0.0,0.002411,multiply,BTC
127,1494115200,0.002425,0.002425,0.002411,0.0,0.0,0.002425,multiply,BTC
128,1494201600,0.002597,0.002597,0.002425,0.0,0.0,0.002597,multiply,BTC
129,1494288000,0.002648,0.002648,0.002597,0.0,0.0,0.002648,multiply,BTC
130,1494374400,0.002734,0.002734,0.002648,0.0,0.0,0.002734,multiply,BTC
131,1494460800,0.002838,0.002838,0.002734,0.0,0.0,0.002838,multiply,BTC
132,1494547200,0.002631,0.002631,0.002838,0.0,0.0,0.002631,multiply,BTC
133,1494633600,0.002751,0.002751,0.002631,0.0,0.0,0.002751,multiply,BTC
134,1494720000,0.002765,0.002765,0.002751,0.0,0.0,0.002765,multiply,BTC
135,1494806400,0.002666,0.002666,0.002765,0.0,0.0,0.002666,multiply,BTC
136,1494892800,0.002698,0.002698,0.002666,0.0,0.0,0.002698,multiply,BTC
137,1494979200,0.00281,0.00281,0.002698,0.0,0.0,0.00281,multiply,BTC
138,1495065600,0.002934,0.002934,0.00281,0.0,0.0,0.002934,multiply,BTC
139,1495152000,0.003061,0.003061,0.002934,0.0,0.0,0.003061,multiply,BTC
140,1495238400,0.003183,0.003183,0.003061,0.0,0.0,0.003183,multiply,BTC
141,1495324800,0.003189,0.003189,0.003183,0.0,0.0,0.003189,multiply,BTC
142,1495411200,0.003314,0.003314,0.003189,0.0,0.0,0.003314,multiply,BTC
143,1495497600,0.003545,0.003545,0.003314,0.0,0.0,0.003545,multiply,BTC
144,1495584000,0.003815,0.003815,0.003545,0.0,0.0,0.003815,multiply,BTC
145,1495670400,0.003599,0.003599,0.003815,0.0,0.0,0.003599,multiply,BTC
146,1495756800,0.007004,0.005163,0.003599,2020.3,14.15,0.007004,multiply,BTC
147,1495843200,0.006404,0.006404,0.007004,16.17,0.1035,0.006404,multiply,BTC
148,1495929600,0.00683,0.006786,0.006404,316.46,2.147,0.006786,multiply,BTC
149,1496016000,0.007678,0.007062,0.006786,217.96,1.673,0.007678,multiply,BTC
150,1496102400,0.007389,0.007016,0.007678,318.17,2.239,0.007038,multiply,BTC
151,1496188800,0.007762,0.007371,0.007038,197.0,1.529,0.007762,multiply,BTC
152,1496275200,0.008131,0.007962,0.007762,2123.71,16.91,0.007962,multiply,BTC
153,1496361600,0.008924,0.0084,0.008131,947.01,8.451,0.008924,multiply,BTC
154,1496448000,0.009622,0.009113,0.008924,188.3,1.812,0.009622,multiply,BTC
155,1496534400,0.01007,0.009541,0.009622,9321.63,93.88,0.01007,multiply,BTC
156,1496620800,0.01179,0.01079,0.01007,19962.65,232.19,0.01163,multiply,BTC
157,1496707200,0.01257,0.01148,0.01163,3857.07,48.49,0.01257,multiply,BTC
158,1496793600,0.01343,0.01077,0.01257,3655.26,49.09,0.01343,multiply,BTC
159,1496880000,0.01509,0.01217,0.01343,3031.62,36.91,0.01217,multiply,BTC
160,1496966400,0.01437,0.01223,0.01217,3145.98,44.75,0.01423,multiply,BTC
161,1497052800,0.01468,0.01204,0.01423,127.46,1.534,0.01204,multiply,BTC
162,1497139200,0.01234,0.01234,0.01204,0.0,0.0,0.01234,multiply,BTC
163,1497225600,0.01408,0.01103,0.01234,2844.65,39.0,0.01371,multiply,BTC
164,1497312000,0.014,0.01397,0.01371,520.51,7.273,0.01397,multiply,BTC
165,1497398400,0.01271,0.01271,0.01397,0.0,0.0,0.01271,multiply,BTC
166,1497484800,0.01258,0.01258,0.01271,88.26,1.11,0.01258,multiply,BTC
167,1497571200,0.01294,0.01292,0.01258,20.0,0.2589,0.01294,multiply,BTC
168,1497657600,0.01407,0.0137,0.01294,398.81,5.612,0.01407,multiply,BTC
169,1497744000,0.01364,0.0131,0.01407,212.39,2.886,0.01359,multiply,BTC
170,1497830400,0.014,0.01348,0.01359,1105.03,14.89,0.01348,multiply,BTC
171,1497916800,0.01465,0.01419,0.01348,1249.56,18.31,0.01465,multiply,BTC
172,1498003200,0.01424,0.01424,0.01465,20.34,0.2897,0.01424,multiply,BTC
173,1498089600,0.01457,0.01449,0.01424,50.78,0.7356,0.01449,multiply,BTC
174,1498176000,0.01442,0.01442,0.01449,30.51,0.4399,0.01442,multiply,BTC
175,1498262400,0.01448,0.01378,0.01442,1616.7,23.41,0.01448,multiply,BTC
176,1498348800,0.01421,0.01352,0.01448,1787.29,24.17,0.01352,multiply,BTC
177,1498435200,0.01358,0.01301,0.01352,384.29,5.001,0.01301,multiply,BTC
178,1498521600,0.01375,0.01375,0.01301,0.0,0.0,0.01375,multiply,BTC
179,1498608000,0.01431,0.01371,0.01375,100.0,1.431,0.01431,multiply,BTC
180,1498694400,0.01445,0.01361,0.01431,715.11,10.34,0.01445,multiply,BTC
181,1498780800,0.01402,0.0132,0.01445,2019.47,28.3,0.01402,multiply,BTC
182,1498867200,0.0137,0.0129,0.01402,2860.45,36.9,0.0129,multiply,BTC
183,1498953600,0.01349,0.01349,0.0129,1000.21,13.5,0.01349,multiply,BTC
184,1499040000,0.01369,0.01369,0.01349,0.0,0.0,0.01369,multiply,BTC
185,1499126400,0.01392,0.01392,0.01369,0.0,0.0,0.01392,multiply,BTC
