,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,2.123,1.927,2.114,49.7,100.74,2.027,multiply,BTC
1,1483228800,2.437,2.001,2.027,220.59,461.13,2.09,multiply,BTC
2,1483315200,2.261,1.78,2.09,103.35,198.56,1.921,multiply,BTC
3,1483401600,2.26,1.653,1.921,113.66,251.57,2.213,multiply,BTC
4,1483488000,2.556,2.198,2.213,30.3,72.69,2.399,multiply,BTC
5,1483574400,2.745,1.971,2.399,141.77,344.48,2.43,multiply,BTC
6,1483660800,2.5,1.772,2.43,345.75,723.08,2.091,multiply,BTC
7,1483747200,2.267,1.822,2.091,466.76,985.78,2.112,multiply,BTC
8,1483833600,2.155,2.033,2.112,10.38,21.76,2.096,multiply,BTC
9,1483920000,2.292,2.094,2.096,23.58,51.05,2.165,multiply,BTC
10,1484006400,2.207,2.17,2.165,140.53,310.1,2.207,multiply,BTC
11,1484092800,1.963,1.915,2.207,12.36,23.96,1.938,multiply,BTC
12,1484179200,2.058,1.999,1.938,103.25,209.11,2.025,multiply,BTC
13,1484265600,2.062,2.011,2.025,74.57,151.19,2.027,multiply,BTC
14,1484352000,2.132,1.984,2.027,45.59,93.75,2.056,multiply,BTC
15,1484438400,2.217,1.889,2.056,64.8,134.95,2.082,multiply,BTC
16,1484524800,2.233,1.996,2.082,133.75,287.71,2.151,multiply,BTC
17,1484611200,2.339,1.799,2.151,158.78,360.55,2.271,multiply,BTC
18,1484697600,2.267,1.831,2.271,176.94,357.04,2.018,multiply,BTC
19,1484784000,2.345,2.072,2.018,303.05,683.39,2.255,multiply,BTC
20,1484870400,3.086,2.249,2.255,1312.33,3343.12,2.547,multiply,BTC
21,1484956800,2.646,2.439,2.547,465.94,1162.34,2.495,multiply,BTC
22,1485043200,2.492,2.406,2.495,82.75,201.64,2.437,multiply,BTC
23,1485129600,2.444,2.259,2.437,124.11,299.06,2.41,multiply,BTC
24,1485216000,3.039,2.285,2.41,938.22,2380.6,2.537,multiply,BTC
25,1485302400,3.041,2.539,2.537,673.99,1859.71,2.759,multiply,BTC
26,1485388800,2.825,2.774,2.759,180.1,500.45,2.779,multiply,BTC
27,1485475200,2.938,2.776,2.779,107.23,304.86,2.843,multiply,BTC
28,1485561600,2.939,2.764,2.843,175.17,484.13,2.764,multiply,BTC
29,1485648000,3.109,2.752,2.764,295.62,872.45,2.951,multiply,BTC
30,1485734400,3.591,2.77,2.951,1215.2,3946.26,3.247,multiply,BTC
31,1485820800,4.249,3.09,3.247,897.71,3111.56,3.466,multiply,BTC
32,1485907200,3.537,3.193,3.466,189.05,621.08,3.285,multiply,BTC
33,1485993600,4.806,3.357,3.285,635.71,2481.45,3.903,multiply,BTC
34,1486080000,5.065,3.288,3.903,3885.62,14922.18,3.84,multiply,BTC
35,1486166400,4.127,3.611,3.84,929.52,3427.91,3.688,multiply,BTC
36,1486252800,3.658,3.15,3.688,1004.89,3374.67,3.358,multiply,BTC
37,1486339200,3.423,3.207,3.358,891.97,2906.44,3.258,multiply,BTC
38,1486425600,4.828,3.254,3.258,3659.45,14030.49,3.834,multiply,BTC
39,1486512000,4.433,3.412,3.834,2271.47,8314.58,3.66,multiply,BTC
40,1486598400,3.395,3.133,3.66,1175.44,3788.13,3.223,multiply,BTC
41,1486684800,3.292,3.083,3.223,512.02,1640.68,3.204,multiply,BTC
42,1486771200,3.529,3.219,3.204,319.77,1120.45,3.504,multiply,BTC
43,1486857600,3.489,3.199,3.504,319.1,1020.75,3.199,multiply,BTC
44,1486944000,3.593,3.076,3.199,514.3,1715.93,3.336,multiply,BTC
45,1487030400,3.423,3.238,3.336,62.08,205.7,3.313,multiply,BTC
46,1487116800,3.313,3.125,3.313,71.41,236.58,3.313,multiply,BTC
47,1487203200,3.391,2.58,3.313,980.73,3036.13,3.096,multiply,BTC
