,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.04699,0.03859,0.04795,344.24,14.13,0.04104,multiply,BTC
1,1483228800,0.05233,0.03988,0.04104,1420.75,58.1,0.04089,multiply,BTC
2,1483315200,0.04308,0.0412,0.04089,434.98,17.92,0.0412,multiply,BTC
3,1483401600,0.04186,0.03483,0.0412,3265.38,113.74,0.03483,multiply,BTC
4,1483488000,0.04212,0.03834,0.03483,687.63,26.37,0.03834,multiply,BTC
5,1483574400,0.03957,0.03341,0.03834,6335.72,225.66,0.03562,multiply,BTC
6,1483660800,0.04029,0.03013,0.03562,2074.56,71.7,0.03456,multiply,BTC
7,1483747200,0.04637,0.03879,0.03456,1280.33,49.66,0.03879,multiply,BTC
8,1483833600,0.03919,0.03055,0.03879,4178.92,127.81,0.03058,multiply,BTC
9,1483920000,0.03644,0.03069,0.03058,2282.91,74.98,0.03284,multiply,BTC
10,1484006400,0.03792,0.03165,0.03284,1145.79,43.45,0.03792,multiply,BTC
11,1484092800,0.03385,0.0267,0.03792,6392.18,183.75,0.02875,multiply,BTC
12,1484179200,0.03747,0.02808,0.02875,3491.75,122.85,0.03518,multiply,BTC
13,1484265600,0.08083,0.03582,0.03518,6857.26,441.34,0.06436,multiply,BTC
14,1484352000,0.1557,0.06396,0.06436,20830.9,2069.32,0.09934,multiply,BTC
15,1484438400,0.1478,0.07485,0.09934,4514.59,371.47,0.08228,multiply,BTC
16,1484524800,0.1071,0.07724,0.08228,1010.03,79.64,0.07885,multiply,BTC
17,1484611200,0.1088,0.07602,0.07885,1980.51,150.56,0.07602,multiply,BTC
18,1484697600,0.07848,0.06725,0.07602,1079.38,81.65,0.07565,multiply,BTC
19,1484784000,0.07529,0.04928,0.07565,3228.93,237.03,0.07341,multiply,BTC
20,1484870400,0.07322,0.05076,0.07341,1950.01,128.59,0.06594,multiply,BTC
21,1484956800,0.06621,0.05525,0.06594,328.82,18.18,0.05529,multiply,BTC
22,1485043200,0.05947,0.05519,0.05529,2794.05,154.22,0.05519,multiply,BTC
23,1485129600,0.05538,0.0512,0.05519,5693.21,291.79,0.05125,multiply,BTC
24,1485216000,0.05636,0.04831,0.05125,12506.89,704.89,0.05636,multiply,BTC
25,1485302400,0.05823,0.04844,0.05636,662.43,32.17,0.04857,multiply,BTC
26,1485388800,0.1007,0.04949,0.04857,11734.29,677.16,0.05771,multiply,BTC
27,1485475200,0.08904,0.05786,0.05771,7081.31,429.11,0.0606,multiply,BTC
28,1485561600,0.089,0.06397,0.0606,753.1,50.48,0.06703,multiply,BTC
29,1485648000,0.06774,0.05945,0.06703,764.36,46.39,0.06069,multiply,BTC
30,1485734400,0.08171,0.0611,0.06069,1146.12,87.2,0.07608,multiply,BTC
31,1485820800,0.07975,0.06277,0.07608,5905.49,387.89,0.06568,multiply,BTC
32,1485907200,0.07595,0.06683,0.06568,290.87,20.01,0.06879,multiply,BTC
33,1485993600,0.07968,0.0703,0.06879,458.76,32.25,0.0703,multiply,BTC
34,1486080000,0.09978,0.07103,0.0703,19113.74,1357.71,0.07103,multiply,BTC
35,1486166400,0.09356,0.07235,0.07103,3333.97,260.08,0.07801,multiply,BTC
36,1486252800,0.1257,0.07321,0.07801,13107.65,1647.54,0.1257,multiply,BTC
37,1486339200,0.1355,0.08528,0.1257,4351.8,387.95,0.08915,multiply,BTC
38,1486425600,0.09163,0.07883,0.08915,3120.41,252.77,0.08101,multiply,BTC
39,1486512000,0.08443,0.07613,0.08101,1107.63,84.34,0.07614,multiply,BTC
40,1486598400,0.07098,0.07062,0.07614,911.87,64.73,0.07098,multiply,BTC
41,1486684800,0.08288,0.07203,0.07098,1117.27,92.51,0.0828,multiply,BTC
42,1486771200,0.0847,0.07364,0.0828,721.28,54.04,0.07492,multiply,BTC
43,1486857600,0.08168,0.07325,0.07492,699.99,51.33,0.07333,multiply,BTC
44,1486944000,0.07554,0.07325,0.07333,6835.78,503.43,0.07365,multiply,BTC
45,1487030400,0.07562,0.0726,0.07365,8649.94,654.07,0.07562,multiply,BTC
46,1487116800,0.07711,0.07123,0.07562,2101.86,149.71,0.07123,multiply,BTC
47,1487203200,0.08523,0.07291,0.07123,2945.63,214.97,0.07298,multiply,BTC
48,1487289600,0.08658,0.07421,0.07298,1430.66,106.21,0.07424,multiply,BTC
49,1487376000,0.07471,0.07444,0.07424,467.65,34.94,0.07471,multiply,BTC
50,1487462400,0.07458,0.07421,0.07471,572.8,42.72,0.07458,multiply,BTC
51,1487548800,0.07661,0.07619,0.07458,3898.71,297.06,0.07619,multiply,BTC
52,1487635200,0.08393,0.07913,0.07619,2646.56,209.98,0.07934,multiply,BTC
53,1487721600,0.07944,0.07843,0.07934,4638.2,363.78,0.07843,multiply,BTC
54,1487808000,0.08321,0.07984,0.07843,509.32,40.67,0.07984,multiply,BTC
55,1487894400,0.08012,0.08012,0.07984,501.74,40.2,0.08012,multiply,BTC
56,1487980800,0.07911,0.06453,0.08012,7404.46,477.98,0.06455,multiply,BTC
57,1488067200,0.07634,0.06802,0.06455,2042.17,140.87,0.06898,multiply,BTC
58,1488153600,0.07182,0.06955,0.06898,436.08,30.54,0.07002,multiply,BTC
59,1488240000,0.07666,0.07005,0.07002,2397.72,182.93,0.07629,multiply,BTC
60,1488326400,0.07919,0.06852,0.07629,5705.14,396.83,0.06956,multiply,BTC
61,1488412800,0.07887,0.07017,0.06956,4548.67,319.17,0.07017,multiply,BTC
62,1488499200,0.08357,0.07136,0.07017,9546.2,730.63,0.07654,multiply,BTC
63,1488585600,0.08155,0.07031,0.07654,7329.78,515.35,0.07031,multiply,BTC
64,1488672000,0.08714,0.07004,0.07031,3278.8,273.51,0.08342,multiply,BTC
65,1488758400,0.0844,0.07315,0.08342,7050.38,521.75,0.074,multiply,BTC
66,1488844800,0.07872,0.07143,0.074,543.19,42.02,0.07735,multiply,BTC
67,1488931200,0.07197,0.06654,0.07735,681.57,45.35,0.06654,multiply,BTC
68,1489017600,0.07716,0.06813,0.06654,5370.83,369.25,0.06875,multiply,BTC
69,1489104000,0.07163,0.06362,0.06875,2607.59,169.08,0.06484,multiply,BTC
70,1489190400,0.07509,0.06742,0.06484,8100.99,546.14,0.06742,multiply,BTC
71,1489276800,0.08208,0.07004,0.06742,4161.92,295.73,0.07106,multiply,BTC
72,1489363200,0.08048,0.07058,0.07106,8233.06,586.36,0.07122,multiply,BTC
73,1489449600,0.08206,0.07151,0.07122,6066.47,442.53,0.07295,multiply,BTC
74,1489536000,0.08402,0.07355,0.07295,1942.94,147.73,0.07603,multiply,BTC
75,1489622400,0.1481,0.07126,0.07603,27649.6,2992.61,0.1082,multiply,BTC
76,1489708800,0.1097,0.09646,0.1082,1844.71,192.48,0.1043,multiply,BTC
77,1489795200,0.1065,0.08763,0.1043,3617.74,347.03,0.09592,multiply,BTC
78,1489881600,0.1415,0.09618,0.09592,3320.57,352.13,0.106,multiply,BTC
79,1489968000,0.132,0.08802,0.106,6345.53,824.23,0.1299,multiply,BTC
80,1490054400,0.1461,0.1028,0.1299,2508.47,313.9,0.1251,multiply,BTC
81,1490140800,0.1322,0.1003,0.1251,2425.63,278.75,0.1149,multiply,BTC
82,1490227200,0.1333,0.09423,0.1149,9037.26,1142.1,0.1264,multiply,BTC
83,1490313600,0.126,0.09444,0.1264,3343.18,377.93,0.113,multiply,BTC
84,1490400000,0.1305,0.09682,0.113,14086.45,1656.55,0.1176,multiply,BTC
85,1490486400,0.1599,0.09704,0.1176,15621.7,2289.82,0.1466,multiply,BTC
86,1490572800,0.1724,0.1291,0.1466,12074.17,1592.54,0.1319,multiply,BTC
87,1490659200,0.2327,0.131,0.1319,19406.96,4475.4,0.2306,multiply,BTC
88,1490745600,0.2932,0.1787,0.2306,28720.6,7627.63,0.2656,multiply,BTC
89,1490832000,0.2927,0.2193,0.2656,5991.69,1347.62,0.2249,multiply,BTC
90,1490918400,0.2485,0.1619,0.2249,6382.99,1319.04,0.2066,multiply,BTC
91,1491004800,0.2997,0.1679,0.2066,13714.47,3358.95,0.2449,multiply,BTC
92,1491091200,0.3117,0.2475,0.2449,5750.05,1617.28,0.2813,multiply,BTC
93,1491177600,0.3213,0.2588,0.2813,5234.58,1354.58,0.2588,multiply,BTC
94,1491264000,0.2575,0.1866,0.2588,11735.87,2626.33,0.2238,multiply,BTC
95,1491350400,0.2215,0.1695,0.2238,15733.73,2734.11,0.1738,multiply,BTC
96,1491436800,0.2178,0.1783,0.1738,7455.04,1455.99,0.1953,multiply,BTC
97,1491523200,0.2156,0.1804,0.1953,4014.35,863.1,0.215,multiply,BTC
98,1491609600,0.212,0.1797,0.215,1975.96,373.54,0.189,multiply,BTC
99,1491696000,0.2132,0.1928,0.189,10799.31,2159.0,0.1999,multiply,BTC
100,1491782400,0.2788,0.1942,0.1999,13304.89,3180.52,0.239,multiply,BTC
101,1491868800,0.2931,0.213,0.239,13658.24,2967.82,0.2173,multiply,BTC
102,1491955200,0.2792,0.218,0.2173,6708.24,1563.34,0.233,multiply,BTC
103,1492041600,0.2364,0.2148,0.233,3177.87,713.92,0.2247,multiply,BTC
104,1492128000,0.2333,0.1913,0.2247,6580.69,1325.62,0.2014,multiply,BTC
105,1492214400,0.2531,0.2013,0.2014,3982.79,981.14,0.2463,multiply,BTC
106,1492300800,0.306,0.2343,0.2463,21555.23,5844.37,0.2711,multiply,BTC
107,1492387200,0.296,0.2507,0.2711,4075.13,1188.22,0.2916,multiply,BTC
108,1492473600,0.2946,0.2606,0.2916,1226.26,352.15,0.2872,multiply,BTC
109,1492560000,0.3319,0.2614,0.2872,13839.64,4155.71,0.3003,multiply,BTC
110,1492646400,0.3064,0.2661,0.3003,7925.3,2314.71,0.2921,multiply,BTC
111,1492732800,0.2952,0.2687,0.2921,1003.64,288.34,0.2873,multiply,BTC
112,1492819200,0.3015,0.2684,0.2873,8071.59,2203.51,0.273,multiply,BTC
113,1492905600,0.3033,0.2726,0.273,2650.53,802.56,0.3028,multiply,BTC
114,1492992000,0.3046,0.2747,0.3028,6649.9,2025.27,0.3046,multiply,BTC
115,1493078400,0.3161,0.2809,0.3046,6731.79,2070.74,0.3076,multiply,BTC
116,1493164800,0.3734,0.3042,0.3076,9904.38,3315.8,0.3348,multiply,BTC
117,1493251200,0.3732,0.3335,0.3348,2014.79,671.92,0.3335,multiply,BTC
118,1493337600,0.3494,0.3324,0.3335,1093.42,363.46,0.3324,multiply,BTC
119,1493424000,0.3444,0.3263,0.3324,870.39,291.59,0.335,multiply,BTC
120,1493510400,0.3979,0.3364,0.335,7281.0,2889.0,0.3968,multiply,BTC
121,1493596800,0.455,0.383,0.3968,11550.95,5027.2,0.4352,multiply,BTC
122,1493683200,0.4676,0.2892,0.4352,19863.72,7180.39,0.3615,multiply,BTC
123,1493769600,0.3714,0.3063,0.3615,9462.99,3022.42,0.3194,multiply,BTC
124,1493856000,0.3674,0.3053,0.3194,3443.58,1051.41,0.3053,multiply,BTC
125,1493942400,0.3471,0.3031,0.3053,8812.59,2831.54,0.3213,multiply,BTC
126,1494028800,0.3417,0.3157,0.3213,2317.07,731.51,0.3157,multiply,BTC
127,1494115200,0.4262,0.3154,0.3157,6472.79,2443.97,0.3776,multiply,BTC
128,1494201600,0.4168,0.3585,0.3776,7646.79,2901.95,0.3795,multiply,BTC
129,1494288000,0.5561,0.387,0.3795,16854.42,7767.72,0.4609,multiply,BTC
130,1494374400,0.5315,0.4216,0.4609,7952.61,4222.44,0.5309,multiply,BTC
131,1494460800,0.5512,0.4377,0.5309,10303.8,4740.76,0.4601,multiply,BTC
132,1494547200,0.5413,0.4041,0.4601,14418.93,7805.42,0.5413,multiply,BTC
133,1494633600,0.5662,0.5147,0.5413,1229.64,632.85,0.5147,multiply,BTC
134,1494720000,0.535,0.5172,0.5147,8372.09,4478.7,0.535,multiply,BTC
135,1494806400,0.5351,0.497,0.535,4193.47,2175.69,0.5188,multiply,BTC
136,1494892800,0.525,0.4745,0.5188,5129.29,2444.65,0.4766,multiply,BTC
137,1494979200,0.5402,0.4341,0.4766,7204.32,3510.32,0.4873,multiply,BTC
138,1495065600,0.5231,0.458,0.4873,10655.17,5401.39,0.5069,multiply,BTC
139,1495152000,0.5394,0.4795,0.5069,10706.5,5774.59,0.5394,multiply,BTC
140,1495238400,0.6118,0.5406,0.5394,6316.26,3864.6,0.6118,multiply,BTC
141,1495324800,0.6603,0.5924,0.6118,12693.66,8381.29,0.6603,multiply,BTC
142,1495411200,0.6991,0.618,0.6603,5336.09,3526.64,0.6609,multiply,BTC
143,1495497600,0.8829,0.7072,0.6609,11067.38,9753.75,0.8813,multiply,BTC
144,1495584000,1.269,0.8715,0.8813,34708.25,40296.94,1.161,multiply,BTC
145,1495670400,1.118,0.8396,1.161,11806.74,11669.94,0.9884,multiply,BTC
146,1495756800,0.9604,0.7859,0.9883,10374.07,8949.83,0.8627,multiply,BTC
147,1495843200,0.7885,0.6631,0.8625,8190.09,5784.18,0.7062,multiply,BTC
