,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.07224,0.06744,0.06714,18146.14,1241.2,0.0684,multiply,BTC
1,1483228800,0.07465,0.07071,0.07135,39074.43,2881.82,0.07375,multiply,BTC
2,1483315200,0.07535,0.06835,0.0717,113724.85,8311.6,0.07309,multiply,BTC
3,1483401600,0.07644,0.07233,0.07309,22541.5,1630.45,0.07233,multiply,BTC
4,1483488000,0.08399,0.07607,0.07544,44017.66,3348.53,0.07607,multiply,BTC
5,1483574400,0.07221,0.06431,0.08224,40983.31,2919.37,0.07123,multiply,BTC
6,1483660800,0.06466,0.06292,0.07123,17254.6,1100.9,0.0638,multiply,BTC
7,1483747200,0.06485,0.06222,0.0638,27208.91,1717.15,0.06311,multiply,BTC
8,1483833600,0.06569,0.06315,0.06481,17195.21,1085.88,0.06315,multiply,BTC
9,1483920000,0.06556,0.025,0.06315,38964.64,973.96,0.025,multiply,BTC
10,1484006400,0.06587,0.02512,0.025,34826.89,1637.5,0.04702,multiply,BTC
11,1484092800,0.04713,0.03456,0.04702,48740.9,1684.43,0.03456,multiply,BTC
12,1484179200,0.05671,0.03321,0.03456,80139.73,2757.89,0.03441,multiply,BTC
13,1484265600,0.0568,0.03464,0.03828,57236.45,1983.78,0.03466,multiply,BTC
14,1484352000,0.0519,0.03279,0.03466,100514.22,3297.03,0.0328,multiply,BTC
15,1484438400,0.04681,0.02956,0.03279,32437.06,1242.05,0.03829,multiply,BTC
16,1484524800,0.04135,0.02986,0.03829,40219.79,1663.11,0.04135,multiply,BTC
17,1484611200,0.05308,0.02789,0.04135,106938.18,4291.84,0.04013,multiply,BTC
18,1484697600,0.04796,0.03177,0.04013,86650.13,3778.83,0.04361,multiply,BTC
19,1484784000,0.04924,0.04458,0.04361,87357.33,4296.48,0.04918,multiply,BTC
20,1484870400,0.04906,0.0443,0.04918,40790.56,1806.91,0.0443,multiply,BTC
21,1484956800,0.05028,0.04507,0.04551,125674.18,6060.92,0.04823,multiply,BTC
22,1485043200,0.04817,0.03861,0.04823,72471.26,3418.7,0.04717,multiply,BTC
23,1485129600,0.04746,0.03923,0.04043,63736.25,2500.15,0.03923,multiply,BTC
24,1485216000,0.04558,0.03805,0.03923,80519.79,3239.84,0.04024,multiply,BTC
25,1485302400,0.04472,0.03489,0.04024,138717.49,4839.98,0.03489,multiply,BTC
26,1485388800,0.04282,0.03572,0.03489,44101.53,1729.37,0.03921,multiply,BTC
27,1485475200,0.04399,0.0393,0.03921,22290.46,980.58,0.04399,multiply,BTC
28,1485561600,0.04401,0.03903,0.04399,32173.5,1379.18,0.04287,multiply,BTC
29,1485648000,0.04383,0.03795,0.04287,100162.2,3848.26,0.03842,multiply,BTC
30,1485734400,0.04409,0.03683,0.03842,38687.71,1523.51,0.03938,multiply,BTC
31,1485820800,0.04345,0.03766,0.03724,14154.25,595.15,0.04205,multiply,BTC
32,1485907200,0.04222,0.03635,0.03802,105955.87,3851.49,0.03635,multiply,BTC
33,1485993600,0.04317,0.03514,0.03635,112174.31,4392.17,0.03915,multiply,BTC
34,1486080000,0.04147,0.03444,0.03915,60112.91,2434.0,0.04049,multiply,BTC
35,1486166400,0.04125,0.03539,0.04049,36790.26,1344.62,0.03655,multiply,BTC
36,1486252800,0.05487,0.03598,0.03655,115563.83,5750.33,0.04976,multiply,BTC
37,1486339200,0.05018,0.03602,0.04976,17243.15,663.1,0.03846,multiply,BTC
38,1486425600,0.04446,0.03464,0.03846,115886.96,4280.17,0.03693,multiply,BTC
39,1486512000,0.04643,0.03495,0.03693,53012.01,2073.08,0.03911,multiply,BTC
40,1486598400,0.04294,0.03133,0.0439,46979.56,1474.02,0.03138,multiply,BTC
41,1486684800,0.0424,0.03197,0.03138,44016.29,1592.66,0.03618,multiply,BTC
