,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.01867,0.01602,0.01857,56080.03,900.62,0.01606,multiply,BTC
1,1483228800,0.01786,0.01615,0.01606,33621.13,600.41,0.01786,multiply,BTC
2,1483315200,0.01831,0.01741,0.01786,21925.38,389.12,0.01775,multiply,BTC
3,1483401600,0.01929,0.01726,0.01775,36007.03,625.81,0.01738,multiply,BTC
4,1483488000,0.02037,0.01721,0.01738,18514.35,340.97,0.01842,multiply,BTC
5,1483574400,0.01723,0.01292,0.01842,92666.48,1315.6,0.0142,multiply,BTC
6,1483660800,0.01537,0.0127,0.0142,31460.17,475.61,0.01512,multiply,BTC
7,1483747200,0.01598,0.01424,0.01512,68808.69,1099.08,0.01597,multiply,BTC
8,1483833600,0.01601,0.01378,0.01597,47587.95,705.64,0.01483,multiply,BTC
9,1483920000,0.01606,0.01479,0.01483,17327.52,262.55,0.01515,multiply,BTC
10,1484006400,0.01626,0.01443,0.01515,27277.24,429.98,0.01576,multiply,BTC
11,1484092800,0.01398,0.0125,0.01576,5412.46,70.1,0.01295,multiply,BTC
12,1484179200,0.01701,0.01309,0.01295,270153.03,4571.85,0.01692,multiply,BTC
13,1484265600,0.02806,0.01677,0.01692,451218.37,11451.93,0.02538,multiply,BTC
14,1484352000,0.02647,0.01788,0.02538,432251.51,8818.19,0.0204,multiply,BTC
15,1484438400,0.0216,0.01897,0.0204,233096.59,4720.22,0.02025,multiply,BTC
16,1484524800,0.02303,0.01979,0.02025,89794.93,1811.21,0.02017,multiply,BTC
17,1484611200,0.02356,0.01717,0.02017,438534.02,9709.42,0.02214,multiply,BTC
18,1484697600,0.02425,0.01912,0.02214,94396.75,2001.12,0.0212,multiply,BTC
19,1484784000,0.02221,0.02089,0.0212,25563.1,549.91,0.02151,multiply,BTC
20,1484870400,0.02199,0.02079,0.02151,26314.82,553.58,0.02104,multiply,BTC
21,1484956800,0.02217,0.01795,0.02104,104044.11,2115.06,0.02033,multiply,BTC
22,1485043200,0.02092,0.01868,0.02033,123997.09,2447.29,0.01974,multiply,BTC
23,1485129600,0.02046,0.01798,0.01974,54377.37,1009.65,0.01857,multiply,BTC
24,1485216000,0.01981,0.01724,0.01857,103533.39,1865.46,0.01802,multiply,BTC
25,1485302400,0.01923,0.01583,0.01802,86057.9,1510.17,0.01755,multiply,BTC
26,1485388800,0.01939,0.01494,0.01755,268085.79,4383.71,0.01635,multiply,BTC
27,1485475200,0.01842,0.0157,0.01635,140759.59,2581.79,0.01834,multiply,BTC
28,1485561600,0.02017,0.01736,0.01834,144469.96,2728.25,0.01888,multiply,BTC
29,1485648000,0.02276,0.01861,0.01888,210073.13,4463.0,0.02124,multiply,BTC
