,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,0.0001927,0.0001734,0.0001822,4779723.49,874.89,0.000183,multiply,BTC
1,1483228800,0.0001891,0.0001593,0.000183,16911130.79,2693.44,0.0001593,multiply,BTC
2,1483315200,0.0001729,0.0001627,0.0001593,3122938.89,508.19,0.0001627,multiply,BTC
3,1483401600,0.000186,0.0001653,0.0001627,4242434.49,701.39,0.0001653,multiply,BTC
4,1483488000,0.0002044,0.0001817,0.0001653,3378066.23,652.03,0.000193,multiply,BTC
5,1483574400,0.0001979,0.0001583,0.000193,13427487.42,2391.21,0.0001781,multiply,BTC
6,1483660800,0.0001772,0.0001595,0.0001781,9011925.74,1517.34,0.0001684,multiply,BTC
7,1483747200,0.0001778,0.0001689,0.0001684,3972113.93,670.83,0.0001689,multiply,BTC
8,1483833600,0.0001802,0.0001712,0.0001689,6737457.23,1153.21,0.0001712,multiply,BTC
9,1483920000,0.0002159,0.000162,0.0001712,12268594.19,2207.81,0.00018,multiply,BTC
10,1484006400,0.0001899,0.0001718,0.00018,5136439.1,882.6,0.0001718,multiply,BTC
11,1484092800,0.0001649,0.0001492,0.0001718,5230659.31,780.58,0.0001492,multiply,BTC
12,1484179200,0.0001701,0.0001458,0.0001492,8356568.39,1286.25,0.0001539,multiply,BTC
13,1484265600,0.000165,0.0001485,0.0001539,5188368.7,770.31,0.0001485,multiply,BTC
14,1484352000,0.0001639,0.0001475,0.0001485,12079959.75,1881.21,0.0001557,multiply,BTC
15,1484438400,0.0002053,0.000156,0.0001557,29935167.29,5899.65,0.0001971,multiply,BTC
16,1484524800,0.0002317,0.000182,0.0001971,48839410.84,10101.7,0.0002068,multiply,BTC
17,1484611200,0.0002429,0.0001979,0.0002068,27470713.84,5684.29,0.0002069,multiply,BTC
18,1484697600,0.0002442,0.0001918,0.0002069,13726767.2,3112.24,0.0002267,multiply,BTC
19,1484784000,0.0002328,0.0002059,0.0002267,9695144.49,2083.01,0.0002149,multiply,BTC
20,1484870400,0.0002232,0.0001964,0.0002149,2627357.29,563.04,0.0002143,multiply,BTC
21,1484956800,0.0002208,0.0002116,0.0002143,2517291.64,532.57,0.0002116,multiply,BTC
22,1485043200,0.0002205,0.0002021,0.0002116,3773537.43,797.47,0.0002113,multiply,BTC
23,1485129600,0.0002304,0.0002027,0.0002113,7618098.0,1544.35,0.0002027,multiply,BTC
24,1485216000,0.0002145,0.0001966,0.0002027,3828944.68,752.87,0.0001966,multiply,BTC
25,1485302400,0.0002057,0.0001878,0.0001966,3166755.57,623.12,0.0001968,multiply,BTC
26,1485388800,0.0002014,0.0001831,0.0001968,10649563.87,1950.06,0.0001831,multiply,BTC
27,1485475200,0.0002295,0.0001836,0.0001831,33437911.25,7060.16,0.0002111,multiply,BTC
28,1485561600,0.0002296,0.0002021,0.0002111,6811239.21,1438.92,0.0002113,multiply,BTC
29,1485648000,0.0002286,0.0002012,0.0002113,5281384.45,1110.92,0.0002103,multiply,BTC
30,1485734400,0.0002486,0.0002118,0.0002103,11856491.77,2838.32,0.0002394,multiply,BTC
31,1485820800,0.0002607,0.0002028,0.0002394,29428102.7,6819.01,0.0002317,multiply,BTC
32,1485907200,0.0002849,0.0002161,0.0002317,68802773.9,16898.48,0.0002456,multiply,BTC
33,1485993600,0.0003815,0.0002309,0.0002456,243389023.86,68419.48,0.0002811,multiply,BTC
34,1486080000,0.0002938,0.0002533,0.0002811,29863922.61,8168.24,0.0002735,multiply,BTC
35,1486166400,0.0002992,0.000258,0.0002735,14008870.18,3758.31,0.0002683,multiply,BTC
36,1486252800,0.0004471,0.000254,0.0002683,490376236.61,179379.43,0.0003658,multiply,BTC
37,1486339200,0.0003996,0.0003074,0.0003658,102273388.97,35630.8,0.0003484,multiply,BTC
38,1486425600,0.0003673,0.0002624,0.0003484,66683516.26,18896.85,0.0002834,multiply,BTC
39,1486512000,0.0003166,0.0002744,0.0002834,40698863.23,12457.6,0.0003061,multiply,BTC
40,1486598400,0.0002937,0.0002252,0.0003061,39614305.5,10083.01,0.0002545,multiply,BTC
41,1486684800,0.0002694,0.0002394,0.0002545,18640753.92,4835.01,0.0002594,multiply,BTC
42,1486771200,0.0002722,0.0002521,0.0002594,8462441.3,2218.54,0.0002622,multiply,BTC
43,1486857600,0.0002691,0.0002292,0.0002622,21331145.57,5101.66,0.0002392,multiply,BTC
44,1486944000,0.0002588,0.0002289,0.0002392,19059765.81,4553.12,0.0002389,multiply,BTC
