,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1483142400,51.17,47.71,50.23,6354.32,303755.02,47.8,multiply,BTC
1,1483228800,51.64,47.3,47.8,6292.69,302550.97,48.08,multiply,BTC
2,1483315200,51.01,48.39,48.08,8653.86,423963.84,48.99,multiply,BTC
3,1483401600,52.03,48.49,48.99,11434.44,563230.91,49.26,multiply,BTC
4,1483488000,58.29,53.34,49.26,16371.33,894091.06,54.61,multiply,BTC
5,1483574400,52.42,46.74,54.61,23291.93,1122006.08,48.17,multiply,BTC
6,1483660800,47.6,42.91,48.17,12786.84,595227.21,46.55,multiply,BTC
7,1483747200,48.96,45.06,46.55,12158.33,559271.3,46.0,multiply,BTC
8,1483833600,47.92,44.48,46.0,10829.24,495098.18,45.72,multiply,BTC
9,1483920000,47.51,45.36,45.72,6722.34,308782.41,45.93,multiply,BTC
10,1484006400,46.52,44.78,45.93,8009.47,362248.65,45.23,multiply,BTC
11,1484092800,41.44,38.86,45.23,13382.29,547720.5,40.93,multiply,BTC
12,1484179200,47.37,41.7,40.93,18537.21,789603.28,42.6,multiply,BTC
13,1484265600,46.99,42.93,42.6,9277.51,402055.44,43.34,multiply,BTC
14,1484352000,44.63,42.51,43.34,7401.97,325730.61,44.01,multiply,BTC
15,1484438400,45.61,43.3,44.01,9161.69,417844.36,45.61,multiply,BTC
16,1484524800,46.1,43.17,45.61,7099.84,306504.36,43.17,multiply,BTC
17,1484611200,47.92,44.2,43.17,12742.66,563917.18,44.25,multiply,BTC
18,1484697600,44.26,42.02,44.25,9867.57,428089.65,43.38,multiply,BTC
19,1484784000,44.65,43.13,43.38,7562.38,334230.86,44.2,multiply,BTC
20,1484870400,44.5,42.82,44.2,7548.14,326408.98,43.24,multiply,BTC
21,1484956800,45.23,43.24,43.24,8786.65,380676.9,43.32,multiply,BTC
22,1485043200,45.02,42.48,43.32,11181.8,482891.4,43.19,multiply,BTC
23,1485129600,43.87,42.72,43.19,7659.0,327536.82,42.76,multiply,BTC
